symbol,trading_date,open,raw_open_text,high,low,close,source,fetched_at,valid_numeric,valid_positive,within_hl_range,validation_flags,in_db,db_open,db_high,db_low,db_close,comparison_flags
KSE-100,2018-11-30,40625.67,"40,625.67",40936.73,40328.19,40496.03,ksestocks.com/MarketSummary,2026-07-03T15:32:18.008160+00:00,1,1,1,,1,,40936.73,40328.19,40496.03,
KSE-30,2018-11-30,19354.84,"19,354.84",19564.83,19234.82,19324.04,ksestocks.com/MarketSummary,2026-07-03T15:32:18.008160+00:00,1,1,1,,1,,19564.83,19234.82,19324.04,
KSE-ALL,2018-11-30,29341.25,"29,341.25",29525.61,29181.39,29381.69,ksestocks.com/MarketSummary,2026-07-03T15:32:18.008160+00:00,1,1,1,,1,,29525.61,29181.39,29381.69,
KSE-MI30,2018-11-30,68816.37,"68,816.37",69335.55,68235.42,68388.96,ksestocks.com/MarketSummary,2026-07-03T15:32:18.008160+00:00,1,1,1,,1,,69335.55,68235.42,68388.96,
KSE-MIALL,2018-11-30,19702.4,"19,702.40",19838.48,19611.17,19695.49,ksestocks.com/MarketSummary,2026-07-03T15:32:18.008160+00:00,1,1,1,,1,,19838.48,19611.17,19695.49,
KSE-100,2018-12-03,40383.27,"40,383.27",40383.44,39011.29,39160.6,ksestocks.com/MarketSummary,2026-07-03T15:32:22.563413+00:00,1,1,1,,1,,40383.44,39011.29,39160.6,
KSE-30,2018-12-03,19300.99,"19,300.99",19303.77,18610.06,18704.08,ksestocks.com/MarketSummary,2026-07-03T15:32:22.563413+00:00,1,1,1,,1,,19303.77,18610.06,18704.08,
KSE-ALL,2018-12-03,29347.55,"29,347.55",29349.12,28430.56,28498.33,ksestocks.com/MarketSummary,2026-07-03T15:32:22.563413+00:00,1,1,1,,1,,29349.12,28430.56,28498.33,
KSE-MI30,2018-12-03,67966.6,"67,966.60",67966.6,65821.71,65944.23,ksestocks.com/MarketSummary,2026-07-03T15:32:22.563413+00:00,1,1,1,,1,,67966.6,65821.71,65944.23,
KSE-MIALL,2018-12-03,19646.16,"19,646.16",19646.16,19061.34,19099.52,ksestocks.com/MarketSummary,2026-07-03T15:32:22.563413+00:00,1,1,1,,1,,19646.16,19061.34,19099.52,
KSE-100,2018-12-04,38889.68,"38,889.68",39658.48,38889.24,39602.87,ksestocks.com/MarketSummary,2026-07-03T15:32:27.165937+00:00,1,1,1,,1,,39658.48,38889.24,39602.87,
KSE-30,2018-12-04,18561.78,"18,561.78",19008.65,18561.78,18974.09,ksestocks.com/MarketSummary,2026-07-03T15:32:27.165937+00:00,1,1,1,,1,,19008.65,18561.78,18974.09,
KSE-ALL,2018-12-04,28369.94,"28,369.94",28893.22,28369.86,28867.05,ksestocks.com/MarketSummary,2026-07-03T15:32:27.165937+00:00,1,1,1,,1,,28893.22,28369.86,28867.05,
KSE-MI30,2018-12-04,65264.15,"65,264.15",66802.22,65248.44,66641.47,ksestocks.com/MarketSummary,2026-07-03T15:32:27.165937+00:00,1,1,1,,1,,66802.22,65248.44,66641.47,
KSE-MIALL,2018-12-04,18976.1,"18,976.10",19325.12,18974.37,19305.55,ksestocks.com/MarketSummary,2026-07-03T15:32:27.165937+00:00,1,1,1,,1,,19325.12,18974.37,19305.55,
KSE-100,2018-12-05,39607.1,"39,607.10",39607.1,38718.42,39303.11,ksestocks.com/MarketSummary,2026-07-03T15:32:31.659739+00:00,1,1,1,,1,,39607.1,38718.42,39303.11,
KSE-30,2018-12-05,18992.62,"18,992.62",18992.62,18520.07,18812.0,ksestocks.com/MarketSummary,2026-07-03T15:32:31.659739+00:00,1,1,1,,1,,18992.62,18520.07,18812.0,
KSE-ALL,2018-12-05,28831.76,"28,831.76",28831.76,28218.99,28678.83,ksestocks.com/MarketSummary,2026-07-03T15:32:31.659739+00:00,1,1,1,,1,,28831.76,28218.99,28678.83,
KSE-MI30,2018-12-05,66662.05,"66,662.05",66662.05,64816.01,66303.31,ksestocks.com/MarketSummary,2026-07-03T15:32:31.659739+00:00,1,1,1,,1,,66662.05,64816.01,66303.31,
KSE-MIALL,2018-12-05,19300.1,"19,300.10",19311.9,18825.85,19147.2,ksestocks.com/MarketSummary,2026-07-03T15:32:31.659739+00:00,1,1,1,,1,,19311.9,18825.85,19147.2,
KSE-100,2018-12-06,39371.09,"39,371.09",39456.37,38236.92,38300.62,ksestocks.com/MarketSummary,2026-07-03T15:32:36.532212+00:00,1,1,1,,1,,39456.37,38236.92,38300.62,
KSE-30,2018-12-06,18849.08,"18,849.08",18913.33,18241.0,18283.16,ksestocks.com/MarketSummary,2026-07-03T15:32:36.532212+00:00,1,1,1,,1,,18913.33,18241.0,18283.16,
