date,breadth,dispersion,participation,mkt_ret,n_stocks,avg_correlation,regime,volatility_level,trend_persistence
2006-12-08,41.896024464831804,9.912168369023561,1.529051987767584,0.13310866151088638,327,0.1901660642630169,VOLATILE,1.7100218993237066,21.0
2006-12-11,38.76923076923077,8.083739926007667,1.8461538461538463,0.551221269912055,325,0.15844513950029276,VOLATILE,1.6744422021677035,22.0
2006-12-12,42.69005847953216,10.489071598747731,2.046783625730994,0.8161471915536912,342,0.16465915873647813,VOLATILE,1.6387175931667108,23.0
2006-12-13,40.06024096385542,6.041745147862042,1.2048192771084338,-0.4852977321501743,332,0.1540658322753637,VOLATILE,1.6203886053674819,24.0
2006-12-14,40.78549848942598,9.385324231771753,1.2084592145015105,0.7791411487339264,331,0.15384869279124744,VOLATILE,1.568512811614759,25.0
2006-12-15,40.4320987654321,8.335289453970617,1.2345679012345678,-0.6359945808477784,324,0.16370178727558618,RANGING,1.4987011780850232,0.0
2006-12-18,33.43558282208589,6.290048809830854,1.5337423312883436,-2.901895561721676,326,0.23584718055583834,VOLATILE,1.5192222337186139,0.0
2006-12-19,26.25,6.469682088706181,0.3125,-2.296145749570995,320,0.28548706719314426,VOLATILE,1.6219339376370507,1.0
2006-12-20,29.73856209150327,6.085322969967552,0.6535947712418301,1.0654254575728266,306,0.29030707876468037,VOLATILE,1.666951473778595,2.0
2006-12-21,26.04501607717042,5.024216800600091,0.6430868167202572,-1.311994897147913,311,0.2797076440363559,VOLATILE,1.7375600996058702,3.0
2006-12-22,26.38888888888889,6.61928923884389,0.6944444444444444,-0.8683434326975606,288,0.2975355933459513,VOLATILE,1.8065057676427818,4.0
2006-12-26,25.0,7.110911856275649,0.6666666666666667,-0.031315070602255864,300,0.28000756189372,VOLATILE,1.8043976563388366,5.0
2006-12-27,21.451104100946374,6.554819115110967,0.9463722397476341,-0.6425499868054071,317,0.2813201066259821,VOLATILE,1.821644107637373,6.0
2006-12-28,26.599326599326602,14.345217575610889,1.0101010101010102,1.3774843406429715,297,0.29110444131970076,VOLATILE,1.7593100733114209,7.0
2006-12-29,29.591836734693878,6.268125385915278,0.3401360544217687,0.9985612073815753,294,0.29849279961911135,VOLATILE,1.7080623474926542,8.0
2007-01-03,26.29310344827586,5.766464286340056,1.7241379310344827,0.0629462231670663,232,0.3170742421798033,VOLATILE,1.5759433437442874,9.0
