symbol,date,stock_rs,sector_rs,liquidity,realized_vol,listing_age_days,up_semivol,down_semivol,sector_rs_loo
GGGL,2022-08-15,7.889507158693771,13.95859344347812,1727991.6666666667,2.74607766535892,2637.0,2.1459092117256606,1.6880193639671537,14.970107824275512
GGGL,2022-10-19,4.511122766584937,-7.598038546310196,1446333.3333333333,1.991831867451524,2702.0,1.7597921401956145,0.9158521765344718,-9.616232098459385
GGGL,2023-02-08,-21.48626394101069,-1.754883303176987,934591.6666666666,2.9560352277783406,2814.0,1.965310135284736,2.215543304212664,1.063885359370686
GGGL,2023-03-10,-14.359886743895844,-5.99317378540707,824358.3333333334,3.2199332665021423,2844.0,2.396357448438245,2.118213023128642,-4.319831193709315
GGGL,2023-06-07,1.5162514457245075,4.526697124258992,738466.6666666666,2.6375340184502125,2933.0,2.2674176998656,1.306717148484044,5.028438070681406
GGGL,2023-07-03,-8.858524629954557,-17.751976229676234,450883.3333333333,2.9983709303958985,2959.0,2.610033532850394,1.4254856496548465,-19.53066654962057
GGGL,2023-07-10,-7.509274382202564,-17.062098316409017,593458.3333333334,3.213333469777111,2966.0,2.7777701003125257,1.5662993556676046,-18.97266310325031
GGGL,2023-09-25,-14.283396737991035,-12.559229242308298,751591.6666666666,2.5950299412943485,3043.0,2.2004851974244217,1.3341153283170997,-12.21439574317175
GGGL,2023-10-17,-6.652972590786089,-13.239898276291942,683250.0,1.7317159938416864,3065.0,1.4004781371154764,0.995256391766396,-14.557283413393113
GGGL,2023-11-20,22.71563006870015,-3.633735632978244,1270400.0,2.745313184120657,3099.0,2.4905137108209288,1.2645963046023274,-8.025296583257976
GGGL,2023-12-06,10.997531792111808,-4.067893803493284,1646350.0,2.8803467679112145,3115.0,2.670881278245486,1.2430846670568862,-6.578798069427471
GGGL,2024-05-08,-6.799261475301338,2.497598977751629,1102408.3333333333,2.393373096296244,3269.0,1.9438390517324136,1.3689258917791691,4.3569710683622205
GGGL,2024-05-13,4.522870198884451,7.896659173425942,1347388.4666666666,2.8505581301568035,3274.0,2.5767672054950195,1.2342962496150227,8.57141696833424
GGGL,2024-11-13,-0.7888586165511988,-11.74433221969203,1622785.9666666666,2.2832566948739763,3458.0,2.034756475842954,1.0430778671649652,-13.309399877283578
GGGL,2024-12-04,-11.578715031620243,-18.71069954088531,2044514.0,2.5777779567871053,3479.0,2.189337761734548,1.3650640891879289,-19.72955447078032
GGGL,2024-12-06,-7.556951162914434,-18.19529365780804,2444813.1333333333,3.0843205760159447,3481.0,2.77761072712358,1.370545319077672,-19.71505687136426
GGGL,2024-12-09,2.0158199706891367,-17.695440636707264,2697358.083333333,3.399029737004552,3484.0,3.141958593756617,1.370545319077672,-20.511335009192464
GGGL,2024-12-12,22.0711941868379,-17.054799563020246,3492757.6,3.699514049089857,3487.0,3.474897225999428,1.4653615503618072,-23.57579852132994
GGGL,2024-12-13,28.05106051197945,-7.965745732001615,3663800.116666666,3.6859454489414585,3488.0,3.4801411432214144,1.4507300943359838,-13.111003766856054
GGGL,2025-02-20,15.62890704486188,-8.490321529868163,4469141.316666666,4.2473052262631805,3557.0,3.63962363379806,2.2022505414557725,-12.510192958989837
GGGL,2025-02-21,24.586232002138104,-1.946550042136744,4787125.8,4.275791395361956,3558.0,3.677208591248194,2.2022505414557725,-6.3686803828492184
GGGL,2025-02-24,39.319672127047625,0.4668315526796416,5089389.383333334,4.476157510335619,3561.0,3.9385995529631135,2.20216419499051,-6.008641876381688
GGGL,2025-05-20,14.034024276155964,12.71859514346282,3095150.433333333,4.023025548824197,3646.0,3.378909727516192,2.152995958184284,12.53067669593523
GGGL,2025-05-21,16.742036123333193,14.05400399572355,3228051.683333333,4.047445974724537,3647.0,3.412886633333929,2.152995958184284,13.66999940606503
GGGL,2025-05-22,6.543427108170264,11.815359451495386,3471012.066666667,3.7063599795687576,3648.0,2.988747135098909,2.152995958184284,12.568492643398972
GGGL,2025-08-21,-3.636656627623872,23.642361096832445,3178903.3666666667,2.426496971293837,3739.0,2.120860099394444,1.1908651683404472,27.539363628897632
GGGL,2025-08-22,5.084950628462629,22.25018274534719,3358166.333333333,2.725246884131825,3740.0,2.4776548987245484,1.1908651683404472,24.70235876204498
GGGL,2025-08-25,13.196845781574352,26.533444269075204,3694148.5,2.706951309623541,3743.0,2.4964945561418186,1.1466878852980826,28.43867262443247
GGGL,2025-11-20,-19.5174719695646,4.564132988839123,2919579.8666666667,3.006275648048889,3830.0,2.1688837376904875,2.048278632315434,8.004362268611082
GGGL,2025-12-15,-23.17875089695153,-7.757595418574326,1884877.9166666667,2.819409053774515,3855.0,1.8868707191670075,2.075589152199116,-5.554573207377582
GGGL,2026-04-08,-13.01230833726366,-12.154122230843267,876710.7,3.9202814357954994,3969.0,2.443333414879392,3.045029048292001,-12.031524215640356
GGGL,2026-06-01,-9.089203124334858,-7.003980517023828,552821.2333333333,3.625198041932156,4023.0,2.437603930885495,2.6421903755071567,-6.706091573122252
GGGL,2026-06-16,5.74075550357535,2.764784687080194,580211.7,2.937183743043144,4038.0,2.3932296878697774,1.7033024208673728,2.339645999009459
GGL,2010-04-07,-27.902775677445312,5.413393793619405,496336.25,2.8327629597224178,92.0,2.018592868337122,1.983250801787076,7.166876397359654
GGL,2010-09-20,-6.57844690130594,-9.184596715668778,20683.05,3.055232947151466,258.0,2.147314663361751,2.1373512237292944,-9.337899645925415
GGL,2010-09-21,3.60853511866339,-8.322489729439397,27805.366666666665,3.3068608756129474,259.0,2.491100561284868,2.1373512237292944,-9.024314720504268
GGL,2010-09-22,8.983679106218851,-9.60432433504,36381.0,3.281911705774377,260.0,2.5069494532371195,2.088945820326469,-10.636991192887717
