symbol,date,entry_close,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,ret_90d,mfe_pct,mae_pct,days_tracked
AKGL,2025-02-21,39.6,1.6161616161616175,3.535353535353532,13.636363636363633,12.37373737373737,65.05050505050505,39.494949494949495,80.40404040404039,-10.000000000000002,90
AKGL,2005-11-02,0.924,-13.322510822510832,7.997835497835494,12.002164502164488,17.32683982683983,3.993506493506486,-30.0,39.98917748917749,-32.66233766233767,90
AKGL,2013-11-25,9.3,18.602150537634394,30.107526881720414,34.408602150537625,28.924731182795693,11.827956989247307,30.645161290322577,77.41935483870967,-19.354838709677423,90
AKGL,2024-09-10,36.42,0.0,-6.64470071389347,4.338275672707299,27.237781438769908,-1.1532125205930852,20.950027457440953,39.92311916529379,-100.0,90
AKGL,2026-01-22,60.24,0.0,-7.785524568393103,1.394422310756966,0.8134130146082252,-12.018592297476763,,12.051792828685254,-18.642098273572383,72
AKGL,2009-12-17,1.8093,6.433427292323001,13.530094511689612,9.760680926325103,32.824849389266575,203.9849665616537,190.1674680815785,273.07245896202954,-22.3898745371138,90
AKGL,2018-09-12,8.3,-2.2891566265060392,-13.855421686746991,-15.662650602409645,-17.22891566265061,-13.855421686746991,107.22891566265058,107.22891566265058,-28.795180722891573,90
AKGL,2008-04-30,0.77,0.7922077922077916,-4.000000000000006,-4.000000000000006,-20.000000000000004,2.8961038961038943,121.27272727272727,154.57142857142856,-36.79220779220779,90
AKGL,2007-02-02,0.7515,-18.030605455755154,-18.030605455755154,-8.183632734530939,3.273453093812384,27.05256154357951,13.945442448436463,68.8622754491018,-18.030605455755154,90
AKGL,2012-03-21,8.0,4.62499999999999,1.8750000000000044,6.125000000000003,3.750000000000009,51.37499999999999,67.5,81.25,-12.5,90
AKGL,2025-07-23,63.5,-10.393700787401578,-10.236220472440944,-13.007874015748028,-13.307086614173233,-12.582677165354333,-3.779527559055116,8.267716535433072,-100.0,90
AKGL,2019-10-10,8.0,0.0,14.999999999999991,78.125,92.875,99.37499999999999,187.37499999999997,187.37499999999997,-100.0,90
