symbol,date,entry_close,breakout,rs_score_20,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,ret_90d,mfe_pct,mae_pct,hit_tp_10
PREMA,2019-12-13,21.96,0,-0.8496552965942215,-9.927140255009107,-3.0965391621129315,-4.41712204007287,-3.734061930783243,-20.856102003642995,-19.1712204007286,4.73588342440801,-41.12021857923497,0
PREMA,2019-12-24,19.84,0,-5.322987465671014,7.106854838709678,-5.997983870967748,6.0987903225806495,0.8064516129032264,-31.804435483870968,-14.868951612903222,15.171370967741943,-34.828629032258064,0
PREMA,2024-08-27,15.45,0,25.039594113161602,8.543689320388353,15.145631067961165,11.06796116504855,-1.9417475728155271,40.71197411003236,68.80258899676375,119.41747572815532,-10.032362459546919,0
PREMA,2020-06-24,17.57,0,-5.56094573866509,-0.3984063745019937,6.431417188389295,8.423449060899262,5.406943653955603,31.7586795674445,5.5207740466704545,39.38531587933977,-3.1872509960159294,0
PREMA,2022-08-26,21.01,0,15.386823063469901,9.94764397905759,7.472632079961906,2.332222751070911,7.044264635887656,3.093764873869579,-16.230366492146597,23.274631128034255,-21.46596858638744,0
PREMA,2025-02-13,32.05,0,32.3434156344117,7.831513260530438,2.4648985959438576,33.54134165366615,62.52730109204371,53.884555382215304,26.17784711388456,193.2917316692668,-23.52574102964117,0
PREMA,2025-09-23,47.82,0,12.666889969992035,0.04182350480970959,-8.762024257632785,-13.864491844416568,-12.400669176076955,-15.997490589711417,-20.326223337515682,7.486407360936844,-22.291928063571735,0
PREMA,2020-10-13,20.2,0,-2.279394949635849,1.9306930693069335,-0.9900990099009866,-3.7623762376237524,-22.77227722772277,-4.009900990099004,-8.8118811881188,8.16831683168318,-24.504950495049503,0
PREMA,2019-07-23,16.86,0,-10.40598335923011,0.7710557532621531,-9.074733096085406,-6.70225385527876,-11.328588374851721,1.9572953736654914,33.867141162514834,33.867141162514834,-17.02253855278766,0
PREMA,2024-10-21,14.31,0,-22.42310785634023,8.315863032844161,13.41719077568134,40.11180992313068,74.28371767994409,76.51991614255765,123.54996505939901,228.0223619846261,-1.747030048916841,0
PREMA,2024-02-01,13.21,0,-9.503824993084098,-0.2271006813020525,0.3028009084027187,2.3467070401211108,2.271006813020431,9.386828160484468,12.869038607115815,24.75397426192278,-9.159727479182443,0
PREMA,2021-04-14,16.29,0,-6.687040665749233,0.36832412523021657,2.209944751381212,11.049723756906083,34.25414364640885,54.45058317986495,69.18354818907305,97.91282995702888,-4.788213627992629,0
PREMA,2023-05-11,16.74,0,2.5373188231355703,-0.35842293906809275,-1.1350059737156377,-1.4934289127837517,-7.407407407407399,-0.5376344086021497,-5.376344086021497,15.292712066905631,-10.394265232974902,0
PREMA,2020-03-05,18.05,0,-6.453942426667437,-6.980609418282557,-25.041551246537402,-1.0526315789473755,4.044321329639891,-0.38781163434903204,4.653739612188365,11.800554016620493,-28.36565096952909,0
PREMA,2024-03-11,13.41,0,-5.9352169699648405,0.7457121551081256,-6.785980611483969,-2.9828486204325158,6.935123042505591,12.900820283370622,-6.6368381804623455,22.89336316181954,-10.51454138702461,0
PREMA,2024-05-30,14.17,0,-0.9654249541747317,4.304869442484118,4.234297812279461,-1.199717713479181,-6.774876499647135,24.135497529992943,-1.5525758645024745,40.296400846859555,-15.314043754410728,0
PREMA,2021-01-13,19.69,0,-6.771672950976749,-2.183849669883188,-2.3869984763839636,-3.30116810563739,-9.954291518537332,-14.880650076180801,-4.164550533265618,1.8283392585068534,-21.229050279329613,0
PREMA,2022-05-19,20.32,0,-8.674674478243594,-0.590551181102367,-6.2992125984252025,-6.988188976377961,-6.1515748031496065,6.053149606299215,7.234251968503931,15.157480314960623,-17.568897637795278,0
PREMA,2021-04-21,16.35,0,-10.956271635409088,1.8348623853210833,-1.9571865443425092,6.54434250764526,32.53822629969419,55.84097859327216,70.03058103975535,97.18654434250764,-5.137614678899092,0
PREMA,2018-12-05,20.62,0,-3.408930580707114,-3.394762366634332,-4.413191076624637,-9.165858389912708,-6.30455868089234,33.36566440349175,13.967022308438404,41.5615906886518,-12.221144519883605,0
PREMA,2019-09-20,16.17,0,-1.0086608389632712,-4.700061842918995,1.6697588126159526,11.008039579468134,6.184291898577612,35.80705009276437,30.73593073593073,48.113790970933806,-7.111935683364267,0
