symbol,date,breakout,regime,outcome,stock_rs,vol_ratio,liquidity,lookback
786,2010-01-12,0,TRENDING_UP,-6.0,-15.169807583931444,1.1118861762622443,2925.483333333333,20
786,2012-11-23,1,TRENDING_UP,-6.0,85.56679581096157,1.576328015373363,12273.45,20
786,2024-12-24,0,TRENDING_UP,-6.0,-23.926631473585743,1.4341799183118247,23778.95,20
786,2012-11-26,1,TRENDING_UP,-6.0,94.6811180952681,1.58340010240631,12443.116666666667,20
786,2024-10-01,0,TRENDING_UP,-6.0,14.153179983194363,1.4159381909058293,11360.733333333334,20
786,2012-12-10,1,TRENDING_UP,-6.0,108.17595291126939,1.570337472708424,16534.716666666667,20
786,2012-03-02,0,TRENDING_UP,-6.0,-28.278900944048427,1.2476455001559534,11239.966666666667,20
786,2013-02-27,1,TRENDING_UP,-6.0,60.52032657989767,1.444069198052497,10666.666666666666,20
786,2007-09-28,0,TRENDING_UP,-6.0,100.2333237699039,1.317874183264204,3566.6666666666665,20
786,2013-06-11,1,TRENDING_UP,-6.0,14.699653174784675,1.4509752831129463,15550.0,20
786,2026-05-12,0,TRENDING_UP,-6.0,120.52831476536441,1.3323498378609988,853037.1833333333,20
786,2014-01-27,1,TRENDING_UP,-6.0,70.33401467770854,1.725156031225993,13233.333333333334,20
786,2012-10-22,0,TRENDING_UP,-6.0,35.84974276476554,1.5467027405726694,12210.783333333333,20
786,2014-02-11,1,RANGING,-6.0,4.892103666308195,1.3423726596409111,10475.0,20
786,2024-08-13,0,RANGING,-6.0,11.661281594385084,1.4312674172902495,8419.8,20
786,2018-09-04,1,TRENDING_DOWN,530.8270676691728,47.641284102812016,1.6064195476569938,22958.333333333332,20
786,2019-05-14,0,TRENDING_DOWN,2.583586626139817,17.963128465088364,1.537148975438599,150725.0,20
786,2018-09-05,1,TRENDING_DOWN,-6.0,69.34373978306245,1.642390024504474,24800.0,20
786,2019-07-09,0,TRENDING_DOWN,-6.0,19.471444976355592,2.2690023474994145,105916.66666666667,20
786,2018-09-06,1,TRENDING_DOWN,-6.0,104.2933805950424,1.668376792972951,24550.0,20
786,2019-07-02,0,TRENDING_DOWN,-6.0,19.15554860854331,2.2047338397771727,113116.66666666667,20
786,2018-09-07,1,TRENDING_DOWN,-6.0,121.5932660479788,1.681758426254582,27233.333333333332,20
786,2018-10-02,0,TRENDING_DOWN,221.15143929912392,193.1954811495122,1.927820012359076,40425.0,20
786,2018-09-10,1,TRENDING_DOWN,-6.0,135.22290444637207,1.6838428448082712,29116.666666666668,20
786,2018-12-28,0,TRENDING_DOWN,6.3967611336032455,183.11548647203216,4.336236673764699,644375.0,20
786,2018-10-03,1,TRENDING_DOWN,185.42825361512794,302.36827083240985,2.037950594413585,44091.666666666664,20
786,2019-03-21,0,TRENDING_DOWN,16.910069177555734,5.12178521952115,3.8848584650277305,165216.66666666666,20
786,2018-10-04,1,TRENDING_DOWN,-6.0,340.39634708825747,2.0467994724332095,56583.333333333336,20
786,2019-04-01,0,TRENDING_DOWN,19.585253456221206,2.5963439128362884,3.2987065108346565,161200.0,20
786,2018-10-05,1,TRENDING_DOWN,-6.0,283.51508981603206,2.0212998430851474,59583.333333333336,20
786,2008-06-20,0,TRENDING_DOWN,-6.0,40.54951213007071,1.0772572806142509,32725.0,20
786,2018-10-25,1,VOLATILE,128.18261633011412,533.4117684734694,2.7450712795848533,109808.33333333333,20
786,2011-03-28,0,VOLATILE,-6.0,-26.164159013843356,1.2260950323860464,7334.6,20
786,2018-10-26,1,VOLATILE,110.18593371059015,478.99041618118014,2.7125776729385294,111050.0,20
786,2008-01-18,0,VOLATILE,-6.0,69.07010790889258,1.1645241214471036,4308.333333333333,20
786,2018-10-29,1,VOLATILE,94.46522064323113,513.6170308814801,2.7198237101720752,115600.0,20
786,2024-01-11,0,VOLATILE,-6.0,-111.94640073390136,0.14714298150653768,406325.0,20
786,2018-10-30,1,VOLATILE,81.2674094707521,604.9592481462722,2.762362304525969,119150.0,20
786,2019-06-24,0,VOLATILE,-6.0,18.406006466037667,2.200262985039596,119466.66666666667,20
786,2018-10-31,1,VOLATILE,69.33593750000001,600.6707189537948,2.7617659309192195,125450.0,20
786,2026-03-03,0,VOLATILE,1.1544585987261113,95.39905151417211,2.1086265428741804,235411.73333333334,20
