symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,holding_days,rs_rating,rs_score
GAMON,2024-07-22,2024-07-23,22.23,2024-08-13,30.0623,sl,35.233,21,95.9,103.72
GAMON,2024-09-04,2024-09-05,44.15,2024-09-11,40.618,sl,-8.0,6,98.9,411.47
GAMON,2024-09-18,2024-09-19,55.52,2024-09-27,51.0784,sl,-8.0,8,99.6,568.09
GAMON,2024-10-24,2024-10-25,79.54,2024-10-28,73.1768,sl,-8.0,3,100.0,631.98
GCIL,2021-04-27,2021-04-28,19.0,2021-05-03,17.48,sl,-8.0,5,98.0,193.22
GCIL,2021-06-23,2021-06-24,23.89,2021-08-02,50.1624,sl,109.9725,39,98.3,238.79
GEMSPNL,2025-09-19,2025-09-22,53.24,2025-10-06,51.8679,sl,-2.5773,14,96.3,159.31
GEMSPNL,2025-10-31,2025-11-03,65.2,2025-11-12,60.6676,sl,-6.9516,9,96.8,203.29
GEMSPNL,2025-12-09,2025-12-10,66.97,2025-12-16,61.6703,sl,-7.9136,6,96.7,184.1
GFIL,2024-04-18,2024-04-19,10.98,2024-04-22,10.1016,sl,-8.0,3,95.6,60.72
GFIL,2024-05-15,2024-05-16,10.5,2024-05-23,9.66,sl,-8.0,7,95.1,77.85
GFIL,2024-07-15,2024-07-18,13.24,2024-07-19,12.1808,sl,-8.0,1,95.2,94.1
GGL,2021-05-18,2021-05-19,41.99,2021-06-09,42.345,sl,0.8454,21,97.7,189.24
GGL,2021-06-11,2021-06-14,48.0,2021-07-23,47.3196,sl,-1.4176,39,97.4,203.79
GHNI,2023-11-29,2023-11-30,192.0,2023-12-13,177.2393,sl,-7.6879,13,95.8,45.61
GHNI,2024-05-02,2024-05-03,256.0,2024-05-20,273.637,sl,6.8895,17,95.2,67.45
GHNI,2024-07-08,2024-07-09,298.11,2024-07-22,307.1199,sl,3.0223,13,96.2,119.0
GHNI,2024-07-29,2024-07-30,370.0,2024-07-31,340.4,sl,-8.0,1,95.1,116.65
GHNI,2024-08-02,2024-08-05,392.0,2024-08-16,371.1207,sl,-5.3263,11,95.8,121.81
GHNI,2025-02-12,2025-02-13,700.0,2025-02-14,644.0,sl,-8.0,1,96.9,136.0
GHNI,2025-03-17,2025-03-18,717.52,2025-04-07,711.6904,sl,-0.8125,20,98.8,153.32
GHNI,2025-04-18,2025-04-21,779.0,2025-04-25,716.68,sl,-8.0,4,97.8,132.31
GLAXO,2024-10-11,2024-10-14,213.45,2024-12-06,380.74,time,78.3743,53,96.7,91.96
GLAXO,2025-01-17,2025-01-20,409.0,2025-02-04,394.507,sl,-3.5435,15,98.4,183.23
GLAXO,2025-03-19,2025-03-20,410.01,2025-04-07,400.4899,sl,-2.3219,18,98.3,141.45
GLAXO,2025-04-10,2025-04-11,415.0,2025-04-25,430.5893,sl,3.7565,14,98.6,150.6
GLPL,2025-05-20,2025-05-21,305.0,2025-05-26,280.6,sl,-8.0,5,96.1,81.92
GRYL,2025-08-11,2025-08-12,14.74,2025-08-27,18.8789,sl,28.0791,15,96.9,150.46
GRYL,2025-09-03,2025-09-04,28.89,2025-09-05,26.5788,sl,-8.0,1,98.8,328.24
GRYL,2025-09-08,2025-09-09,29.9,2025-09-19,28.6606,sl,-4.1452,10,99.1,318.55
GRYL,2025-10-27,2025-10-28,41.0,2025-11-04,37.72,sl,-8.0,7,99.3,508.31
GVGL,2022-04-14,2022-04-15,79.5,2022-04-28,77.0194,sl,-3.1202,13,95.3,35.18
GVGL,2023-06-14,2023-06-15,85.8,2023-06-16,78.936,sl,-8.0,1,96.0,34.49
