symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,rs_rating,rs_score,holding_days,year,rs_bucket
AGTL,2025-01-03,2025-01-06,725.0,2025-01-07,696.0,sl,-4.0,83.1,19.34,1,2025,80-90
AHCL,2022-05-06,2022-05-09,37.71,2022-05-13,36.2016,sl,-4.0,85.6,10.48,4,2022,80-90
AHCL,2024-07-02,2024-07-03,53.14,2024-07-08,57.3912,tp,8.0,85.3,17.97,5,2024,80-90
AHCL,2024-08-09,2024-08-12,54.45,2024-08-13,52.272,sl,-4.0,84.1,22.13,1,2024,80-90
AHCL,2024-09-23,2024-09-24,57.99,2024-09-26,55.6704,sl,-4.0,87.5,27.77,2,2024,80-90
AHCL,2024-10-01,2024-10-02,57.5,2024-10-11,62.1,tp,8.0,84.8,27.04,9,2024,80-90
AHCL,2024-10-21,2024-10-22,59.88,2024-10-23,64.6704,tp,8.0,88.1,36.0,1,2024,80-90
AHCL,2024-11-01,2024-11-04,69.8,2024-11-05,67.008,sl,-4.0,90.7,50.42,1,2024,90-95
AHCL,2024-11-08,2024-11-11,68.0,2024-11-12,65.28,sl,-4.0,86.7,35.24,1,2024,80-90
AHCL,2024-11-27,2024-11-28,70.98,2024-12-10,68.1408,sl,-4.0,86.4,29.03,12,2024,80-90
AHCL,2025-03-10,2025-03-11,104.89,2025-03-12,100.6944,sl,-4.0,94.0,67.32,1,2025,90-95
AHCL,2025-03-20,2025-03-21,105.8,2025-03-27,101.568,sl,-4.0,93.4,58.68,6,2025,90-95
AHL,2025-09-23,2025-09-24,130.0,2025-09-25,124.8,sl,-4.0,81.4,34.42,1,2025,80-90
AICL,2025-10-03,2025-10-06,82.9,2025-10-07,89.532,tp,8.0,80.1,21.69,1,2025,80-90
AICL,2025-10-08,2025-10-09,89.89,2025-10-10,86.2944,sl,-4.0,85.5,50.02,1,2025,80-90
AIRLINK,2023-10-17,2023-10-18,29.49,2023-10-19,28.3104,sl,-4.0,81.5,4.56,1,2023,80-90
AIRLINK,2023-10-23,2023-10-24,35.5,2023-11-02,38.34,tp,8.0,91.5,19.94,9,2023,90-95
AIRLINK,2023-11-16,2023-11-17,53.75,2023-11-20,58.05,tp,8.0,98.1,70.67,3,2023,95-100
AIRLINK,2024-03-11,2024-03-12,67.0,2024-03-13,64.32,sl,-4.0,96.4,102.35,1,2024,95-100
AIRLINK,2024-04-09,2024-04-15,62.61,2024-04-16,67.6188,tp,8.0,96.7,81.93,1,2024,95-100
AIRLINK,2024-04-19,2024-04-22,71.4,2024-04-23,77.112,tp,8.0,96.8,108.83,1,2024,95-100
AIRLINK,2024-04-24,2024-04-25,80.5,2024-04-30,77.28,sl,-4.0,97.3,141.49,5,2024,95-100
AIRLINK,2024-06-03,2024-06-04,80.0,2024-06-05,76.8,sl,-4.0,95.5,83.26,1,2024,95-100
AIRLINK,2024-06-20,2024-06-21,87.98,2024-07-04,91.13,time,3.5804,96.7,89.77,13,2024,95-100
AIRLINK,2024-07-09,2024-07-10,96.05,2024-07-11,103.734,tp,8.0,97.1,136.67,1,2024,95-100
AIRLINK,2024-07-12,2024-07-15,106.0,2024-07-22,101.76,sl,-4.0,97.8,141.17,7,2024,95-100
AIRLINK,2024-08-08,2024-08-09,121.1,2024-08-13,130.788,tp,8.0,98.1,164.35,4,2024,95-100
