symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,rs_rating,rs_score,holding_days,year,rs_bucket
KOIL,2023-11-03,2023-11-06,8.02,2023-11-07,8.6616,tp,8.0,91.7,20.57,1,2023,90-95
KOIL,2025-03-17,2025-03-18,14.28,2025-03-19,13.7088,sl,-4.0,83.5,16.38,1,2025,80-90
KOIL,2025-10-10,2025-10-13,20.3,2025-10-14,21.924,tp,8.0,80.5,36.15,1,2025,80-90
KOIL,2025-10-15,2025-10-16,28.17,2025-10-17,27.0432,sl,-4.0,91.8,88.71,1,2025,90-95
KOIL,2025-10-20,2025-10-21,35.55,2025-10-22,38.394,tp,8.0,95.4,166.1,1,2025,95-100
KOIL,2025-10-23,2025-10-24,45.7,2025-10-27,49.356,tp,8.0,97.7,278.79,3,2025,95-100
KOIL,2025-11-04,2025-11-05,56.44,2025-11-06,60.9552,tp,8.0,98.4,370.61,1,2025,95-100
KOIL,2025-11-10,2025-11-11,73.5,2025-11-12,70.56,sl,-4.0,99.5,633.46,1,2025,95-100
KSBP,2023-08-02,2023-08-03,119.8,2023-08-04,115.008,sl,-4.0,87.6,11.52,1,2023,80-90
KSBP,2023-10-16,2023-10-17,128.1,2023-10-18,122.976,sl,-4.0,87.6,11.71,1,2023,80-90
KSBP,2025-05-27,2025-05-29,222.55,2025-05-30,240.354,tp,8.0,83.0,25.87,1,2025,80-90
KSTM,2025-07-17,2025-07-18,10.97,2025-07-21,10.5312,sl,-4.0,87.4,52.86,3,2025,80-90
KSTM,2025-11-28,2025-12-01,18.78,2025-12-02,18.0288,sl,-4.0,83.0,36.82,1,2025,80-90
KTML,2021-01-05,2021-01-06,67.0,2021-01-14,72.36,tp,8.0,84.5,44.86,8,2021,80-90
KTML,2021-01-21,2021-01-22,74.3,2021-02-08,80.244,tp,8.0,84.2,48.21,17,2021,80-90
KTML,2023-03-09,2023-03-10,55.49,2023-03-13,59.9292,tp,8.0,82.1,2.0,3,2023,80-90
KTML,2023-08-17,2023-08-18,60.1,2023-08-31,57.696,sl,-4.0,83.1,5.94,13,2023,80-90
KTML,2023-10-27,2023-10-30,66.9,2023-10-31,64.224,sl,-4.0,80.6,3.54,1,2023,80-90
KTML,2023-11-06,2023-11-07,72.52,2023-11-10,78.3216,tp,8.0,84.7,9.58,3,2023,80-90
KTML,2023-11-16,2023-11-17,84.0,2023-11-20,80.64,sl,-4.0,90.3,23.78,3,2023,90-95
KTML,2023-11-27,2023-11-28,83.99,2023-12-01,90.7092,tp,8.0,88.2,19.15,3,2023,80-90
KTML,2024-01-04,2024-01-05,97.0,2024-01-08,93.12,sl,-4.0,89.8,32.95,3,2024,80-90
KTML,2025-05-29,2025-05-30,172.71,2025-06-02,186.5268,tp,8.0,83.3,28.01,3,2025,80-90
KTML,2025-06-10,2025-06-11,182.0,2025-06-12,196.56,tp,8.0,84.1,32.22,1,2025,80-90
KTML,2025-07-10,2025-07-11,230.8,2025-07-14,249.264,tp,8.0,87.5,56.99,3,2025,80-90
KTML,2025-09-05,2025-09-08,255.0,2025-09-11,275.4,tp,8.0,90.8,72.19,3,2025,90-95
KTML,2025-09-12,2025-09-15,59.0,2025-09-17,63.72,tp,8.0,94.4,106.69,2,2025,90-95
LCI,2024-10-08,2024-10-09,1144.0,2024-10-10,1235.52,tp,8.0,82.3,12.44,1,2024,80-90
LEUL,2025-06-18,2025-06-19,35.4,2025-06-20,38.232,tp,8.0,83.2,37.0,1,2025,80-90
LEUL,2025-07-22,2025-07-23,49.86,2025-07-24,53.8488,tp,8.0,94.7,116.64,1,2025,90-95
LEUL,2025-08-20,2025-08-21,55.01,2025-08-22,59.4108,tp,8.0,94.9,124.43,1,2025,90-95
LOADS,2024-05-06,2024-05-07,11.78,2024-05-08,12.7224,tp,8.0,85.2,13.36,1,2024,80-90
LOADS,2025-01-20,2025-01-21,17.5,2025-01-22,16.8,sl,-4.0,82.5,14.97,1,2025,80-90
LOADS,2025-01-23,2025-01-24,17.45,2025-01-27,18.846,tp,8.0,83.6,23.56,3,2025,80-90
LOADS,2025-01-30,2025-01-31,19.5,2025-02-04,18.72,sl,-4.0,90.4,48.71,4,2025,90-95
LOTCHEM,2022-04-18,2022-04-19,17.7,2022-04-21,19.116,tp,8.0,80.5,7.21,2,2022,80-90
LOTCHEM,2022-08-12,2022-08-15,32.0,2022-08-16,30.72,sl,-4.0,99.6,103.22,1,2022,95-100
LOTCHEM,2023-05-25,2023-05-26,27.18,2023-06-01,26.0928,sl,-4.0,81.2,3.91,6,2023,80-90
LOTCHEM,2023-06-02,2023-06-05,28.4,2023-06-19,27.264,sl,-4.0,81.7,6.28,14,2023,80-90
LOTCHEM,2023-07-03,2023-07-04,29.55,2023-07-05,28.368,sl,-4.0,83.0,5.46,1,2023,80-90
LPGL,2023-12-11,2023-12-12,31.02,2023-12-13,29.7792,sl,-4.0,82.6,10.53,1,2023,80-90
LPGL,2024-06-20,2024-06-21,34.01,2024-06-24,36.7308,tp,8.0,86.7,17.0,3,2024,80-90
LPGL,2024-07-11,2024-07-12,94.14,2024-07-15,101.6712,tp,8.0,98.9,236.3,3,2024,95-100
LPGL,2024-07-18,2024-07-19,123.59,2024-07-22,133.4772,tp,8.0,99.3,359.94,3,2024,95-100
LPGL,2024-07-23,2024-07-24,154.0,2024-07-25,166.32,tp,8.0,99.2,516.11,1,2024,95-100
LPGL,2024-07-26,2024-07-29,218.97,2024-07-30,236.4876,tp,8.0,99.6,752.21,1,2024,95-100
LPGL,2024-07-31,2024-08-01,254.98,2024-08-02,275.3784,tp,8.0,100.0,971.72,1,2024,95-100
LPGL,2024-08-08,2024-08-09,497.4,2024-08-12,477.504,sl,-4.0,100.0,1632.65,3,2024,95-100
LPGL,2025-07-15,2025-07-16,158.99,2025-07-17,152.6304,sl,-4.0,80.4,33.8,1,2025,80-90
LPL,2022-11-29,2022-11-30,15.15,2022-12-01,16.362,tp,8.0,84.7,8.62,1,2022,80-90
LPL,2023-02-24,2023-02-27,16.85,2023-03-01,16.176,sl,-4.0,94.2,24.98,2,2023,90-95
LPL,2023-07-11,2023-07-12,18.3,2023-07-13,19.764,tp,8.0,89.5,15.5,1,2023,80-90
LPL,2023-07-20,2023-07-21,22.8,2023-08-01,24.624,tp,8.0,97.9,53.55,11,2023,95-100
LPL,2023-08-09,2023-08-10,29.91,2023-08-15,32.3028,tp,8.0,99.6,83.38,5,2023,95-100
LPL,2023-11-21,2023-11-22,22.45,2023-11-24,21.552,sl,-4.0,88.7,17.53,2,2023,80-90
LPL,2024-05-22,2024-05-23,28.99,2024-05-24,27.8304,sl,-4.0,85.8,19.5,1,2024,80-90
LSECL,2025-08-19,2025-08-20,7.84,2025-08-21,7.5264,sl,-4.0,81.4,30.31,1,2025,80-90
LSECL,2025-12-02,2025-12-03,9.32,2025-12-05,8.9472,sl,-4.0,82.5,36.44,2,2025,80-90
LSECL,2025-12-12,2025-12-15,4.63,2025-12-17,4.4448,sl,-4.0,82.0,32.12,2,2025,80-90
LSEFSL,2025-06-12,2025-06-13,42.97,2025-06-16,41.2512,sl,-4.0,98.5,266.88,3,2025,95-100
LSEFSL,2025-11-03,2025-11-04,30.38,2025-11-05,29.1648,sl,-4.0,96.6,207.31,1,2025,95-100
LSEVL,2025-01-21,2025-01-22,13.0,2025-01-27,12.48,sl,-4.0,95.1,88.03,5,2025,95-100
LSEVL,2025-02-03,2025-02-04,11.5,2025-02-06,11.04,sl,-4.0,93.3,69.84,2,2025,90-95
LSEVL,2025-02-12,2025-02-13,12.0,2025-02-14,11.52,sl,-4.0,92.9,68.0,1,2025,90-95
LSEVL,2025-08-25,2025-08-26,15.72,2025-08-27,15.0912,sl,-4.0,84.2,36.44,1,2025,80-90
LUCK,2021-04-26,2021-04-27,866.0,2021-05-03,831.36,sl,-4.0,81.5,27.18,6,2021,80-90
LUCK,2021-05-06,2021-05-17,920.0,2021-05-28,915.32,time,-0.5087,83.7,33.05,11,2021,80-90
LUCK,2023-05-26,2023-05-29,513.0,2023-06-09,508.2,time,-0.9357,88.0,13.77,11,2023,80-90
LUCK,2023-07-06,2023-07-07,559.95,2023-07-20,583.29,time,4.1682,91.3,16.53,13,2023,90-95
LUCK,2023-08-07,2023-08-08,615.5,2023-08-22,602.62,time,-2.0926,95.0,23.92,14,2023,90-95
LUCK,2023-10-18,2023-10-19,599.0,2023-11-02,646.92,tp,8.0,84.6,5.58,14,2023,80-90
LUCK,2023-11-06,2023-11-07,697.0,2023-11-21,691.43,time,-0.7991,88.4,13.24,14,2023,80-90
LUCK,2023-11-30,2023-12-01,790.0,2023-12-14,812.81,time,2.8873,82.9,12.18,13,2023,80-90
LUCK,2024-03-15,2024-03-18,774.74,2024-03-25,743.7504,sl,-4.0,84.8,13.37,7,2024,80-90
LUCK,2024-04-03,2024-04-04,801.3,2024-04-24,865.404,tp,8.0,82.5,9.29,20,2024,80-90
LUCK,2025-02-24,2025-02-25,1460.0,2025-03-10,1448.49,time,-0.7884,84.8,22.17,13,2025,80-90
LUCK,2025-03-13,2025-03-14,1490.0,2025-03-27,1496.6,time,0.443,84.6,21.17,13,2025,80-90
LUCK,2025-04-14,2025-04-15,1700.0,2025-04-28,1632.0,sl,-4.0,90.4,46.89,13,2025,90-95
MACFL,2023-05-29,2023-05-30,16.82,2023-05-31,16.1472,sl,-4.0,83.1,6.6,1,2023,80-90
MACFL,2023-07-12,2023-07-13,18.9,2023-07-14,18.144,sl,-4.0,86.2,8.74,1,2023,80-90
MACFL,2025-06-18,2025-06-19,32.44,2025-06-20,35.0352,tp,8.0,85.9,43.28,1,2025,80-90
MACFL,2025-07-09,2025-07-10,60.9,2025-07-11,65.772,tp,8.0,97.1,215.44,1,2025,95-100
MACTER,2024-11-20,2024-11-21,189.0,2024-11-22,204.12,tp,8.0,80.8,18.59,1,2024,80-90
MACTER,2024-11-25,2024-11-26,253.98,2024-11-27,274.2984,tp,8.0,93.5,72.01,1,2024,90-95
MACTER,2024-12-10,2024-12-11,413.5,2024-12-12,446.58,tp,8.0,98.9,213.77,1,2024,95-100
MACTER,2025-04-11,2025-04-14,434.0,2025-04-15,468.72,tp,8.0,99.7,204.84,1,2025,95-100
MACTER,2025-04-17,2025-04-18,443.0,2025-04-21,478.44,tp,8.0,99.4,201.32,3,2025,95-100
MACTER,2025-06-18,2025-06-19,530.0,2025-06-20,572.4,tp,8.0,97.0,171.61,1,2025,95-100
MARI,2024-01-17,2024-01-18,2348.08,2024-01-24,2535.9264,tp,8.0,81.2,8.75,6,2024,80-90
MARI,2024-03-07,2024-03-08,2438.9,2024-03-13,2341.344,sl,-4.0,83.3,11.07,5,2024,80-90
MARI,2024-03-19,2024-03-20,2496.0,2024-04-02,2495.49,time,-0.0204,87.8,13.18,13,2024,80-90
MARI,2024-04-08,2024-04-09,2570.0,2024-04-23,2775.6,tp,8.0,81.6,6.85,14,2024,80-90
MARI,2024-05-24,2024-05-27,2836.0,2024-06-04,2722.56,sl,-4.0,82.6,12.41,8,2024,80-90
MARI,2024-08-13,2024-08-15,3401.5,2024-08-19,3265.44,sl,-4.0,87.5,32.09,4,2024,80-90
MARI,2024-09-04,2024-09-05,3651.0,2024-09-12,3504.96,sl,-4.0,89.6,41.67,7,2024,80-90
MCB,2023-07-19,2023-07-20,138.01,2023-07-27,149.0508,tp,8.0,83.1,6.45,7,2023,80-90
MCB,2023-10-16,2023-10-17,144.5,2023-10-30,150.13,time,3.8962,81.5,3.4,13,2023,80-90
MCB,2024-02-28,2024-02-29,197.98,2024-03-14,190.0608,sl,-4.0,85.1,10.82,14,2024,80-90
MCB,2024-03-28,2024-03-29,200.99,2024-04-08,217.0692,tp,8.0,83.8,8.25,10,2024,80-90
MCB,2024-06-20,2024-06-21,245.0,2024-06-27,235.2,sl,-4.0,84.9,13.03,6,2024,80-90
MCBIM,2025-02-24,2025-02-25,84.75,2025-02-26,81.36,sl,-4.0,92.7,63.56,1,2025,90-95
MCBIM,2025-05-13,2025-05-14,93.9,2025-05-19,101.412,tp,8.0,96.0,87.85,5,2025,95-100
MCBIM,2025-05-20,2025-05-21,115.0,2025-05-22,110.4,sl,-4.0,98.4,128.77,1,2025,95-100
MCBIM,2025-06-04,2025-06-05,119.9,2025-06-18,129.492,tp,8.0,96.2,115.44,13,2025,95-100
MCBIM,2025-08-04,2025-08-05,147.0,2025-08-06,141.12,sl,-4.0,95.3,103.07,1,2025,95-100
MCBIM,2025-09-19,2025-09-22,142.0,2025-09-23,153.36,tp,8.0,91.3,72.92,1,2025,90-95
MCBIM,2025-09-24,2025-09-25,163.9,2025-09-29,177.012,tp,8.0,93.8,106.77,4,2025,90-95
MCBIM,2025-10-01,2025-10-02,188.0,2025-10-03,203.04,tp,8.0,94.8,130.61,1,2025,90-95
MCBIM,2025-10-06,2025-10-07,197.32,2025-10-08,213.1056,tp,8.0,97.3,204.61,1,2025,95-100
MCBIM,2025-10-15,2025-10-16,247.99,2025-10-17,238.0704,sl,-4.0,98.0,206.04,1,2025,95-100
MCBIM,2025-12-08,2025-12-09,229.18,2025-12-10,220.0128,sl,-4.0,92.7,96.0,1,2025,90-95
MDTL,2021-02-19,2021-02-22,2.75,2021-02-23,2.97,tp,8.0,94.5,106.37,1,2021,90-95
MDTL,2021-05-26,2021-05-27,4.26,2021-05-28,4.0896,sl,-4.0,95.9,136.96,1,2021,95-100
MDTL,2021-07-02,2021-07-05,4.16,2021-07-06,3.9936,sl,-4.0,92.9,124.95,1,2021,90-95
MDTL,2023-03-20,2023-03-21,2.05,2023-03-22,1.968,sl,-4.0,80.4,1.75,1,2023,80-90
MDTL,2024-09-13,2024-09-16,3.05,2024-09-18,2.928,sl,-4.0,91.3,63.93,2,2024,90-95
MDTL,2025-07-23,2025-07-24,3.78,2025-07-25,3.6288,sl,-4.0,85.5,52.74,1,2025,80-90
MDTL,2025-09-16,2025-09-17,5.21,2025-09-18,5.6268,tp,8.0,89.0,59.98,1,2025,80-90
MDTL,2025-10-22,2025-10-23,5.9,2025-10-24,5.664,sl,-4.0,91.5,92.26,1,2025,90-95
MEBL,2021-08-23,2021-08-24,161.4,2021-08-26,154.944,sl,-4.0,83.8,51.63,2,2021,80-90
MEBL,2022-04-12,2022-04-13,144.5,2022-04-22,138.72,sl,-4.0,84.2,11.54,9,2022,80-90
MEBL,2022-08-12,2022-08-15,133.5,2022-08-22,128.16,sl,-4.0,81.4,5.71,7,2022,80-90
MEBL,2023-07-31,2023-08-01,132.1,2023-08-04,126.816,sl,-4.0,88.0,11.48,3,2023,80-90
MEBL,2023-10-13,2023-10-16,127.99,2023-10-27,138.2292,tp,8.0,81.3,3.81,11,2023,80-90
MEBL,2023-11-03,2023-11-06,142.02,2023-11-20,145.99,time,2.7954,83.7,7.3,14,2023,80-90
MEBL,2023-11-22,2023-11-23,153.0,2023-11-24,165.24,tp,8.0,81.5,8.24,1,2023,80-90
MEBL,2024-03-20,2024-03-21,195.0,2024-03-27,210.6,tp,8.0,92.6,34.65,6,2024,90-95
MEBL,2024-04-04,2024-04-08,218.0,2024-04-09,235.44,tp,8.0,93.2,42.97,1,2024,90-95
MEBL,2024-05-15,2024-05-16,222.7,2024-05-24,240.516,tp,8.0,88.7,25.51,8,2024,80-90
MEBL,2024-05-31,2024-06-03,246.1,2024-06-07,236.256,sl,-4.0,91.9,45.31,4,2024,90-95
MEBL,2024-06-14,2024-06-20,243.0,2024-06-21,262.44,tp,8.0,92.9,46.47,1,2024,90-95
MEBL,2024-08-16,2024-08-19,242.0,2024-09-02,232.32,sl,-4.0,84.1,22.65,14,2024,80-90
MERIT,2022-10-19,2022-10-20,12.25,2022-10-25,11.76,sl,-4.0,90.4,13.36,5,2022,90-95
MERIT,2022-11-16,2022-11-17,12.9,2022-11-28,12.384,sl,-4.0,92.5,25.69,11,2022,90-95
META,2024-03-13,2024-03-14,10.48,2024-03-15,11.3184,tp,8.0,92.3,38.78,1,2024,90-95
META,2024-03-19,2024-03-20,14.3,2024-03-21,15.444,tp,8.0,96.6,101.0,1,2024,95-100
MFFL,2021-07-27,2021-07-28,417.0,2021-07-30,400.32,sl,-4.0,81.5,44.32,2,2021,80-90
MFFL,2023-11-10,2023-11-13,140.0,2023-11-14,134.4,sl,-4.0,95.3,36.43,1,2023,95-100
MFFL,2023-11-22,2023-11-23,158.99,2023-11-24,171.7092,tp,8.0,97.3,64.48,1,2023,95-100
MFFL,2023-11-27,2023-11-28,200.0,2023-11-29,216.0,tp,8.0,98.5,111.13,1,2023,95-100
MFFL,2023-11-30,2023-12-01,260.0,2023-12-04,249.6,sl,-4.0,98.8,153.42,3,2023,95-100
MFFL,2024-04-29,2024-04-30,169.5,2024-05-02,162.72,sl,-4.0,89.5,19.66,2,2024,80-90
MFFL,2024-05-10,2024-05-13,170.16,2024-05-14,163.3536,sl,-4.0,88.3,22.28,1,2024,80-90
MFFL,2024-12-26,2024-12-27,263.97,2024-12-30,253.4112,sl,-4.0,86.2,38.52,3,2024,80-90
MFFL,2025-01-14,2025-01-15,287.0,2025-01-16,275.52,sl,-4.0,88.6,40.1,1,2025,80-90
MFFL,2025-01-17,2025-01-20,301.0,2025-01-21,288.96,sl,-4.0,90.6,56.84,1,2025,90-95
MFFL,2025-02-03,2025-02-04,318.0,2025-02-06,305.28,sl,-4.0,92.7,61.23,2,2025,90-95
MFL,2021-06-16,2021-06-17,36.6,2021-06-18,35.136,sl,-4.0,81.6,46.61,1,2021,80-90
MFL,2021-06-22,2021-06-23,39.99,2021-06-24,38.3904,sl,-4.0,83.2,56.87,1,2021,80-90
MFL,2021-06-30,2021-07-01,41.33,2021-07-02,39.6768,sl,-4.0,84.5,67.69,1,2021,80-90
MFL,2022-04-11,2022-04-12,37.97,2022-04-13,36.4512,sl,-4.0,95.4,32.42,1,2022,95-100
MFL,2022-08-15,2022-08-16,34.49,2022-08-18,33.1104,sl,-4.0,84.3,9.97,2,2022,80-90
MFL,2022-08-22,2022-08-23,35.25,2022-08-25,38.07,tp,8.0,87.2,12.4,2,2022,80-90
MFL,2024-12-26,2024-12-27,49.9,2025-01-03,47.904,sl,-4.0,80.0,12.81,7,2024,70-80
MFL,2025-01-30,2025-01-31,51.0,2025-02-03,48.96,sl,-4.0,84.7,25.19,3,2025,80-90
MFL,2025-11-19,2025-11-20,67.65,2025-11-24,73.062,tp,8.0,80.9,35.96,4,2025,80-90
MFL,2025-12-17,2025-12-18,78.5,2025-12-19,75.36,sl,-4.0,80.9,32.77,1,2025,80-90
MLCF,2023-05-03,2023-05-04,28.74,2023-05-09,27.5904,sl,-4.0,81.6,3.34,5,2023,80-90
MLCF,2023-05-26,2023-05-29,28.0,2023-06-12,26.88,sl,-4.0,85.5,9.27,14,2023,80-90
MLCF,2023-06-26,2023-06-27,28.29,2023-07-04,30.5532,tp,8.0,87.3,11.06,7,2023,80-90
MLCF,2023-07-31,2023-08-01,33.8,2023-08-08,32.448,sl,-4.0,94.0,19.88,7,2023,90-95
MLCF,2023-10-16,2023-10-17,34.9,2023-10-30,36.05,time,3.2951,82.7,4.1,13,2023,80-90
MLCF,2023-11-13,2023-11-14,38.47,2023-11-27,39.17,time,1.8196,81.0,2.26,13,2023,80-90
MLCF,2023-12-01,2023-12-04,42.9,2023-12-13,41.184,sl,-4.0,80.2,9.18,9,2023,80-90
MLCF,2025-04-21,2025-04-22,69.51,2025-04-23,66.7296,sl,-4.0,86.1,33.75,1,2025,80-90
MLCF,2025-05-13,2025-05-14,75.92,2025-05-27,75.66,time,-0.3425,92.2,46.21,13,2025,90-95
MLCF,2025-05-29,2025-05-30,78.75,2025-06-02,75.6,sl,-4.0,91.1,55.89,3,2025,90-95
MLCF,2025-06-03,2025-06-04,77.02,2025-06-11,83.1816,tp,8.0,89.3,48.07,7,2025,80-90
MLCF,2025-07-07,2025-07-08,85.34,2025-07-21,83.19,time,-2.5193,84.9,45.85,13,2025,80-90
MLCF,2025-07-28,2025-07-29,83.65,2025-07-30,80.304,sl,-4.0,80.8,37.9,1,2025,80-90
MLCF,2025-08-18,2025-08-19,89.99,2025-08-22,97.1892,tp,8.0,89.0,53.26,3,2025,80-90
MLCF,2025-08-29,2025-09-01,103.0,2025-09-08,111.24,tp,8.0,92.3,77.57,7,2025,90-95
MLCF,2025-12-10,2025-12-11,123.6,2025-12-12,118.656,sl,-4.0,86.8,50.14,1,2025,80-90
MSCL,2021-04-21,2021-04-22,17.06,2021-04-26,16.3776,sl,-4.0,84.2,45.03,4,2021,80-90
MSCL,2021-06-09,2021-06-10,20.02,2021-06-11,21.6216,tp,8.0,89.5,73.19,1,2021,80-90
MSCL,2021-08-03,2021-08-04,24.0,2021-08-06,25.92,tp,8.0,89.3,84.35,2,2021,80-90
MSCL,2022-11-02,2022-11-22,29.4,2022-11-23,28.224,sl,-4.0,99.2,74.41,1,2022,95-100
MSCL,2023-03-21,2023-03-22,27.45,2023-03-29,29.646,tp,8.0,96.5,42.37,7,2023,95-100
MSCL,2025-07-14,2025-07-15,19.75,2025-07-16,18.96,sl,-4.0,81.9,36.03,1,2025,80-90
MUGHAL,2021-01-07,2021-01-08,78.8,2021-01-22,75.648,sl,-4.0,83.3,42.46,14,2021,80-90
MUGHAL,2021-02-10,2021-02-11,83.2,2021-02-12,79.872,sl,-4.0,80.1,44.94,1,2021,80-90
MUGHAL,2021-02-18,2021-02-19,95.01,2021-02-22,102.6108,tp,8.0,89.0,64.2,3,2021,80-90
MUGHAL,2021-02-26,2021-03-01,108.99,2021-03-02,117.7092,tp,8.0,92.9,94.02,1,2021,90-95
MUGHAL,2021-06-03,2021-06-04,114.0,2021-06-17,112.15,time,-1.6228,89.5,75.63,13,2021,80-90
MUGHAL,2023-07-18,2023-07-19,58.25,2023-07-24,55.92,sl,-4.0,82.8,4.38,5,2023,80-90
MUGHAL,2024-05-31,2024-06-03,91.0,2024-06-04,87.36,sl,-4.0,82.3,11.22,1,2024,80-90
MUGHAL,2024-06-07,2024-06-10,91.5,2024-06-13,98.82,tp,8.0,83.7,14.56,3,2024,80-90
MUREB,2024-07-12,2024-07-15,550.0,2024-07-19,528.0,sl,-4.0,84.7,22.12,4,2024,80-90
MUREB,2024-07-29,2024-07-30,569.97,2024-07-31,547.1712,sl,-4.0,87.9,31.15,1,2024,80-90
MUREB,2024-10-14,2024-10-15,560.0,2024-10-25,604.8,tp,8.0,84.8,25.84,10,2024,80-90
MUREB,2024-11-15,2024-11-18,649.95,2024-11-29,658.0,time,1.2386,86.3,32.29,11,2024,80-90
MUREB,2024-12-02,2024-12-03,697.0,2024-12-13,669.12,sl,-4.0,83.7,17.82,10,2024,80-90
MUREB,2025-01-06,2025-01-07,790.0,2025-01-20,811.02,time,2.6608,83.2,19.53,13,2025,80-90
MWMP,2025-07-21,2025-07-22,33.85,2025-07-23,36.558,tp,8.0,81.1,34.98,1,2025,80-90
MWMP,2025-07-24,2025-07-25,38.88,2025-07-28,37.3248,sl,-4.0,91.2,82.86,3,2025,90-95
MWMP,2025-08-29,2025-09-01,55.4,2025-09-02,59.832,tp,8.0,96.3,143.74,1,2025,95-100
MWMP,2025-09-04,2025-09-05,73.41,2025-09-08,79.2828,tp,8.0,96.8,184.66,3,2025,95-100
MWMP,2025-09-10,2025-09-11,104.48,2025-09-12,112.8384,tp,8.0,98.9,338.82,1,2025,95-100
MWMP,2025-09-16,2025-09-17,125.0,2025-09-18,135.0,tp,8.0,99.3,442.28,1,2025,95-100
MWMP,2025-09-19,2025-09-22,170.9,2025-09-23,164.064,sl,-4.0,99.5,726.31,1,2025,95-100
NATF,2024-01-18,2024-01-19,163.0,2024-01-23,156.48,sl,-4.0,81.0,10.24,4,2024,80-90
NATF,2024-03-26,2024-03-27,164.0,2024-04-15,162.41,time,-0.9695,81.3,8.11,19,2024,80-90
NATF,2024-04-29,2024-04-30,181.5,2024-05-02,174.24,sl,-4.0,84.5,13.97,2,2024,80-90
NATF,2024-05-06,2024-05-07,177.0,2024-05-08,169.92,sl,-4.0,80.3,8.78,1,2024,80-90
NATF,2025-06-03,2025-06-04,300.0,2025-06-05,288.0,sl,-4.0,80.6,24.41,1,2025,80-90
NATF,2025-06-25,2025-06-26,309.95,2025-06-27,334.746,tp,8.0,83.7,35.88,1,2025,80-90
NATF,2025-08-12,2025-08-13,388.5,2025-08-15,372.96,sl,-4.0,84.5,36.98,2,2025,80-90
NBP,2023-12-08,2023-12-11,38.0,2023-12-13,36.48,sl,-4.0,85.2,13.48,2,2023,80-90
NBP,2024-04-04,2024-04-08,41.9,2024-04-24,43.27,time,3.2697,88.6,25.26,16,2024,80-90
NBP,2024-07-05,2024-07-08,46.91,2024-07-09,50.6628,tp,8.0,85.8,22.78,1,2024,80-90
NBP,2024-08-21,2024-08-22,52.5,2024-08-29,50.4,sl,-4.0,88.6,38.61,7,2024,80-90
NBP,2024-10-08,2024-10-09,61.88,2024-10-10,66.8304,tp,8.0,90.8,46.48,1,2024,90-95
NBP,2024-11-27,2024-11-28,73.44,2024-11-29,70.5024,sl,-4.0,90.4,53.44,1,2024,90-95
NBP,2024-12-02,2024-12-03,74.48,2024-12-10,71.5008,sl,-4.0,89.1,45.94,7,2024,80-90
NBP,2025-04-17,2025-04-18,86.0,2025-04-24,82.56,sl,-4.0,83.1,20.99,6,2025,80-90
NBP,2025-04-25,2025-04-28,88.5,2025-04-29,84.96,sl,-4.0,83.1,23.23,1,2025,80-90
NBP,2025-05-21,2025-05-22,99.0,2025-05-23,95.04,sl,-4.0,91.1,46.14,1,2025,90-95
NBP,2025-06-04,2025-06-05,108.9,2025-06-10,104.544,sl,-4.0,90.1,57.79,5,2025,90-95
NBP,2025-07-01,2025-07-02,112.75,2025-07-04,121.77,tp,8.0,93.5,81.88,2,2025,90-95
NBP,2025-07-10,2025-07-11,122.4,2025-07-24,122.05,time,-0.2859,90.4,74.32,13,2025,90-95
NBP,2025-08-06,2025-08-07,138.98,2025-08-20,150.0984,tp,8.0,92.9,77.27,13,2025,90-95
NBP,2025-09-05,2025-09-08,174.97,2025-09-18,188.9676,tp,8.0,89.2,68.02,10,2025,80-90
NBP,2025-09-29,2025-09-30,202.99,2025-10-02,219.2292,tp,8.0,93.3,106.02,2,2025,90-95
NBP,2025-10-31,2025-11-03,225.87,2025-11-06,216.8352,sl,-4.0,91.8,105.35,3,2025,90-95
NBP,2025-12-08,2025-12-09,221.7,2025-12-17,239.436,tp,8.0,90.5,78.09,8,2025,90-95
NCL,2022-04-11,2022-04-12,55.75,2022-04-14,53.52,sl,-4.0,86.2,13.3,2,2022,80-90
NCML,2025-04-15,2025-04-16,12.01,2025-04-17,12.9708,tp,8.0,94.2,72.11,1,2025,90-95
NCML,2025-05-23,2025-05-26,15.71,2025-05-27,15.0816,sl,-4.0,92.4,63.5,1,2025,90-95
NCPL,2022-01-06,2022-01-07,16.9,2022-01-20,16.8,time,-0.5917,87.4,16.88,13,2022,80-90
NCPL,2022-02-08,2022-02-09,17.99,2022-02-17,17.2704,sl,-4.0,85.3,13.68,8,2022,80-90
NCPL,2022-08-15,2022-08-16,25.34,2022-08-29,24.3264,sl,-4.0,97.2,58.33,13,2022,95-100
NCPL,2023-05-17,2023-05-18,16.15,2023-06-01,15.504,sl,-4.0,89.9,10.7,14,2023,80-90
NCPL,2023-06-26,2023-06-27,17.05,2023-07-05,18.414,tp,8.0,89.0,14.5,8,2023,80-90
NCPL,2023-07-20,2023-07-21,19.99,2023-08-04,19.88,time,-0.5503,88.0,13.98,14,2023,80-90
NCPL,2023-08-09,2023-08-10,21.99,2023-08-11,21.1104,sl,-4.0,92.1,15.33,1,2023,90-95
NCPL,2023-08-17,2023-08-18,24.3,2023-08-21,23.328,sl,-4.0,90.3,17.59,3,2023,90-95
