symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,holding_days,rs_rating,rs_score
DAAG,2024-06-24,2024-06-25,189.51,2024-06-26,204.6708,tp,8.0,1,100.0,969.3
DAAG,2024-06-28,2024-07-01,267.45,2024-07-02,288.846,tp,8.0,1,100.0,1368.54
DAAG,2024-12-17,2024-12-18,139.24,2024-12-19,133.6704,sl,-4.0,1,99.3,238.17
DADX,2022-08-05,2022-08-10,102.11,2022-08-16,110.2788,tp,8.0,6,100.0,152.75
DCR,2022-03-31,2022-04-01,14.85,2022-04-14,14.95,time,0.6734,13,95.9,35.48
DFML,2022-10-20,2022-10-21,9.75,2022-10-24,10.53,tp,8.0,3,99.6,75.86
DFML,2022-11-24,2022-11-25,11.32,2022-11-28,12.2256,tp,8.0,3,98.8,99.84
DFML,2023-07-06,2023-07-07,11.88,2023-07-13,12.8304,tp,8.0,6,98.7,55.97
DFML,2023-07-14,2023-07-17,14.21,2023-07-18,13.6416,sl,-4.0,1,99.6,81.79
DFML,2023-08-11,2023-08-15,13.5,2023-08-16,14.58,tp,8.0,1,98.8,68.18
DFML,2024-04-24,2024-04-25,33.19,2024-04-29,35.8452,tp,8.0,4,96.1,85.47
DFML,2024-05-16,2024-05-17,37.78,2024-05-20,36.2688,sl,-4.0,3,97.7,130.26
DFML,2024-05-24,2024-05-27,42.84,2024-05-29,46.2672,tp,8.0,2,98.1,150.31
DFML,2024-05-30,2024-05-31,46.31,2024-06-05,44.4576,sl,-4.0,5,98.8,181.34
DFML,2024-08-26,2024-08-27,46.51,2024-08-28,50.2308,tp,8.0,1,95.9,126.98
DFML,2024-09-25,2024-09-26,50.52,2024-09-27,48.4992,sl,-4.0,1,95.5,117.7
DNCC,2023-05-23,2023-05-24,11.9,2023-05-25,11.424,sl,-4.0,1,97.7,47.25
DNCC,2023-11-06,2023-11-07,15.6,2023-11-08,14.976,sl,-4.0,1,97.2,56.0
DOL,2022-11-02,2022-11-03,25.35,2022-11-17,24.78,time,-2.2485,14,95.6,34.43
DOL,2023-03-17,2023-03-20,26.15,2023-03-21,28.242,tp,8.0,1,95.4,30.22
DOL,2023-07-19,2023-07-20,28.0,2023-07-21,26.88,sl,-4.0,1,95.7,29.05
DSL,2022-09-01,2022-09-02,6.1,2022-09-09,5.856,sl,-4.0,7,95.9,33.16
DWAE,2025-06-10,2025-06-11,41.67,2025-06-12,40.0032,sl,-4.0,1,99.2,394.25
ECOP,2025-05-21,2025-05-22,41.0,2025-05-23,44.28,tp,8.0,1,95.8,83.63
ECOP,2025-05-26,2025-05-27,58.56,2025-05-29,63.2448,tp,8.0,2,99.0,164.03
ECOP,2025-06-02,2025-06-03,85.75,2025-06-04,82.32,sl,-4.0,1,99.5,302.9
EFERT,2022-03-31,2022-04-01,91.07,2022-04-14,94.51,time,3.7773,13,95.5,32.51
EFERT,2022-04-19,2022-04-20,96.55,2022-04-28,92.688,sl,-4.0,8,95.8,31.25
EMCO,2025-07-23,2025-07-24,91.89,2025-07-25,88.2144,sl,-4.0,1,95.5,127.83
ENGRO,2023-02-02,2023-02-03,308.0,2023-02-07,295.68,sl,-4.0,4,95.7,25.62
EPCL,2022-04-14,2022-04-15,85.01,2022-04-18,81.6096,sl,-4.0,3,96.6,42.41
EPCL,2022-04-19,2022-04-20,87.0,2022-04-27,83.52,sl,-4.0,7,97.9,44.46
EPQL,2022-02-10,2022-02-11,27.48,2022-02-24,27.69,time,0.7642,13,95.9,34.12
EPQL,2022-08-11,2022-08-12,27.5,2022-08-15,26.4,sl,-4.0,3,95.3,38.77
EPQL,2022-10-19,2022-10-20,27.99,2022-10-25,26.8704,sl,-4.0,5,98.3,38.34
EPQL,2022-11-08,2022-11-10,27.6,2022-11-18,26.496,sl,-4.0,8,96.0,33.64
ESBL,2025-12-01,2025-12-02,16.38,2025-12-03,15.7248,sl,-4.0,1,95.8,160.7
ESBL,2025-12-04,2025-12-05,17.8,2025-12-08,17.088,sl,-4.0,3,95.1,140.64
ESBL,2025-12-12,2025-12-15,16.8,2025-12-16,16.128,sl,-4.0,1,95.1,136.35
EXIDE,2023-08-04,2023-08-07,354.4,2023-08-08,340.224,sl,-4.0,1,96.6,23.46
EXIDE,2023-08-17,2023-08-18,390.0,2023-08-21,374.4,sl,-4.0,3,97.9,47.83
EXIDE,2023-08-25,2023-08-28,377.86,2023-08-29,362.7456,sl,-4.0,1,97.8,40.58
EXIDE,2024-07-10,2024-07-11,879.99,2024-07-12,950.3892,tp,8.0,1,95.1,101.49
EXIDE,2024-07-15,2024-07-18,1088.05,2024-07-19,1044.528,sl,-4.0,1,98.5,161.52
FABL,2021-11-04,2021-11-05,28.5,2021-11-08,27.36,sl,-4.0,3,95.0,55.72
FATIMA,2022-03-31,2022-04-01,42.45,2022-04-04,40.752,sl,-4.0,3,96.3,35.59
FCIBL,2025-12-17,2025-12-18,29.41,2025-12-19,31.7628,tp,8.0,1,96.0,156.64
FCIBL,2025-12-22,2025-12-23,39.15,2025-12-24,42.282,tp,8.0,1,98.2,232.3
FCSC,2025-10-22,2025-10-23,8.34,2025-10-24,9.0072,tp,8.0,1,97.0,232.54
FDPL,2025-07-17,2025-07-18,6.85,2025-07-21,6.576,sl,-4.0,3,95.0,112.94
FDPL,2025-07-22,2025-07-23,7.49,2025-07-24,7.1904,sl,-4.0,1,95.5,140.25
FDPL,2025-08-22,2025-08-25,7.65,2025-08-26,8.262,tp,8.0,1,95.6,148.0
FDPL,2025-10-15,2025-10-16,8.79,2025-10-17,8.4384,sl,-4.0,1,95.5,156.4
FECM,2025-05-29,2025-05-30,21.45,2025-06-02,23.166,tp,8.0,3,99.0,197.02
FECM,2025-06-03,2025-06-04,28.82,2025-06-05,31.1256,tp,8.0,1,99.5,357.35
FECM,2025-06-12,2025-06-13,45.82,2025-06-16,43.9872,sl,-4.0,3,99.8,598.07
FECM,2025-10-08,2025-10-09,42.0,2025-10-10,40.32,sl,-4.0,1,97.2,180.11
FECM,2025-10-24,2025-10-27,56.69,2025-10-28,54.4224,sl,-4.0,1,97.5,267.25
FECTC,2023-12-06,2023-12-07,41.99,2023-12-13,45.3492,tp,8.0,6,95.7,47.28
FECTC,2023-12-14,2023-12-15,50.0,2023-12-18,48.0,sl,-4.0,3,98.1,77.74
FECTC,2024-01-10,2024-01-11,47.5,2024-01-17,51.3,tp,8.0,6,97.1,84.01
FECTC,2024-11-01,2024-11-04,68.92,2024-11-05,74.4336,tp,8.0,1,95.2,108.92
FECTC,2024-11-06,2024-11-07,88.97,2024-11-08,85.4112,sl,-4.0,1,97.4,170.45
FECTC,2024-12-04,2024-12-05,107.48,2024-12-06,103.1808,sl,-4.0,1,98.9,190.18
FEM,2025-10-03,2025-10-06,10.97,2025-10-07,11.8476,tp,8.0,1,96.3,165.83
FEM,2025-11-03,2025-11-04,12.75,2025-11-05,13.77,tp,8.0,1,96.2,197.18
FEM,2025-12-02,2025-12-03,15.1,2025-12-04,16.308,tp,8.0,1,98.2,255.84
FFBL,2023-12-28,2023-12-29,32.3,2024-01-08,31.008,sl,-4.0,10,98.4,89.05
FFBL,2024-10-08,2024-10-09,54.9,2024-10-23,59.292,tp,8.0,14,97.0,116.17
FFBL,2024-10-28,2024-10-29,64.5,2024-11-11,65.41,time,1.4109,13,96.7,117.39
FFBL,2024-11-21,2024-11-22,78.1,2024-11-25,74.976,sl,-4.0,3,96.3,131.03
FFBL,2024-12-12,2024-12-13,92.0,2024-12-16,99.36,tp,8.0,3,96.7,126.79
FFC,2024-12-12,2024-12-13,388.0,2024-12-16,419.04,tp,8.0,3,96.0,114.77
FFC,2025-02-24,2025-02-25,405.1,2025-03-10,394.24,time,-2.6808,13,96.6,98.45
FFL,2023-12-27,2023-12-28,11.5,2023-12-29,11.04,sl,-4.0,1,95.9,64.6
FFLM,2025-07-22,2025-07-23,6.91,2025-07-25,6.6336,sl,-4.0,2,95.2,133.2
FFLM,2025-07-28,2025-07-29,7.7,2025-07-30,7.392,sl,-4.0,1,97.2,178.29
FFLM,2025-07-31,2025-08-01,7.95,2025-08-04,8.586,tp,8.0,3,96.9,180.83
FFLM,2025-08-18,2025-08-19,8.28,2025-08-20,8.9424,tp,8.0,1,97.4,193.96
FFLM,2025-09-24,2025-09-25,8.4,2025-09-26,8.064,sl,-4.0,1,97.0,182.9
FFLM,2025-10-31,2025-11-03,10.4,2025-11-04,11.232,tp,8.0,1,96.6,197.89
FIBLM,2025-09-18,2025-09-19,10.6,2025-09-24,10.176,sl,-4.0,5,95.2,122.34
FIBLM,2025-09-25,2025-09-26,13.24,2025-09-29,12.7104,sl,-4.0,3,97.5,218.86
FLYNG,2024-09-23,2024-09-24,17.2,2024-10-03,16.512,sl,-4.0,9,95.8,108.38
FLYNG,2024-10-18,2024-10-21,18.26,2024-10-22,19.7208,tp,8.0,1,95.9,107.8
FLYNG,2024-10-24,2024-10-25,20.69,2024-10-28,19.8624,sl,-4.0,3,96.7,131.27
FLYNG,2024-10-30,2024-10-31,23.38,2024-11-01,22.4448,sl,-4.0,1,97.4,146.25
FLYNG,2024-11-06,2024-11-07,29.7,2024-11-08,28.512,sl,-4.0,1,98.1,225.92
FLYNG,2024-12-02,2024-12-03,29.59,2024-12-06,28.4064,sl,-4.0,3,98.2,153.32
FLYNG,2025-04-21,2025-04-22,28.7,2025-04-24,27.552,sl,-4.0,2,95.0,84.94
FLYNG,2025-05-27,2025-05-29,57.0,2025-05-30,54.72,sl,-4.0,1,99.5,219.87
FNEL,2025-09-16,2025-09-17,11.0,2025-09-18,10.56,sl,-4.0,1,96.1,135.46
FNEL,2025-10-09,2025-10-10,11.9,2025-10-13,11.424,sl,-4.0,3,95.9,146.63
FPJM,2025-06-25,2025-06-26,5.46,2025-06-27,5.2416,sl,-4.0,1,96.3,114.3
FPJM,2025-10-23,2025-10-24,11.33,2025-10-27,10.8768,sl,-4.0,3,95.7,188.92
FRCL,2021-06-10,2021-06-11,34.69,2021-06-18,37.4652,tp,8.0,7,96.5,162.29
FRCL,2025-11-19,2025-11-20,104.99,2025-11-21,100.7904,sl,-4.0,1,97.8,278.56
FTMM,2025-07-17,2025-07-18,23.9,2025-07-21,22.944,sl,-4.0,3,98.8,327.66
FTMM,2025-11-20,2025-11-21,22.99,2025-11-24,22.0704,sl,-4.0,3,97.0,220.15
FZCM,2022-02-11,2022-02-14,282.0,2022-02-15,270.72,sl,-4.0,1,98.3,53.89
FZCM,2025-07-11,2025-07-14,405.0,2025-07-15,388.8,sl,-4.0,1,95.4,129.44
FZCM,2025-07-16,2025-07-17,429.34,2025-07-18,412.1664,sl,-4.0,1,95.4,121.8
GAL,2025-01-13,2025-01-14,362.48,2025-01-15,391.4784,tp,8.0,1,97.3,143.99
GAL,2025-01-17,2025-01-20,450.0,2025-01-22,432.0,sl,-4.0,2,98.7,192.53
GAL,2025-04-03,2025-04-04,505.85,2025-04-07,485.616,sl,-4.0,3,99.4,187.81
GAL,2025-04-18,2025-04-21,500.0,2025-04-24,480.0,sl,-4.0,3,98.3,152.92
