symbol,start,end,outcome,breakout_idx,close_at_breakout,ema_at_breakout,price_above_ema,ema_rising,ema_slope_pct,raw_pct_move,sma_at_breakout,passes_sma,passes_ema
BAFL,1840,1920,down,1924,8.4127,8.219738974200528,True,True,1.3024053878937008,7.361489177077503,8.618545000000001,True,False
BAFL,3040,3120,down,3139,20.4176,20.47058321443977,False,True,0.3972382899650807,-21.43542825797352,20.879399499999998,True,True
BAFL,4520,4600,up,4608,21.0833,18.395006115147822,True,True,2.470263150971914,23.598772488177847,17.4790995,True,True
BAHL,4120,4200,down,4208,68.79,71.38680053219976,False,True,1.2143381167602272,12.778020061055395,71.04729999999999,True,True
BCL,760,840,down,845,45.07,46.35928557239478,False,True,1.1604594891886797,33.96938096294653,46.3571,True,True
BCL,3400,3480,up,3481,143.76,97.52605722048978,True,True,0.1760557614737538,-36.79048414023372,108.83475,True,True
BECO,400,480,up,496,20.24,18.773113687457755,True,False,-1.0585711423704454,-28.80434782608695,20.3129,False,True
BERG,2280,2360,down,2362,98.86,100.66595231196688,False,True,0.8024931510122697,8.931822779688446,104.7429,True,True
BERG,2840,2920,down,2934,149.72,171.3677172622988,False,False,-2.1777038322374533,5.223083088431735,175.07535,True,True
BHAT,1160,1240,up,1250,899.09,886.1225446852936,True,False,-1.846029139249788,5.652381852762231,906.4994,False,True
BHAT,1240,1320,down,1321,899.54,911.4246847563152,False,True,0.5298848649801592,-3.094915178869204,885.0971000000001,False,True
BIPL,3920,4000,up,4001,13.53,11.666108947317491,True,False,-0.1623260730880456,-3.9172209903917175,11.7722,True,True
BOK,440,520,down,530,13.6,15.103884494622202,False,False,-1.3877907985621014,4.411764705882351,15.13725,True,True
BOK,3680,3760,down,3773,15.0,15.331478614186151,False,True,0.0630878578769795,7.466666666666661,15.53235,True,True
BPL,720,800,down,802,31.5,38.82280705175401,False,False,-3.578836561793082,23.809523809523807,37.45915,True,True
BWHL,1400,1480,up,1492,48.9582,42.19193816491664,True,True,2.066668021176986,15.222577627445457,41.6595835,True,True
