symbol,sector,tier,n_rows,n_placeholder_dropped,coverage,min_positive_close
HINOON,PHARMACEUTICALS,liquid,5137,0,0.947,23.06
HMB,COMMERCIAL BANKS,liquid,5173,0,0.954,14.61
HTL,OIL & GAS MARKETING COMPANIES,liquid,2563,0,0.981,16.7
HUBC,POWER GENERATION & DISTRIBUTION,liquid,5272,0,0.972,13.38
HUMNL,TECHNOLOGY & COMMUNICATION,mid,4668,0,0.879,1.82
HUSI,TEXTILE COMPOSITE,thin,1439,10,0.265,1.71
IBLHL,PHARMACEUTICALS,liquid,4202,0,0.964,6.62
ICL,CHEMICAL,mid,3959,0,0.73,17.38
IGIHL,INSURANCE,liquid,4954,1,0.914,34.2073
IGIL,INSURANCE,thin,3148,5,0.58,7.52
ILP,TEXTILE COMPOSITE,liquid,1796,0,0.98,32.03
INDU,AUTOMOBILE ASSEMBLER,liquid,5207,0,0.96,51.81
INIL,ENGINEERING,liquid,5249,0,0.968,25.7
INKL,TEXTILE COMPOSITE,thin,1826,5,0.337,2.5
ISIL,FOOD & PERSONAL CARE PRODUCTS,thin,2090,39,0.386,19.0177
ISL,ENGINEERING,liquid,3720,0,0.976,9.14
ITTEFAQ,ENGINEERING,liquid,2232,0,0.981,4.2
JGICL,INSURANCE,mid,3856,7,0.711,23.19
JLICL,INSURANCE,mid,4383,1,0.808,17.35
JSBL,COMMERCIAL BANKS,liquid,4649,0,0.954,1.57
JUBS,TEXTILE COMPOSITE,thin,2783,1,0.513,0.51
JVDC,PROPERTY,thin,3566,0,0.657,15.5
JVDCPS,CEMENT,thin,186,26,0.054,8.0
KAPCO,POWER GENERATION & DISTRIBUTION,liquid,5255,0,0.974,15.0
KCL,GLASS & CERAMICS,thin,1277,22,0.235,1.722
KEL,POWER GENERATION & DISTRIBUTION,liquid,5291,0,0.975,1.3585
KHYT,TEXTILE COMPOSITE,thin,670,53,0.124,11.5
KML,TEXTILE COMPOSITE,thin,3756,3,0.692,1.0
KOHC,CEMENT,liquid,5222,0,0.963,5.0
KOHE,POWER GENERATION & DISTRIBUTION,mid,4769,0,0.879,10.7618
KOHP,POWER GENERATION & DISTRIBUTION,mid,4525,3,0.834,0.143
KOIL,TEXTILE COMPOSITE,mid,4870,0,0.898,0.56
KSBP,ENGINEERING,mid,4262,5,0.786,22.45
KTML,TEXTILE COMPOSITE,liquid,5102,1,0.941,2.28
LCI,CHEMICAL,liquid,860,0,0.975,218.97
LOADS,AUTOMOBILE PARTS & ACCESSORIES,liquid,2401,0,0.983,5.64
LOTCHEM,CHEMICAL,liquid,5277,0,0.973,1.32
LPGL,CHEMICAL,thin,1926,5,0.361,4.1276
LPL,POWER GENERATION & DISTRIBUTION,liquid,3148,0,0.969,4.2397
LUCK,CEMENT,liquid,5261,0,0.97,26.5
MACFL,MISCELLANEOUS,mid,4814,2,0.887,0.7772
MACTER,PHARMACEUTICALS,thin,1325,4,0.604,53.1
MARI,OIL & GAS EXPLORATION COMPANIES,liquid,5251,0,0.968,38.5559
MCB,COMMERCIAL BANKS,liquid,5273,0,0.972,53.0
MDTL,TECHNOLOGY & COMMUNICATION,mid,3816,0,0.862,0.6
MEBL,COMMERCIAL BANKS,liquid,5219,0,0.962,10.05
MEHT,TEXTILE COMPOSITE,thin,1911,21,0.352,45.59
