symbol,n_candidates,win_rate,mean_R,total_R,sector
PKGP,4,0.0,-1.0015432098765429,-4.0061728395061715,POWER GENERATION & DISTRIBUTION
PKGS,4,25.0,-0.6884328358208955,-2.753731343283582,PAPER & BOARD
PNSC,4,25.0,1.8541520310750481,7.4166081243001925,TRANSPORT
POL,5,20.0,0.6751342230403395,3.3756711152016976,OIL & GAS EXPLORATION COMPANIES
POWER,3,33.33333333333333,0.371657179319262,1.114971537957786,CEMENT
POWERPS,2,0.0,-1.690476190476191,-3.380952380952382,CEMENT
PPL,4,0.0,-1.0206611570247934,-4.082644628099174,OIL & GAS EXPLORATION COMPANIES
PPP,2,0.0,-1.0,-2.0,PAPER & BOARD
PPVC,1,0.0,-1.629629629629629,-1.629629629629629,CHEMICAL
PRL,7,28.57142857142857,0.6798312740303866,4.758818918212706,REFINERY
PSEL,1,100.0,15.914285714285716,15.914285714285716,MISCELLANEOUS
PSO,4,25.0,-0.517789553368659,-2.071158213474636,OIL & GAS MARKETING COMPANIES
PTC,1,0.0,-1.0,-1.0,TECHNOLOGY & COMMUNICATION
QUET,1,0.0,-1.0439999999999998,-1.0439999999999998,TEXTILE COMPOSITE
QUICE,3,0.0,-1.0000000000000002,-3.0000000000000004,FOOD & PERSONAL CARE PRODUCTS
REDCO,1,0.0,-1.0000000000000004,-1.0000000000000004,TEXTILE COMPOSITE
RICL,1,0.0,-1.0,-1.0,INSURANCE
RMPL,1,0.0,-1.0,-1.0,FOOD & PERSONAL CARE PRODUCTS
SARC,1,0.0,-1.0,-1.0,CHEMICAL
SAZEW,1,100.0,1.3699655765920786,1.3699655765920786,AUTOMOBILE ASSEMBLER
SBL,1,0.0,-1.0000000000000002,-1.0000000000000002,COMMERCIAL BANKS
SCL,1,0.0,-1.0715170241655163,-1.0715170241655163,FOOD & PERSONAL CARE PRODUCTS
SEARL,5,40.0,0.5597901082098344,2.798950541049172,PHARMACEUTICALS
SEL,1,0.0,-3.0,-3.0,POWER GENERATION & DISTRIBUTION
SEPL,3,0.0,-1.1197689421907964,-3.3593068265723893,PAPER & BOARD
