sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite,realistic_realized_R,realized_R_realistic,R_final,tier,breakout_date
OIL & GAS MARKETING COMPANIES,HTL,1560,1640,descending,down,down,1642,2.0,37.46,39.14,1.6799999999999995,skipped_risk_gt_6pct,40.2,,39.133739882014,1.6737398820139973,,,,1732,False,True,8.589285714285715,,8.621411340594037,,8.589285714285715,8.589285714285715,liquid,2022-10-20
OIL & GAS EXPLORATION COMPANIES,POL,1720,1800,descending,up,up,1809,1.0,375.35,368.99,6.360000000000014,ok,355.41,19.94,363.8333925686591,11.5166074313409,,,,1899,False,True,7.855345911949666,2.505516549648946,4.338083094161962,,7.855345911949666,7.855345911949666,liquid,2012-07-03
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,up,4216,2.0,236.0668,230.2376,5.829200000000014,ok,223.29,12.776800000000009,226.1636788273616,9.903121172638464,,,,4306,False,True,7.847251766966289,3.5801765700331827,4.619068998810681,,7.847251766966289,7.847251766966289,liquid,2022-06-16
CABLE & ELECTRICAL GOODS,PAEL,4960,5040,descending,up,up,5044,2.0,42.49,40.8,1.6900000000000048,skipped_risk_gt_6pct,39.4,,39.8194661592265,2.6705338407735013,,,,5134,False,True,7.781065088757374,,4.924109104789023,,7.781065088757374,7.781065088757374,liquid,2025-08-05
INSURANCE,CENI,3480,3560,symmetrical,up,up,3595,3.0,26.49,25.0,1.4899999999999984,skipped_risk_gt_6pct,24.02,,23.83333333333333,2.65666666666667,,,,3685,False,True,7.7449664429530305,,4.343789209535755,,7.7449664429530305,7.7449664429530305,mid,2024-08-28
CABLE & ELECTRICAL GOODS,PAEL,4800,4880,ascending,up,up,4881,1.0,32.38,30.5,1.8800000000000023,no_valid_consolidation,,,25.273580526464755,7.106419473535247,,,,4971,False,True,7.563829787234032,,2.0010076879019274,,7.563829787234032,7.563829787234032,liquid,2024-12-05
PAPER & BOARD,CPPL,4480,4560,ascending,down,down,4561,2.0,124.0,126.9,2.9000000000000057,ok,128.17,4.169999999999988,132.75437158469947,8.75437158469947,,,,4651,False,True,7.468965517241363,5.1942446043165615,2.474192440935047,,7.468965517241363,7.468965517241363,liquid,2024-05-22
ENGINEERING,BCL,760,840,ascending,down,down,845,1.0,45.07,47.14,2.0700000000000003,ok,47.61,2.539999999999999,50.68827586206897,5.61827586206897,,,,935,False,True,7.468599033816424,6.086614173228349,2.7517338734425807,,7.468599033816424,7.468599033816424,mid,2011-09-09
PHARMACEUTICALS,GLAXO,3400,3480,symmetrical,down,down,3481,1.0,116.51,118.99,2.4799999999999898,ok,121.4,4.890000000000001,144.43428880475926,27.924288804759257,,,,3571,False,True,7.431451612903259,3.768916155419224,0.6599989037808155,,7.431451612903259,7.431451612903259,liquid,2019-05-02
AUTOMOBILE PARTS & ACCESSORIES,LOADS,2200,2280,symmetrical,down,down,2288,1.0,17.86,18.38,0.5199999999999996,no_valid_consolidation,,,19.300695296523514,1.440695296523515,,,,2378,False,True,7.096153846153851,,2.561263307310153,,7.096153846153851,7.096153846153851,liquid,2026-01-22
ENGINEERING,PECO,0,80,ascending,up,up,82,1.0,80.4,76.65,3.75,skipped_risk_gt_6pct,72.27,,65.38182860418458,15.018171395815427,,,,172,False,True,7.093333333333332,,1.771187669852513,,7.093333333333332,7.093333333333332,thin,2005-12-07
CEMENT,ACPL,3720,3800,descending,up,up,3801,1.0,145.63,142.1,3.530000000000001,ok,140.68,4.949999999999989,141.4559090909091,4.174090909090893,,,,3891,False,True,6.991501416430594,4.985858585858598,5.912664706522947,,6.991501416430594,6.991501416430594,liquid,2020-12-08
PROPERTY,PACE,2240,2320,symmetrical,up,up,2333,1.0,7.17,6.5,0.6699999999999999,skipped_risk_gt_6pct,6.4,,6.425393794749404,0.7446062052505962,,,,2423,False,True,6.985074626865672,,6.285201448764387,,6.985074626865672,6.985074626865672,liquid,2016-08-26
FERTILIZER,ENGRO,80,160,descending,up,up,161,1.0,93.7758,88.8765,4.899300000000011,skipped_risk_gt_6pct,85.26,,86.9981223121651,6.77767768783491,,,,251,False,True,6.9140693568468805,,4.997891838497987,,6.9140693568468805,6.9140693568468805,liquid,2005-08-23
OIL & GAS MARKETING COMPANIES,SHEL,3360,3440,ascending,down,down,3441,1.0,191.7087,202.0375,10.3288,no_valid_consolidation,,,230.35228887399464,38.643588873994645,,,,3531,False,True,6.525966230346215,,1.7442841610749236,,6.525966230346215,6.525966230346215,liquid,2019-03-18
ENGINEERING,ASL,1320,1400,descending,down,down,1401,1.0,18.24,19.0,0.7600000000000016,skipped_risk_gt_6pct,20.15,,20.870578121106405,2.6305781211064065,,,,1491,False,True,6.499999999999984,,1.877914197021551,,6.499999999999984,6.499999999999984,liquid,2018-05-07
TECHNOLOGY & COMMUNICATION,TRG,2320,2400,symmetrical,up,up,2408,1.0,12.33,11.36,0.9700000000000006,skipped_risk_gt_6pct,10.64,,10.71757575757576,1.6124242424242414,,,,2498,False,True,6.463917525773193,,3.888554782935542,,6.463917525773193,6.463917525773193,liquid,2014-12-02
