symbol,start,end,outcome,direction,breakout_idx,entry_price,stop_price,target_price,exit_bar,exit_type,realized_R
ENGRO,1280,1360,up,up,1381,137.5634,134.812132,143.065936,1385,stop,-1.0
ENGRO,1320,1400,up,up,1405,141.0312,138.210576,146.67244800000003,1422,target,2.0
ENGRO,1840,1920,sequential,down,1930,88.74,90.5148,85.1904,1938,target,2.0
ENGRO,1880,1960,up,up,1961,99.16,97.1768,103.1264,1962,target,2.0
ENGRO,4200,4280,down,down,4284,253.68,258.7536,243.5328,4289,stop,-1.0
EPCL,2840,2920,sequential,up,2923,27.57,27.0186,28.672800000000002,2924,stop,-1.0
EPCLPS,280,360,up,up,364,12.0,11.76,12.48,366,stop,-1.0
EPQL,960,1040,up,up,1053,16.8362,16.499476,17.509648000000002,1060,stop,-1.0
EPQL,1960,2040,sequential,up,2045,20.6677,20.254345999999998,21.494408,2046,stop,-1.0
EPQL,2040,2120,down,down,2123,17.4892,17.838984,16.789632,2124,stop,-1.0
EXIDE,4120,4200,up,up,4221,857.18,840.0364,891.4671999999999,4223,stop,-1.0
EXIDE,4160,4240,down,down,4242,832.81,849.4662,799.4975999999999,4245,target,2.0
FABL,600,680,down,down,681,73.0,74.46000000000001,70.08,682,stop,-1.0
FABL,2040,2120,sequential,down,2127,10.07,10.2714,9.6672,2130,stop,-1.0
FASM,120,200,down,down,201,34.3,34.986,32.928,202,target,2.0
FASM,360,440,up,up,441,47.99,47.0302,49.909600000000005,445,target,2.0
FATIMA,1240,1320,up,up,1323,40.68,39.8664,42.3072,1331,target,2.0
FATIMA,2080,2160,down,down,2161,34.43,35.1186,33.0528,2163,stop,-1.0
FCCL,2520,2600,up,up,2612,36.72,35.9856,38.1888,2614,stop,-1.0
FCCL,2560,2640,sequential,down,2647,34.02,34.7004,32.6592,2648,target,2.0
FCCL,5080,5160,down,down,5167,56.16,57.2832,53.913599999999995,5168,stop,-1.0
FCEPL,720,800,up,up,808,99.36,97.3728,103.3344,809,target,2.0
FCEPL,1000,1080,down,down,1093,139.44,142.2288,133.86239999999998,1094,target,2.0
FCEPL,2920,3000,up,up,3004,59.23,58.045399999999994,61.599199999999996,3005,target,2.0
FCEPL,3280,3360,sequential,up,3384,89.79,87.9942,93.3816,3385,stop,-1.0
FCEPL,3480,3560,sequential,up,3565,93.79,91.91420000000001,97.54160000000002,3566,stop,-1.0
FECTC,3520,3600,up,up,3606,35.35,34.643,36.764,3616,stop,-1.0
FECTC,4240,4320,down,down,4323,30.0,30.6,28.799999999999997,4325,stop,-1.0
FEROZ,1240,1320,sequential,up,1333,98.53,96.5594,102.47120000000001,1334,stop,-1.0
FFC,360,440,up,up,445,59.1387,57.955926,61.504248000000004,449,stop,-1.0
FFC,400,480,down,down,481,57.0515,58.19253,54.769439999999996,483,target,2.0
FFC,2760,2840,down,down,2843,110.07,112.2714,105.6672,2845,stop,-1.0
FFC,3520,3600,up,up,3603,95.68,93.7664,99.50720000000001,3612,stop,-1.0
FFC,4880,4960,down,down,4961,374.09,381.5718,359.1264,4965,target,2.0
FFL,280,360,sequential,up,372,52.0,50.96,54.08,373,stop,-1.0
FLYNG,160,240,down,down,241,11.8,12.036000000000001,11.328,243,target,2.0
FLYNG,1320,1400,down,down,1401,3.41,3.4782,3.2736,1402,stop,-1.0
FLYNG,3680,3760,down,down,3761,6.66,6.793200000000001,6.3936,3765,target,2.0
FML,1720,1800,down,down,1807,62.03,63.2706,59.5488,1810,target,2.0
GAL,520,600,up,up,601,475.3,465.794,494.312,602,stop,-1.0
GATM,840,920,sequential,up,922,23.98,23.5004,24.9392,923,stop,-1.0
