symbol,start,end,leg_index,entry_bar,entry_price,lfd_level,r_lfd_denom,exit_bar,exit_type,realized_R
GHGL,3880,3960,0,3991,41.26,43.0,1.740000000000002,4017,lfd,-1.0
GHGL,3880,3960,1,4019,42.58,43.7,1.1200000000000045,4021,lfd,-1.0
GHGL,3880,3960,2,4028,43.0,43.5,0.5,4029,lfd,-1.0
GHGL,3880,3960,3,4030,43.01,44.0,0.990000000000002,4120,horizon,3.1313131313131266
GHNI,920,1000,0,1001,7.9702,8.9671,0.9969000000000001,1091,horizon,2.587621627043836
GHNI,1360,1440,0,1447,3.3355,3.0756,0.2599,1537,horizon,5.344363216621776
GHNI,4040,4120,0,4121,85.99,88.0,2.010000000000005,4149,lfd,-1.0
GLAXO,1480,1560,0,1567,70.5,73.9,3.4000000000000057,1616,lfd,-1.0
GLAXO,1480,1560,1,1617,70.26,74.0,3.739999999999995,1707,horizon,0.3529411764705907
GLAXO,3400,3480,0,3481,116.51,118.99,2.4799999999999898,3571,horizon,7.431451612903259
GVGL,720,800,0,801,15.75,16.0,0.25,804,lfd,-1.0
GVGL,720,800,1,805,15.75,16.55,0.8000000000000007,807,lfd,-1.0
GVGL,720,800,2,808,15.38,16.75,1.3699999999999992,830,lfd,-1.0
GVGL,720,800,3,831,17.0,16.99,-0.010000000000001563,832,lfd,-1.0
GWLC,2720,2800,0,2814,56.8,58.49,1.6900000000000048,2904,horizon,16.337278106508826
HBL,2040,2120,0,2123,176.22,173.0,3.219999999999999,2154,lfd,-1.0
HBL,2040,2120,1,2155,174.16,170.01,4.150000000000006,2245,horizon,11.29879518072288
HBL,3800,3880,0,3885,70.51,72.2,1.6899999999999977,3898,lfd,-1.0
HINO,1840,1920,0,1935,682.2704,637.6039,44.66650000000004,1952,lfd,-1.0
HINO,1840,1920,1,1955,663.7381,637.6039,26.134200000000078,1971,lfd,-1.0
HINO,1840,1920,2,1996,643.6786,612.9489,30.72969999999998,2086,horizon,1.6939996160066662
HMB,1080,1160,0,1175,30.94,33.19,2.2499999999999964,1265,horizon,3.9244444444444513
HMB,4960,5040,0,5045,114.36,111.01,3.3499999999999943,5086,lfd,-1.0
HMB,4960,5040,1,5087,113.69,110.48,3.2099999999999937,5091,lfd,-1.0
HMB,4960,5040,2,5092,114.49,103.0,11.489999999999995,5173,horizon,0.13577023498694543
HTL,1560,1640,0,1642,37.46,39.14,1.6799999999999997,1732,horizon,8.589285714285715
HUBC,1320,1400,0,1401,36.37,35.65,0.7199999999999989,1491,horizon,1.9722222222222276
HUMNL,3640,3720,0,3725,6.57,7.22,0.6499999999999995,3815,horizon,1.246153846153848
IBLHL,3920,4000,0,4002,60.12,63.74,3.6200000000000045,4042,lfd,-1.0
IBLHL,3920,4000,1,4050,57.87,68.8,10.93,4061,lfd,-1.0
IBLHL,3920,4000,2,4074,63.31,64.87,1.5600000000000023,4075,lfd,-1.0
IBLHL,3920,4000,3,4077,63.83,67.25,3.4200000000000017,4078,lfd,-1.0
IGIL,2120,2200,0,2203,47.09,50.9,3.809999999999995,2293,horizon,2.664041994750661
ILP,800,880,0,881,60.01,62.0,1.990000000000002,971,horizon,5.3618090452261224
ISL,3320,3400,0,3405,77.45,82.25,4.799999999999997,3434,lfd,-1.0
ITTEFAQ,120,200,0,201,19.91,21.01,1.1000000000000014,291,horizon,4.6363636363636305
JGICL,1120,1200,0,1201,37.1271,35.603,1.5240999999999971,1291,horizon,3.7322354176235213
JLICL,4280,4360,0,4361,178.3,167.35,10.950000000000017,4382,horizon,-0.02648401826484201
JSBL,3240,3320,0,3321,7.15,6.75,0.40000000000000036,3333,lfd,-1.0
JSBL,3240,3320,1,3334,6.8,6.7,0.09999999999999964,3337,lfd,-1.0
JSBL,3240,3320,2,3338,6.69,6.6,0.09000000000000075,3339,lfd,-1.0
JSBL,3240,3320,3,3340,6.71,6.6,0.11000000000000032,3342,lfd,-1.0
JVDC,1120,1200,0,1201,30.3,28.75,1.5500000000000007,1249,lfd,-1.0
JVDC,1120,1200,1,1250,27.68,28.42,-0.740000000000002,1251,lfd,-1.0
JVDC,1120,1200,2,1252,27.65,27.8,-0.15000000000000213,1253,lfd,-1.0
JVDC,1120,1200,3,1254,27.24,27.8,-0.5600000000000023,1255,lfd,-1.0
KAPCO,2480,2560,0,2561,93.68,89.11,4.570000000000007,2597,lfd,-1.0
KAPCO,4200,4280,0,4282,27.7,26.89,0.8099999999999987,4338,lfd,-1.0
KAPCO,4200,4280,1,4339,26.58,26.5,0.0799999999999983,4340,lfd,-1.0
KAPCO,4200,4280,2,4341,26.11,25.95,0.16000000000000014,4431,lfd,-1.0
KAPCO,4200,4280,3,4432,25.48,25.48,0.0,4433,lfd,-1.0
KEL,3160,3240,0,3242,6.75,6.45,0.2999999999999998,3271,lfd,-1.0
KML,1280,1360,0,1373,17.6,16.1,1.5,1384,lfd,-1.0
KML,1280,1360,1,1385,16.5,16.05,0.4499999999999993,1386,lfd,-1.0
KML,1280,1360,2,1387,16.49,16.0,0.48999999999999844,1389,lfd,-1.0
KML,1280,1360,3,1390,16.48,15.94,0.5400000000000009,1393,lfd,-1.0
KOHC,2120,2200,0,2201,122.65,115.75,6.900000000000006,2272,lfd,-1.0
KOHC,2120,2200,1,2275,121.96,113.5,8.459999999999994,2282,lfd,-1.0
KOHC,2120,2200,2,2286,121.49,112.0,9.489999999999995,2376,horizon,7.177028451001058
KOHC,4840,4920,0,4922,373.07,389.0,15.930000000000007,4926,lfd,-1.0
KOHC,4840,4920,1,4928,368.06,397.0,28.939999999999998,4942,lfd,-1.0
KOHC,4840,4920,2,4943,378.09,403.0,24.910000000000025,4951,lfd,-1.0
KOHC,4840,4920,3,4952,381.89,419.0,37.110000000000014,4971,lfd,-1.0
KOHP,3560,3640,0,3649,3.72,4.14,0.4199999999999995,3688,lfd,-1.0
KOHP,3560,3640,1,3689,3.65,4.24,0.5900000000000003,3708,lfd,-1.0
KOHP,3560,3640,2,3709,3.7,4.5,0.7999999999999998,3725,lfd,-1.0
KOHP,3560,3640,3,3726,4.23,4.94,0.71,3816,horizon,0.5915492957746484
KOIL,3960,4040,0,4041,5.1,4.9,0.1999999999999993,4047,lfd,-1.0
KOIL,3960,4040,1,4048,4.91,4.86,0.04999999999999982,4049,lfd,-1.0
KOIL,3960,4040,2,4051,5.11,4.8,0.3100000000000005,4069,lfd,-1.0
KOIL,3960,4040,3,4070,5.3,4.65,0.6499999999999995,4160,horizon,2.8461538461538494
LOADS,2200,2280,0,2288,17.86,18.38,0.5199999999999996,2378,horizon,7.096153846153851
LOTCHEM,1000,1080,0,1084,3.03,2.91,0.11999999999999966,1174,horizon,34.7500000000001
LOTCHEM,1720,1800,0,1801,7.4,7.69,0.29000000000000004,1819,lfd,-1.0
LOTCHEM,1720,1800,1,1820,7.55,7.74,0.1900000000000004,1821,lfd,-1.0
LOTCHEM,1720,1800,2,1822,7.5,7.85,0.34999999999999964,1912,horizon,0.485714285714286
LPL,400,480,0,488,16.057,16.7463,0.6893000000000029,541,lfd,-1.0
LPL,400,480,1,542,16.596,16.7826,0.18659999999999854,543,lfd,-1.0
LPL,400,480,2,544,16.4301,16.8448,0.41469999999999985,634,horizon,8.66120086809742
LPL,720,800,0,821,11.9987,11.3093,0.6893999999999991,856,lfd,-1.0
LPL,720,800,1,878,11.5892,10.9051,0.6841000000000008,895,lfd,-1.0
LUCK,2040,2120,0,2121,239.98,237.5,2.4799999999999898,2211,horizon,39.48387096774209
MCB,1800,1880,0,1882,187.99,186.0,1.990000000000009,1891,lfd,-1.0
MCB,1800,1880,1,1894,187.31,183.21,4.099999999999994,1977,lfd,-1.0
MCB,1800,1880,2,1978,188.84,182.2,6.640000000000015,2068,horizon,14.16867469879515
MCB,3080,3160,0,3162,210.14,199.5,10.639999999999986,3252,horizon,-0.847744360902255
MCB,4120,4200,0,4201,148.81,154.0,5.189999999999998,4224,lfd,-1.0
MCB,4120,4200,1,4225,152.65,154.99,2.3400000000000034,4315,horizon,13.910256410256395
MEBL,1560,1640,0,1645,18.92,19.4,0.4799999999999969,1676,lfd,-1.0
MEBL,2080,2160,0,2169,38.57,39.0,0.4299999999999997,2180,lfd,-1.0
MEBL,2080,2160,1,2181,38.82,39.3,0.4799999999999969,2201,lfd,-1.0
MEBL,2080,2160,2,2202,37.98,40.0,2.020000000000003,2214,lfd,-1.0
MEBL,2080,2160,3,2215,39.5,40.0,0.5,2222,lfd,-1.0
MERIT,720,800,0,801,17.35,18.13,0.7799999999999976,853,lfd,-1.0
MERIT,720,800,1,855,17.8,17.95,0.14999999999999858,856,lfd,-1.0
MERIT,720,800,2,859,17.49,18.0,0.5100000000000016,860,lfd,-1.0
MERIT,720,800,3,863,17.26,19.0,1.7399999999999984,872,lfd,-1.0
MERIT,4240,4320,0,4344,12.87,13.18,0.3100000000000005,4434,horizon,11.741935483870945
MERIT,4280,4360,0,4361,12.36,13.15,0.7900000000000009,4451,horizon,2.8481012658227813
MLCF,1360,1440,0,1441,2.75,2.89,0.14000000000000012,1489,lfd,-1.0
MLCF,1360,1440,1,1490,2.4,2.89,0.4900000000000002,1538,lfd,-1.0
MLCF,1360,1440,2,1539,2.56,3.05,0.48999999999999977,1629,horizon,1.5918367346938784
MLCF,2560,2640,0,2643,69.04,70.94,1.8999999999999915,2653,lfd,-1.0
MLCF,2560,2640,1,2654,70.33,71.7,1.3700000000000045,2659,lfd,-1.0
MLCF,2560,2640,2,2660,71.02,72.9,1.8800000000000097,2665,lfd,-1.0
