sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
CEMENT,KOHC,2120,2200,ascending,sequential,up,3.0,2272,122.65,115.75,110.55,True,110.55,-1.753623188405797,-0.7536231884057969
CEMENT,KOHC,3800,3880,symmetrical,whipsaw,down,4.0,3884,212.66,219.5,212.66,False,219.5,-1.0,0.0
CEMENT,KOHC,4840,4920,ascending,down,down,3.0,4926,373.07,389.0,369.0,False,389.0,-0.9999999999999999,1.1102230246251565e-16
POWER GENERATION & DISTRIBUTION,KOHE,2440,2520,ascending,up,up,4.0,2541,32.6888,32.2702,32.3463,False,32.2702,-1.0000000000000002,-2.220446049250313e-16
POWER GENERATION & DISTRIBUTION,KOHP,3560,3640,ascending,down,down,3.0,3688,3.72,4.14,3.69,False,4.14,-1.0,0.0
TEXTILE COMPOSITE,KOIL,1720,1800,descending,sequential,up,4.0,1802,3.79,3.45,3.75,False,3.45,-1.0000000000000002,-2.220446049250313e-16
TEXTILE COMPOSITE,KOIL,3760,3840,descending,whipsaw,down,4.0,3857,5.5,5.99,5.79,False,5.99,-1.0,0.0
TEXTILE COMPOSITE,KOIL,3960,4040,symmetrical,up,up,3.0,4047,5.1,4.9,5.01,False,4.9,-1.0,0.0
TEXTILE COMPOSITE,KTML,2200,2280,descending,sequential,up,4.0,2282,24.15,24.0,23.57,True,23.57,-3.8666666666666942,-2.8666666666666942
AUTOMOBILE PARTS & ACCESSORIES,LOADS,1120,1200,symmetrical,down,down,4.0,1202,19.56,20.18,20.25,True,20.25,-1.112903225806452,-0.11290322580645196
CHEMICAL,LOTCHEM,1720,1800,symmetrical,down,down,1.0,1819,7.4,7.69,7.19,False,7.69,-1.0000000000000002,-2.220446049250313e-16
CHEMICAL,LOTCHEM,4400,4480,descending,up,up,4.0,4485,25.91,24.81,24.21,True,24.21,-1.5454545454545427,-0.5454545454545427
CHEMICAL,LPGL,1640,1720,symmetrical,down,down,4.0,1732,106.25,109.0,107.99,False,109.0,-1.0,0.0
POWER GENERATION & DISTRIBUTION,LPL,80,160,descending,down,down,4.0,163,9.1843,9.3813,9.3813,False,9.3813,-1.0000000000000004,-4.440892098500626e-16
POWER GENERATION & DISTRIBUTION,LPL,720,800,descending,up,up,1.0,856,11.9987,11.3093,11.9987,False,11.3093,-1.0,0.0
MISCELLANEOUS,MACFL,3800,3880,descending,up,up,4.0,3892,16.99,15.22,16.0,False,15.22,-1.0,0.0
PHARMACEUTICALS,MACTER,360,440,symmetrical,sequential,up,4.0,451,183.0,157.0,160.19,False,157.0,-1.0,0.0
PHARMACEUTICALS,MACTER,1000,1080,symmetrical,down,down,4.0,1097,381.43,395.0,388.0,False,395.0,-1.0000000000000002,-2.220446049250313e-16
COMMERCIAL BANKS,MCB,1280,1360,ascending,up,up,4.0,1382,200.01,196.15,198.0,False,196.15,-1.0,0.0
COMMERCIAL BANKS,MCB,1800,1880,symmetrical,up,up,2.0,1891,187.99,186.0,189.89,False,186.0,-1.0,0.0
COMMERCIAL BANKS,MCB,2120,2200,ascending,down,down,4.0,2219,277.66,282.97,281.4,False,282.97,-1.0,0.0
COMMERCIAL BANKS,MCB,4120,4200,ascending,down,down,1.0,4224,148.81,154.0,151.5,False,154.0,-1.0,0.0
COMMERCIAL BANKS,MEBL,1000,1080,descending,up,up,4.0,1083,11.58,11.24,11.1,True,11.1,-1.411764705882355,-0.41176470588235503
COMMERCIAL BANKS,MEBL,1560,1640,ascending,sequential,down,3.0,1676,18.92,19.4,19.3,False,19.4,-1.0,0.0
COMMERCIAL BANKS,MEBL,2080,2160,ascending,down,down,2.0,2180,38.57,39.0,38.0,False,39.0,-1.0,0.0
COMMERCIAL BANKS,MEBL,2280,2360,descending,up,up,4.0,2365,53.05,50.75,50.75,False,50.75,-1.0,0.0
COMMERCIAL BANKS,MEBL,4800,4880,symmetrical,up,up,4.0,4896,243.26,240.65,242.0,False,240.65,-1.0,0.0
PAPER & BOARD,MERIT,720,800,symmetrical,down,down,2.0,853,17.35,18.13,18.0,False,18.13,-1.0,0.0
PAPER & BOARD,MERIT,1400,1480,ascending,down,down,4.0,1511,17.71,18.46,17.52,False,18.46,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,MFFL,2040,2120,ascending,down,down,4.0,2131,261.0,273.98,258.0,False,273.98,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,MFL,1240,1320,descending,up,up,4.0,1325,30.05,29.8,29.65,True,29.65,-1.6000000000000085,-0.6000000000000085
CEMENT,MLCF,1360,1440,symmetrical,down,down,1.0,1489,2.75,2.89,2.39,False,2.89,-1.0000000000000002,-2.220446049250313e-16
CEMENT,MLCF,2560,2640,symmetrical,down,down,2.0,2653,69.04,70.94,70.0,False,70.94,-0.9999999999999999,1.1102230246251565e-16
CEMENT,MLCF,4080,4160,ascending,down,down,4.0,4172,32.51,34.41,33.55,False,34.41,-1.0000000000000002,-2.220446049250313e-16
ENGINEERING,MSCL,1520,1600,descending,whipsaw,down,4.0,1603,20.65,22.26,23.85,True,23.85,-1.9875776397515508,-0.9875776397515508
TEXTILE COMPOSITE,MSOT,840,920,symmetrical,whipsaw,up,4.0,922,29.88,29.6,29.88,False,29.6,-1.0,0.0
AUTOMOBILE ASSEMBLER,MTL,200,280,symmetrical,up,up,1.0,308,65.7186,62.5698,64.9872,False,62.5698,-1.0,0.0
AUTOMOBILE ASSEMBLER,MTL,3360,3440,symmetrical,sequential,up,4.0,3452,321.1768,313.305,317.6129,False,313.305,-1.0000000000000002,-2.220446049250313e-16
AUTOMOBILE ASSEMBLER,MTL,4160,4240,ascending,down,down,3.0,4259,304.0909,309.7447,304.0482,False,309.7447,-1.0,0.0
AUTOMOBILE ASSEMBLER,MTL,5040,5120,ascending,sequential,up,4.0,5132,292.0763,280.5072,286.5258,False,280.5072,-1.0,0.0
ENGINEERING,MUGHAL,1120,1200,ascending,sequential,down,4.0,1202,42.01,42.19,42.35,True,42.35,-1.888888888888911,-0.888888888888911
FOOD & PERSONAL CARE PRODUCTS,MUREB,2600,2680,ascending,sequential,up,3.0,2684,1008.17,960.17,961.05,False,960.17,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,MUREB,2800,2880,ascending,up,up,4.0,2884,820.0,806.01,800.05,True,800.05,-1.426018584703362,-0.42601858470336196
FOOD & PERSONAL CARE PRODUCTS,MUREB,3120,3200,descending,up,up,3.0,3249,589.99,555.0,570.0,False,555.0,-1.0,0.0
MISCELLANEOUS,MWMP,760,840,symmetrical,up,up,3.0,872,0.07,0.0653,0.0625,True,0.0625,-1.5957446808510651,-0.5957446808510651
FOOD & PERSONAL CARE PRODUCTS,NATF,680,760,descending,down,down,2.0,768,32.01,32.8819,31.6314,False,32.8819,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,NATF,1120,1200,symmetrical,up,up,4.0,1218,32.2841,31.6364,31.6364,False,31.6364,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,NATF,2000,2080,descending,whipsaw,up,4.0,2084,358.39,335.12,339.8,False,335.12,-0.9999999999999999,1.1102230246251565e-16
FOOD & PERSONAL CARE PRODUCTS,NATF,3440,3520,descending,down,down,4.0,3527,162.28,166.6,163.99,False,166.6,-1.0,0.0
COMMERCIAL BANKS,NBP,1760,1840,descending,down,down,4.0,1843,33.9481,34.4876,34.1793,False,34.4876,-1.0,0.0
COMMERCIAL BANKS,NBP,3160,3240,ascending,sequential,up,4.0,3243,52.26,51.01,52.03,False,51.01,-1.0,0.0
TEXTILE COMPOSITE,NCL,360,440,symmetrical,down,down,4.0,447,46.9,47.75,46.75,False,47.75,-1.0,0.0
TEXTILE COMPOSITE,NCL,1280,1360,symmetrical,whipsaw,up,4.0,1362,16.51,16.5,16.5,False,16.5,-1.0000000000000062,-6.217248937900877e-15
TEXTILE COMPOSITE,NCL,2640,2720,descending,up,up,2.0,2793,34.47,33.15,34.62,False,33.15,-0.9999999999999998,2.220446049250313e-16
POWER GENERATION & DISTRIBUTION,NCPL,0,80,symmetrical,down,down,4.0,86,9.15,9.61,9.3,False,9.61,-1.0,0.0
POWER GENERATION & DISTRIBUTION,NCPL,1240,1320,ascending,whipsaw,down,4.0,1335,49.04,52.0,51.48,False,52.0,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,NESTLE,2720,2800,ascending,up,up,2.0,2843,6290.0,5850.0,5800.0,True,5800.0,-1.1136363636363635,-0.11363636363636354
TECHNOLOGY & COMMUNICATION,NETSOL,1200,1280,ascending,up,up,4.0,1282,25.39,24.79,25.4,False,24.79,-1.0,0.0
CHEMICAL,NICL,2560,2640,ascending,down,down,1.0,2693,25.69,27.0,27.0,False,27.0,-1.0,0.0
TEXTILE COMPOSITE,NML,3400,3480,ascending,down,down,4.0,3484,122.55,128.0,122.4,False,128.0,-1.0,0.0
REFINERY,NRL,2360,2440,ascending,sequential,up,4.0,2442,207.33,205.0,206.5,False,205.0,-1.0,0.0
CHEMICAL,NRSL,4720,4800,ascending,sequential,down,4.0,4808,21.26,21.65,21.7,True,21.7,-1.128205128205131,-0.12820512820513108
OIL & GAS MARKETING COMPANIES,OBOY,440,520,symmetrical,down,down,4.0,532,5.94,6.2,6.15,False,6.2,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,OGDC,360,440,descending,up,up,4.0,442,135.85,135.55,136.4,False,135.55,-1.0000000000000002,-2.220446049250313e-16
OIL & GAS EXPLORATION COMPANIES,OGDC,480,560,ascending,up,up,4.0,574,124.55,119.05,123.75,False,119.05,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,OGDC,520,600,ascending,down,down,4.0,614,120.5,121.75,120.0,False,121.75,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,OGDC,3760,3840,ascending,down,down,4.0,3848,108.86,113.0,110.0,False,113.0,-1.0,0.0
CABLE & ELECTRICAL GOODS,PAEL,1000,1080,descending,down,down,4.0,1088,13.4691,14.1692,14.2693,True,14.2693,-1.142979574346521,-0.14297957434652098
CABLE & ELECTRICAL GOODS,PAEL,2680,2760,descending,up,up,4.0,2775,65.59,63.97,65.15,False,63.97,-1.0000000000000002,-2.220446049250313e-16
CABLE & ELECTRICAL GOODS,PAEL,4200,4280,descending,sequential,down,4.0,4297,14.5,15.25,15.15,False,15.25,-1.0,0.0
CABLE & ELECTRICAL GOODS,PAEL,4240,4320,ascending,sequential,down,4.0,4342,15.68,16.24,15.41,False,16.24,-1.0,0.0
CABLE & ELECTRICAL GOODS,PAEL,4640,4720,symmetrical,up,up,4.0,4733,23.92,22.44,23.09,False,22.44,-1.0,0.0
CABLE & ELECTRICAL GOODS,PAEL,4760,4840,descending,up,up,4.0,4861,26.23,25.0,25.75,False,25.0,-1.0,0.0
TECHNOLOGY & COMMUNICATION,PAKD,40,120,symmetrical,up,up,2.0,134,55.3,53.95,53.5,True,53.5,-1.3333333333333368,-0.3333333333333368
CHEMICAL,PAKOXY,3000,3080,descending,down,down,4.0,3091,163.3546,170.0455,155.3403,False,170.0455,-1.0,0.0
CHEMICAL,PAKOXY,3800,3880,descending,up,up,2.0,3936,156.05,151.0,149.0,True,149.0,-1.396039603960395,-0.39603960396039506
INSURANCE,PAKRI,3680,3760,symmetrical,up,up,2.0,3797,24.99,24.15,25.0,False,24.15,-1.0,0.0
CABLE & ELECTRICAL GOODS,PCAL,1720,1800,symmetrical,sequential,down,4.0,1810,67.01,71.49,73.0,True,73.0,-1.3370535714285734,-0.3370535714285734
TRANSPORT,PIBTL,1640,1720,symmetrical,down,down,4.0,1729,12.64,12.93,12.9,False,12.93,-1.0000000000000002,-2.220446049250313e-16
TRANSPORT,PICT,680,760,ascending,sequential,up,4.0,773,77.35,72.5,74.1,False,72.5,-1.0,0.0
TRANSPORT,PICT,2600,2680,ascending,up,up,4.0,2684,368.2,363.0,360.0,True,360.0,-1.5769230769230782,-0.5769230769230782
TRANSPORT,PICT,4680,4760,descending,up,up,4.0,4775,44.07,42.0,42.55,False,42.0,-1.0,0.0
TRANSPORT,PICT,4720,4800,descending,down,down,1.0,4861,39.05,40.26,40.44,True,40.44,-1.1487603305785121,-0.14876033057851212
INSURANCE,PIL,1040,1120,symmetrical,up,up,4.0,1135,3.0552,2.6659,2.6659,False,2.6659,-1.0,0.0
INSURANCE,PIL,3080,3160,descending,up,up,4.0,3194,0.7248,0.6631,0.6477,True,0.6477,-1.2495948136142636,-0.2495948136142636
CEMENT,PIOC,2560,2640,descending,up,up,4.0,2642,87.64,87.0,84.5,True,84.5,-4.9062499999999964,-3.9062499999999964
CEMENT,PIOC,3880,3960,descending,up,up,4.0,3985,135.35,127.0,129.0,False,127.0,-1.0,0.0
CEMENT,PIOC,4480,4560,descending,up,up,4.0,4562,99.57,99.5,98.6,True,98.6,-13.857142857144208,-12.857142857144208
INSURANCE,PKGI,640,720,descending,up,up,4.0,735,1.1105,0.9733,1.1169,False,0.9733,-1.0,0.0
INSURANCE,PKGI,1320,1400,descending,sequential,down,3.0,1411,1.2685,1.4185,1.428,True,1.428,-1.0633333333333324,-0.06333333333333235
POWER GENERATION & DISTRIBUTION,PKGP,1440,1520,ascending,up,up,4.0,1523,14.6209,13.7536,14.0319,False,13.7536,-1.0,0.0
POWER GENERATION & DISTRIBUTION,PKGP,1960,2040,symmetrical,up,up,1.0,2085,11.1323,10.5822,11.2553,False,10.5822,-1.0,0.0
POWER GENERATION & DISTRIBUTION,PKGP,2960,3040,descending,up,up,4.0,3053,51.63,50.01,50.0,True,50.0,-1.0061728395061718,-0.006172839506171757
POWER GENERATION & DISTRIBUTION,PKGP,3080,3160,ascending,sequential,down,4.0,3163,80.95,86.99,81.0,False,86.99,-1.0,0.0
PAPER & BOARD,PKGS,1000,1080,ascending,sequential,up,4.0,1098,175.78,166.5,168.25,False,166.5,-1.0000000000000002,-2.220446049250313e-16
PAPER & BOARD,PKGS,1320,1400,symmetrical,up,up,4.0,1404,132.55,129.0,131.85,False,129.0,-0.9999999999999999,1.1102230246251565e-16
PAPER & BOARD,PKGS,4040,4120,symmetrical,down,down,4.0,4131,472.19,479.98,475.0,False,479.98,-1.0000000000000002,-2.220446049250313e-16
TRANSPORT,PNSC,920,1000,symmetrical,sequential,down,4.0,1004,25.5076,26.986,27.6316,True,27.6316,-1.4366883116883102,-0.43668831168831024
TRANSPORT,PNSC,1280,1360,descending,sequential,down,4.0,1379,22.6411,23.1705,22.5895,False,23.1705,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,POL,360,440,symmetrical,up,up,2.0,532,354.6,331.9,335.5,False,331.9,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,POL,400,480,ascending,sequential,down,4.0,495,344.75,353.0,351.5,False,353.0,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,POL,1640,1720,ascending,sequential,up,3.0,1730,379.17,374.25,371.89,True,371.89,-1.4796747967479686,-0.47967479674796865
OIL & GAS EXPLORATION COMPANIES,POL,2440,2520,descending,sequential,up,3.0,2552,388.12,380.8,390.0,False,380.8,-1.0,0.0
CEMENT,POWER,160,240,ascending,sequential,down,3.0,254,16.6368,17.4512,17.5288,True,17.5288,-1.0952848722986253,-0.09528487229862526
CEMENT,POWER,4560,4640,descending,up,up,4.0,4664,5.52,5.22,5.2,True,5.2,-1.0666666666666653,-0.06666666666666532
CEMENT,POWERPS,40,120,symmetrical,up,up,4.0,142,11.0,10.58,10.0,True,10.0,-2.380952380952382,-1.3809523809523818
CEMENT,POWERPS,400,480,symmetrical,up,up,4.0,484,30.3,28.77,29.29,False,28.77,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,PPL,400,480,ascending,sequential,down,4.0,499,230.5,243.5,243.4,False,243.5,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,PPL,520,600,ascending,down,down,4.0,615,262.45,268.5,269.0,True,269.0,-1.0826446280991735,-0.0826446280991735
OIL & GAS EXPLORATION COMPANIES,PPL,2760,2840,ascending,down,down,4.0,2862,156.48,160.9,155.3,False,160.9,-1.0,0.0
OIL & GAS EXPLORATION COMPANIES,PPL,3000,3080,ascending,up,up,4.0,3100,178.83,170.62,173.5,False,170.62,-1.0,0.0
PAPER & BOARD,PPP,320,400,symmetrical,down,down,2.0,417,25.2687,25.6516,25.0135,False,25.6516,-1.0000000000000002,-2.220446049250313e-16
CHEMICAL,PPVC,960,1040,symmetrical,up,up,4.0,1046,1.3813,1.3354,1.3065,True,1.3065,-1.629629629629629,-0.6296296296296291
REFINERY,PRL,1680,1760,symmetrical,down,down,2.0,1792,46.9895,47.9314,45.5804,False,47.9314,-1.0,0.0
REFINERY,PRL,2480,2560,descending,down,down,4.0,2562,35.8182,36.005,36.6278,True,36.6278,-4.334047109207607,-3.3340471092076074
REFINERY,PRL,2640,2720,symmetrical,up,up,4.0,2725,37.0482,35.1098,36.1218,False,35.1098,-1.0000000000000002,-2.220446049250313e-16
REFINERY,PRL,2760,2840,descending,down,down,4.0,2853,31.5287,33.5528,33.1635,False,33.5528,-1.0,0.0
REFINERY,PRL,2840,2920,ascending,down,down,4.0,2922,33.6696,33.7863,33.6773,False,33.7863,-1.0000000000000007,-6.661338147750939e-16
OIL & GAS MARKETING COMPANIES,PSO,1200,1280,ascending,down,down,4.0,1284,255.0,268.99,265.5,False,268.99,-1.0000000000000002,-2.220446049250313e-16
OIL & GAS MARKETING COMPANIES,PSO,1480,1560,ascending,down,down,1.0,1622,268.06,269.0,274.72,True,274.72,-7.085106382978768,-6.085106382978768
OIL & GAS MARKETING COMPANIES,PSO,1600,1680,descending,up,up,4.0,1686,237.62,233.0,238.24,False,233.0,-1.0,0.0
TECHNOLOGY & COMMUNICATION,PTC,2680,2760,ascending,sequential,up,4.0,2783,16.21,15.2,15.36,False,15.2,-1.0,0.0
TEXTILE COMPOSITE,QUET,1280,1360,symmetrical,up,up,1.0,1376,18.66,16.16,16.05,True,16.05,-1.0439999999999998,-0.04399999999999982
FOOD & PERSONAL CARE PRODUCTS,QUICE,3400,3480,descending,down,down,2.0,3530,3.21,3.48,2.83,False,3.48,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,QUICE,3640,3720,ascending,down,down,2.0,3780,4.58,5.0,4.8,False,5.0,-1.0000000000000002,-2.220446049250313e-16
FOOD & PERSONAL CARE PRODUCTS,QUICE,4760,4840,ascending,up,up,2.0,4877,8.43,8.13,8.25,False,8.13,-1.0000000000000002,-2.220446049250313e-16
TEXTILE COMPOSITE,REDCO,2040,2120,symmetrical,down,down,4.0,2130,3.05,3.2,3.0,False,3.2,-1.0000000000000004,-4.440892098500626e-16
FOOD & PERSONAL CARE PRODUCTS,RMPL,2400,2480,descending,down,down,4.0,2488,8800.0,9024.0,8930.0,False,9024.0,-1.0,0.0
CHEMICAL,SARC,1320,1400,symmetrical,sequential,down,4.0,1402,14.75,15.4,13.75,False,15.4,-1.0,0.0
COMMERCIAL BANKS,SBL,2880,2960,descending,up,up,4.0,3000,8.16,7.0,7.93,False,7.0,-1.0000000000000002,-2.220446049250313e-16
FOOD & PERSONAL CARE PRODUCTS,SCL,1800,1880,symmetrical,sequential,down,4.0,1905,195.858,220.9723,222.7684,True,222.7684,-1.0715170241655163,-0.07151702416551631
PHARMACEUTICALS,SEARL,1040,1120,descending,down,down,3.0,1128,23.4085,24.4394,23.3507,False,24.4394,-1.0,0.0
PHARMACEUTICALS,SEARL,1280,1360,descending,up,up,4.0,1362,28.1809,27.6654,28.4297,False,27.6654,-1.0,0.0
PHARMACEUTICALS,SEARL,4640,4720,descending,sequential,down,4.0,4731,56.09,58.21,55.0,False,58.21,-1.0000000000000002,-2.220446049250313e-16
POWER GENERATION & DISTRIBUTION,SEL,880,960,descending,up,up,4.0,973,19.76,19.75,19.5,True,19.5,-25.999999999996255,-24.999999999996255
PAPER & BOARD,SEPL,320,400,symmetrical,up,up,4.0,404,58.17,55.7609,56.4367,False,55.7609,-1.0,0.0
PAPER & BOARD,SEPL,3760,3840,descending,up,up,2.0,3893,117.38,112.6,112.02,True,112.02,-1.1213389121338908,-0.12133891213389081
PAPER & BOARD,SEPL,4200,4280,ascending,down,down,4.0,4284,135.16,138.9,139.79,True,139.79,-1.2379679144384985,-0.23796791443849852
OIL & GAS MARKETING COMPANIES,SHEL,480,560,descending,up,up,1.0,577,213.8553,208.9703,208.4546,True,208.4546,-1.105568065506655,-0.1055680655066551
OIL & GAS MARKETING COMPANIES,SHEL,960,1040,descending,up,up,4.0,1045,171.2073,166.3182,173.3876,False,166.3182,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,SHEZ,600,680,ascending,down,down,4.0,683,118.86,121.0,121.0,False,121.0,-0.9999999999999998,2.220446049250313e-16
FOOD & PERSONAL CARE PRODUCTS,SHEZ,3040,3120,descending,up,up,1.0,3132,175.74,151.01,150.0,True,150.0,-1.040841083704003,-0.04084108370400297
MISCELLANEOUS,SHFA,1120,1200,descending,up,up,2.0,1292,32.9,31.0,31.0,False,31.0,-1.0000000000000002,-2.220446049250313e-16
MISCELLANEOUS,SHFA,4280,4360,descending,sequential,up,3.0,4383,550.02,542.0,550.11,False,542.0,-1.0,0.0
INSURANCE,SHNI,1080,1160,descending,down,down,4.0,1168,6.0005,7.0044,7.0044,False,7.0044,-0.9999999999999998,2.220446049250313e-16
CHEMICAL,SITC,520,600,symmetrical,up,up,3.0,648,330.65,305.0,309.0,False,305.0,-1.0,0.0
CHEMICAL,SITC,800,880,ascending,up,up,4.0,882,178.99,175.0,175.0,False,175.0,-1.0,0.0
CHEMICAL,SITC,3800,3880,descending,sequential,down,4.0,3885,218.68,233.05,230.0,False,233.05,-1.0,0.0
CEMENT,SMCPL,1160,1240,symmetrical,down,down,4.0,1243,9.8,10.08,9.99,False,10.08,-1.0000000000000002,-2.220446049250313e-16
CEMENT,SMCPL,2520,2600,ascending,sequential,up,4.0,2602,16.65,15.61,15.4,True,15.4,-1.2019230769230762,-0.2019230769230762
CEMENT,SMCPL,2640,2720,descending,up,up,4.0,2738,13.5,13.1,12.9,True,12.9,-1.499999999999998,-0.499999999999998
CEMENT,SMCPL,3080,3160,descending,up,up,3.0,3169,46.34,44.2,47.98,False,44.2,-0.9999999999999998,2.220446049250313e-16
COMMERCIAL BANKS,SNBL,4280,4360,ascending,down,down,4.0,4362,6.7381,7.0792,6.5335,False,7.0792,-1.0000000000000002,-2.220446049250313e-16
OIL & GAS MARKETING COMPANIES,SNGP,560,640,descending,down,down,1.0,683,66.25,70.3,68.0,False,70.3,-1.0,0.0
MISCELLANEOUS,SPEL,680,760,descending,down,down,4.0,773,26.0184,28.5858,26.0025,False,28.5858,-1.0,0.0
OIL & GAS MARKETING COMPANIES,SSGC,400,480,descending,sequential,down,3.0,503,25.75,26.4,25.75,False,26.4,-1.0,0.0
OIL & GAS MARKETING COMPANIES,SSGC,520,600,ascending,up,up,3.0,639,28.6,27.5,28.25,False,27.5,-1.0,0.0
OIL & GAS MARKETING COMPANIES,SSGC,680,760,ascending,sequential,up,4.0,771,28.95,28.05,28.75,False,28.05,-1.0,0.0
OIL & GAS MARKETING COMPANIES,SSGC,920,1000,ascending,down,down,4.0,1012,13.5,13.95,13.36,False,13.95,-1.0,0.0
OIL & GAS MARKETING COMPANIES,SSGC,3000,3080,descending,down,down,3.0,3115,34.86,36.85,35.6,False,36.85,-1.0,0.0
OIL & GAS MARKETING COMPANIES,SSGC,3840,3920,ascending,down,down,4.0,3924,13.96,14.7,14.25,False,14.7,-1.0,0.0
OIL & GAS MARKETING COMPANIES,SSGC,5080,5160,symmetrical,down,down,1.0,5245,32.59,33.24,32.98,False,33.24,-1.0,0.0
GLASS & CERAMICS,STCL,3480,3560,symmetrical,down,down,4.0,3568,14.36,14.85,14.25,False,14.85,-1.0,0.0
GLASS & CERAMICS,STCL,3640,3720,symmetrical,up,up,4.0,3724,8.79,8.45,8.58,False,8.45,-1.0000000000000002,-2.220446049250313e-16
TECHNOLOGY & COMMUNICATION,SYS,120,200,descending,down,down,4.0,208,31.7097,32.5702,31.6781,False,32.5702,-1.0,0.0
TECHNOLOGY & COMMUNICATION,SYS,2280,2360,descending,up,up,4.0,2385,416.97,413.02,416.97,False,413.02,-1.0,0.0
TECHNOLOGY & COMMUNICATION,TELE,360,440,symmetrical,down,down,4.0,446,10.85,11.15,10.85,False,11.15,-1.0,0.0
TECHNOLOGY & COMMUNICATION,TELE,3200,3280,ascending,sequential,down,3.0,3310,1.91,2.0,1.94,False,2.0,-1.0000000000000009,-8.881784197001252e-16
GLASS & CERAMICS,TGL,3360,3440,descending,up,up,2.0,3455,90.12,84.25,87.29,False,84.25,-1.0,0.0
GLASS & CERAMICS,TGL,3560,3640,descending,sequential,down,3.0,3665,91.09,102.69,103.95,True,103.95,-1.108620689655173,-0.10862068965517291
GLASS & CERAMICS,TGL,4280,4360,ascending,sequential,down,4.0,4365,111.33,114.84,113.91,False,114.84,-1.0,0.0
AUTOMOBILE PARTS & ACCESSORIES,THALL,2400,2480,ascending,up,up,4.0,2486,295.05,288.0,281.01,True,281.01,-1.9914893617021274,-0.9914893617021274
CEMENT,THCCL,880,960,symmetrical,up,up,4.0,966,26.5,24.15,23.71,True,23.71,-1.1872340425531904,-0.18723404255319043
CEMENT,THCCL,920,1000,symmetrical,sequential,down,4.0,1008,24.0,24.9,24.0,False,24.9,-1.0,0.0
CEMENT,THCCL,960,1040,descending,up,up,4.0,1044,30.4,27.02,25.48,True,25.48,-1.4556213017751478,-0.4556213017751478
TEXTILE COMPOSITE,TOWL,360,440,descending,sequential,down,4.0,442,105.11,109.0,110.24,True,110.24,-1.3187660668380448,-0.31876606683804476
TEXTILE COMPOSITE,TOWL,1840,1920,ascending,whipsaw,up,4.0,1932,180.35,161.1,162.41,False,161.1,-1.0,0.0
PROPERTY,TPLP,400,480,ascending,down,down,4.0,483,7.15,7.41,7.44,True,7.44,-1.1153846153846165,-0.11538461538461653
PROPERTY,TPLP,720,800,descending,sequential,down,4.0,811,8.61,9.5,9.49,False,9.5,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,TREET,3720,3800,symmetrical,up,up,1.0,3814,17.2,16.2,16.01,True,16.01,-1.1899999999999977,-0.18999999999999773
TECHNOLOGY & COMMUNICATION,TRG,960,1040,symmetrical,down,down,4.0,1042,1.54,1.57,1.55,False,1.57,-1.0000000000000009,-8.881784197001252e-16
MISCELLANEOUS,TRIPF,3640,3720,descending,sequential,down,4.0,3730,159.5,166.99,160.98,False,166.99,-1.0,0.0
POWER GENERATION & DISTRIBUTION,TSPL,3400,3480,symmetrical,down,down,4.0,3493,2.91,3.29,3.0,False,3.29,-1.0,0.0
MISCELLANEOUS,UBDL,1000,1080,symmetrical,sequential,up,4.0,1083,35.8,33.5,31.76,True,31.76,-1.756521739130435,-0.7565217391304351
COMMERCIAL BANKS,UBL,1600,1680,ascending,up,up,2.0,1713,40.7806,39.7068,40.6807,False,39.7068,-1.0000000000000002,-2.220446049250313e-16
COMMERCIAL BANKS,UBL,2360,2440,ascending,sequential,up,4.0,2444,92.6991,91.6502,93.1236,False,91.6502,-1.0,0.0
COMMERCIAL BANKS,UBL,4520,4600,descending,up,up,4.0,4602,102.7232,101.3896,97.9184,True,97.9184,-3.6028794241151667,-2.6028794241151667
INSURANCE,UNIC,2520,2600,symmetrical,up,up,1.0,2670,8.99,8.32,7.99,True,7.99,-1.492537313432836,-0.4925373134328359
INSURANCE,UNIC,2680,2760,ascending,sequential,up,3.0,2791,8.44,7.46,7.6,False,7.46,-0.9999999999999999,1.1102230246251565e-16
INSURANCE,UNIC,3120,3200,ascending,down,down,4.0,3207,7.36,7.69,7.5,False,7.69,-1.0000000000000002,-2.220446049250313e-16
