sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
GLASS & CERAMICS,GHGL,1360,1440,ascending,down,down,4.0,1445,52.64,54.0,53.34,False,54.0,-1.0,0.0
GLASS & CERAMICS,GHGL,2480,2560,symmetrical,whipsaw,up,4.0,2567,95.83,93.7,95.99,False,93.7,-1.0,0.0
GLASS & CERAMICS,GHGL,3880,3960,ascending,down,down,2.0,4017,41.26,43.0,42.45,False,43.0,-1.0,0.0
GLASS & CERAMICS,GHGL,4000,4080,symmetrical,sequential,down,4.0,4090,39.81,40.8,39.99,False,40.8,-1.0000000000000002,-2.220446049250313e-16
AUTOMOBILE ASSEMBLER,GHNI,4040,4120,symmetrical,down,down,2.0,4149,85.99,88.0,91.5,True,91.5,-2.741293532338304,-1.7412935323383039
PHARMACEUTICALS,GLAXO,1480,1560,ascending,down,down,2.0,1616,70.5,73.9,72.0,False,73.9,-1.0,0.0
PHARMACEUTICALS,GLAXO,2440,2520,descending,up,up,4.0,2526,200.2,192.02,194.24,False,192.02,-1.0,0.0
PHARMACEUTICALS,GLAXO,2560,2640,ascending,down,down,4.0,2648,219.4,228.0,223.0,False,228.0,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,GLPL,640,720,symmetrical,sequential,up,4.0,725,47.5087,46.5257,45.2479,True,45.2479,-2.2998982706002065,-1.2998982706002065
AUTOMOBILE PARTS & ACCESSORIES,GTYR,4640,4720,ascending,down,down,4.0,4730,37.28,38.43,38.6,True,38.6,-1.1478260869565233,-0.14782608695652333
CEMENT,GWLC,960,1040,descending,up,up,4.0,1059,12.4716,11.59,11.5596,True,11.5596,-1.03448275862069,-0.034482758620689946
PHARMACEUTICALS,HALEON,0,80,descending,up,up,4.0,86,139.71,134.0,135.25,False,134.0,-1.0,0.0
OIL & GAS MARKETING COMPANIES,HASCOL,2600,2680,symmetrical,sequential,up,4.0,2689,12.37,12.0,12.12,False,12.0,-1.0,0.0
COMMERCIAL BANKS,HBL,2040,2120,descending,up,up,1.0,2154,176.22,173.0,177.06,False,173.0,-1.0,0.0
COMMERCIAL BANKS,HBL,3200,3280,ascending,sequential,up,4.0,3309,140.12,136.8,138.7,False,136.8,-1.0,0.0
COMMERCIAL BANKS,HBL,3800,3880,descending,sequential,down,3.0,3898,70.51,72.2,69.88,False,72.2,-1.0000000000000002,-2.220446049250313e-16
AUTOMOBILE ASSEMBLER,HINO,1840,1920,descending,up,up,3.0,1952,682.2704,637.6039,623.9067,True,623.9067,-1.3066548755778926,-0.3066548755778926
PHARMACEUTICALS,HINOON,680,760,descending,down,down,4.0,784,79.25,87.0,84.1,False,87.0,-1.0,0.0
COMMERCIAL BANKS,HMB,880,960,descending,up,up,4.0,970,28.07,26.3,26.75,False,26.3,-1.0,0.0
COMMERCIAL BANKS,HMB,4200,4280,descending,up,up,4.0,4297,35.48,34.5,34.0,True,34.0,-1.510204081632655,-0.510204081632655
COMMERCIAL BANKS,HMB,4960,5040,descending,up,up,2.0,5086,114.36,111.01,114.56,False,111.01,-1.0,0.0
PHARMACEUTICALS,IBLHL,360,440,ascending,up,up,4.0,442,9.4,9.16,9.64,False,9.16,-1.0,0.0
PHARMACEUTICALS,IBLHL,3320,3400,symmetrical,down,down,4.0,3428,32.9,34.15,34.5,True,34.5,-1.2800000000000011,-0.28000000000000114
PHARMACEUTICALS,IBLHL,3920,4000,symmetrical,down,down,3.0,4042,60.12,63.74,59.0,False,63.74,-0.9999999999999999,1.1102230246251565e-16
INSURANCE,IGIL,2640,2720,descending,sequential,down,4.0,2736,12.85,13.68,12.81,False,13.68,-1.0,0.0
AUTOMOBILE ASSEMBLER,INDU,3000,3080,ascending,down,down,4.0,3103,1699.2,1778.97,1740.0,False,1778.97,-1.0,0.0
AUTOMOBILE ASSEMBLER,INDU,3360,3440,ascending,down,down,4.0,3469,1200.31,1240.0,1191.8,False,1240.0,-1.0,0.0
FOOD & PERSONAL CARE PRODUCTS,ISIL,1680,1760,symmetrical,down,down,4.0,1763,1776.71,1800.0,1777.0,False,1800.0,-1.0,0.0
ENGINEERING,ISL,2560,2640,descending,sequential,down,4.0,2643,60.73,62.02,63.45,True,63.45,-2.1085271317829397,-1.1085271317829397
ENGINEERING,ISL,2840,2920,symmetrical,sequential,up,4.0,2934,44.99,43.07,44.0,False,43.07,-1.0,0.0
INSURANCE,JGICL,400,480,ascending,up,up,4.0,482,140.0579,135.2912,137.6451,False,135.2912,-1.0,0.0
INSURANCE,JGICL,3640,3720,descending,sequential,up,4.0,3722,82.21,81.37,81.9,False,81.37,-1.0,0.0
