sector,symbol,start,end,kind,outcome,horizon,excluded_insufficient_data,raw_pct_move,pct_of_measured_move,height_pct_of_price
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,90,False,3.6904591617794282,115.19192871949436,3.2037480427696656
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,10,False,3.170840124462884,232.6749002575233,1.3627770425402208
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,20,False,-0.9631056452807908,-70.67228278850067,1.3627770425402208
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,30,False,2.57815972736701,189.18426469536877,1.3627770425402208
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,60,False,10.697881167580372,785.0059718968764,1.3627770425402208
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,90,False,9.61623944288042,705.635561995946,1.3627770425402208
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,10,False,3.4461538461538384,54.92982051538991,6.273739498544903
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,20,False,17.461538461538453,278.32743877217706,6.273739498544903
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,30,False,36.523076923076914,582.1580084979282,6.273739498544903
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,60,False,31.23076923076923,497.80149842072217,6.273739498544903
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,90,False,60.215384615384615,959.8005245412348,6.273739498544903
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,10,False,-3.546099290780142,-90.164827110637,3.932907547672543
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,20,False,-0.8085106382978626,-20.55758058122499,3.932907547672543
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,30,False,-20.099290780141846,-511.0542400630906,3.932907547672543
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,60,False,-22.000000000000007,-559.3825873943922,3.932907547672543
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,90,False,-41.843971631205676,-1063.9449599055167,3.932907547672543
CHEMICAL,AGL,40,120,descending,sequential,10,False,-3.6812674743709186,-37.27032883680224,9.877206853983763
CHEMICAL,AGL,40,120,descending,sequential,20,False,-2.516309412861133,-25.475920977054685,9.877206853983763
CHEMICAL,AGL,40,120,descending,sequential,30,False,-10.857409133271194,-109.92388125284715,9.877206853983763
CHEMICAL,AGL,40,120,descending,sequential,60,False,-18.49953401677539,-187.29519681279118,9.877206853983763
CHEMICAL,AGL,40,120,descending,sequential,90,False,-3.541472506989739,-35.85499989363248,9.877206853983763
CHEMICAL,AGL,640,720,symmetrical,down,10,False,-5.545774647887331,-90.06527030887109,6.15750624948837
CHEMICAL,AGL,640,720,symmetrical,down,20,False,0.9683098591549246,15.725682117421835,6.15750624948837
CHEMICAL,AGL,640,720,symmetrical,down,30,False,1.4084507042253533,22.87371944352281,6.15750624948837
CHEMICAL,AGL,640,720,symmetrical,down,60,False,-1.2323943661971881,-20.01450451308252,6.15750624948837
CHEMICAL,AGL,640,720,symmetrical,down,90,False,-18.397887323943664,-298.78796023101637,6.15750624948837
