
SYMBOL	NAME	LDCP	CURRENT	CHANGE	CHANGE (%)	IDX WTG (%)	IDX POINT	VOLUME	SHARES (M)	MARKET CAP (M)
SEL	Sitara Energy Limited	33.94	32.82	 -1.12	 -3.30%	0.00%	-0.12	63,293	19	627
HAEL	Hala Enterprises Limited	25.18	26.88	 1.70	 6.75%	0.00%	0.12	60,592	13	349
TCORPCPSXD	Tariq Corporation Limited(Pref)	10.93	11.00	 0.07	 0.64%	0.00%	0.01	60,329	14	159
IGIL	IGI Life Insurance Limited	20.51	20.51	0.00	0.00%	0.02%	0.00	60,053	171	3,498
GATI	Gatron (Industries) Limited	85.05	85.52	 0.47	 0.55%	0.05%	0.28	59,328	109	9,299
BWHL	Baluchistan Wheels Limited	220.03	216.87	 -3.16	 -1.44%	0.02%	-0.23	58,669	13	2,892
HIFA	HBL Investment Fund	5.25	5.28	 0.03	 0.57%	0.01%	0.05	58,261	284	1,500
MSCL	Metropolitan Steel Corporation Limited	29.43	28.90	 -0.53	 -1.80%	0.00%	-0.09	55,735	31	895
ABL	Allied Bank Limited	179.51	181.91	 2.40	 1.34%	1.09%	14.94	54,950	1,145	208,300
AGTL	Al-Ghazi Tractors Limited	366.18	372.34	 6.16	 1.68%	0.11%	1.94	53,935	58	21,582
DLL	Dawood Lawrencepur Limited	56.61	56.13	 -0.48	 -0.85%	0.24%	-2.09	53,895	801	44,947
SMCPL	Safe Mix Concrete Limited	44.09	44.55	 0.46	 1.04%	0.01%	0.06	52,667	25	1,114
UBDL	United Brands Limited	28.00	26.99	 -1.01	 -3.61%	0.01%	-0.50	51,959	92	2,478
BNWM	Bannu Woollen Mills Limited	65.64	69.32	 3.68	 5.61%	0.00%	0.19	51,670	10	659
LPGL	Leiner Pak Gelatine Limited	91.95	100.33	 8.38	 9.11%	0.00%	0.34	51,378	8	752
PPVCNC	Pakistan PVC Limited	25.99	28.59	 2.60	 10.00%	0.00%	0.21	51,126	15	428
INKL	International Knitwear Limited	83.82	92.20	 8.38	 10.00%	0.00%	0.44	50,174	10	892
LCI	Lucky Core Industries Limited	225.97	228.89	 2.92	 1.29%	0.55%	7.33	49,707	462	105,700
PASMNC	Paramount Spinning Mills Limited	6.76	6.71	 -0.05	 -0.74%	0.00%	0.00	46,836	17	116
KSBP	KSB Pumps Company Limited	200.62	202.64	 2.02	 1.01%	0.03%	0.34	42,848	31	6,262
IDSM	Ideal Spinning Mills Limited	77.00	78.44	 1.44	 1.87%	0.00%	0.08	41,609	10	778
DWSMNC	Dewan Sugar Mills Limited	6.71	6.70	 -0.01	 -0.15%	0.00%	0.00	39,101	92	613
KOHP	Kohinoor Power Company Limited	27.00	26.54	 -0.46	 -1.70%	0.00%	-0.03	38,640	13	334
HWQSNC	Haseeb Waqas Sugar Mills Limited	17.50	18.27	 0.77	 4.40%	0.00%	0.14	38,085	32	592
HALEON	Haleon Pakistan Limited	760.85	773.10	 12.25	 1.61%	0.47%	7.80	36,518	117	90,495
CRTM	The Crescent Textile Mills Limited	71.07	69.83	 -1.24	 -1.74%	0.04%	-0.67	35,427	100	6,983
DIIL	Diamond Industries Limited	66.22	62.62	 -3.60	 -5.44%	0.00%	-0.18	34,565	9	564
FLYNG	Flying Cement Company Limited	42.43	43.31	 0.88	 2.07%	0.16%	3.32	34,158	695	30,092
LSEFSL	LSE Financial Services Limited.	23.26	24.15	 0.89	 3.83%	0.00%	0.13	33,659	27	652
SRR	Signature Residency Reit	16.14	16.12	 -0.02	 -0.12%	0.00%	0.00	33,439	33	532
REDCO	Redco Textiles Limited	32.22	31.09	 -1.13	 -3.51%	0.01%	-0.30	33,124	49	1,533
HABSM	Habib Sugar Mills Limited	74.00	73.49	 -0.51	 -0.69%	0.05%	-0.37	32,931	135	9,921
PAKT	Pakistan Tobacco Company Limited	1,312.43	1,330.54	 18.11	 1.38%	1.78%	25.15	32,704	255	339,945
GUSMNC	Gulistan Spinning Mills Limited	8.50	8.50	0.00	0.00%	0.00%	0.00	32,379	15	124
NRSL	Nimir Resins Limited	34.41	33.93	 -0.48	 -1.39%	0.03%	-0.37	31,663	141	4,795
FHAM	First Habib Modaraba	32.67	32.72	 0.05	 0.15%	0.02%	0.03	31,454	111	3,626
PCAL	Pakistan Cables Limited	149.86	152.85	 2.99	 2.00%	0.04%	0.89	30,293	54	8,324
ATBA	Atlas Battery Limited	215.24	216.68	 1.44	 0.67%	0.04%	0.27	30,220	35	7,587

SYMBOL	NAME	LDCP	CURRENT	CHANGE	CHANGE (%)	IDX WTG (%)	IDX POINT	VOLUME	SHARES (M)	MARKET CAP (M)
PABC	Pakistan Aluminium Beverage Cans Limited	103.59	105.44	 1.85	 1.79%	0.20%	3.63	27,575	361	38,075
SITC	Sitara Chemical Industries Limited	874.96	877.53	 2.57	 0.29%	0.10%	0.30	27,229	21	18,805
WAFI	Wafi Energy Pakistan Limited	196.86	199.45	 2.59	 1.32%	0.22%	3.01	26,971	214	42,687
PAKD	Pak Datacom Limited	137.52	138.88	 1.36	 0.99%	0.01%	0.09	25,925	12	1,647
SHNI	Shaheen Insurance Company Limited	7.32	7.20	 -0.12	 -1.64%	0.00%	-0.07	25,823	105	755
BWCL	Bestway Cement Limited	450.21	456.60	 6.39	 1.42%	1.42%	20.71	24,915	596	272,249
CHAS	Chashma Sugar Mills Limited	75.79	75.98	 0.19	 0.25%	0.01%	0.03	24,157	29	2,180
AGIL	Agriauto Industries Limited	164.10	165.43	 1.33	 0.81%	0.03%	0.26	23,826	36	5,955
ORM	Orient Rental Mod	10.14	10.20	 0.06	 0.59%	0.00%	0.02	23,815	75	765
ZAHID	Zahidjee Textile Mills Limited	64.82	63.03	 -1.79	 -2.76%	0.06%	-1.86	23,047	191	12,065
GADT	Gadoon Textile Mills Limited	306.55	304.34	 -2.21	 -0.72%	0.04%	-0.34	22,908	28	8,531
RUBYNC	Ruby Textile Mills Limited	17.00	17.14	 0.14	 0.82%	0.00%	0.04	21,980	52	895
SEPL	Security Papers Limited	144.44	146.21	 1.77	 1.23%	0.05%	0.57	21,936	59	8,664
ASTM	Asim Textile Mills Limited	19.58	19.01	 -0.57	 -2.91%	0.00%	-0.05	19,921	15	289
FEM	First Equity Modaraba	10.90	11.00	 0.10	 0.92%	0.00%	0.03	19,914	52	577
LPL	Lalpir Power Limited	19.82	19.72	 -0.10	 -0.50%	0.03%	-0.15	19,842	280	5,518
IDYM	Indus Dyeing & Manufacturing Co. Limited	140.93	141.16	 0.23	 0.16%	0.04%	0.07	19,003	54	7,654
SUTM	Sunrays Textile Mills Limited	115.96	117.33	 1.37	 1.18%	0.01%	0.15	18,594	21	2,429
GVGL	Ghani Value Glass Limited	55.52	55.57	 0.05	 0.09%	0.04%	0.04	18,498	150	8,332
TOWL	Towellers Limited	116.64	117.00	 0.36	 0.31%	0.01%	0.03	18,280	17	1,989
FCIBL	First Credit and Investment Bank Limited	37.63	37.42	 -0.21	 -0.56%	0.01%	-0.07	18,125	65	2,432
OLPL	OLP Financial Services Pakistan Limited	49.30	49.00	 -0.30	 -0.61%	0.04%	-0.29	17,722	175	8,595
BCL	Bolan Castings Limited	76.75	76.75	0.00	0.00%	0.00%	0.00	16,628	11	881
