symbol,date,close_before,close_after,pct_change,peer_avg_change,magnitude_category,likely_action,peers_used,sector,review_status
KOHP,2006-10-06,4.65,4.3,-7.53,1.0,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2006-10-11,4.4,4.05,-7.95,-0.42,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2006-11-20,4.75,4.1,-13.68,-0.43,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-03-07,3.8,3.35,-11.84,2.1,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-05-25,4.5,4.15,-7.78,-3.43,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-06-08,4.5,4.0,-11.11,2.05,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-06-26,4.85,4.4,-9.28,-0.7,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-07-16,7.35,6.5,-11.56,-1.97,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-07-18,6.9,6.0,-13.04,-2.83,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-08-07,5.85,5.3,-9.4,-0.39,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-08-13,5.4,4.8,-11.11,-0.52,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-08-24,4.25,3.9,-8.24,-2.95,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-11-15,9.0,8.0,-11.11,-0.82,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2007-11-16,8.0,7.0,-12.5,-0.76,DROP_OTHER,Rights/Dividend,5,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2008-03-03,7.0,6.4,-8.57,1.22,DROP_OTHER,Rights/Dividend,5,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-01-30,11.85,10.85,-8.44,1.89,DROP_OTHER,Rights/Dividend,5,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-02-03,10.85,9.85,-9.22,-0.4,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-02-04,9.85,8.85,-10.15,-0.37,DROP_OTHER,Rights/Dividend,7,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-02-06,8.85,7.85,-11.3,4.21,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-05-04,9.99,9.1,-8.91,-1.85,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-05-20,9.0,8.2,-8.89,-3.97,DROP_OTHER,Rights/Dividend,5,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-06-25,8.24,7.56,-8.25,-0.1,DROP_OTHER,Rights/Dividend,5,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-07-13,7.97,7.3,-8.41,0.84,DROP_OTHER,Rights/Dividend,5,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2009-11-02,9.72,8.72,-10.29,-3.28,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-02-22,9.68,8.78,-9.3,-1.88,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-02-23,8.78,8.01,-8.77,-1.92,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-03-01,7.99,6.99,-12.52,-4.46,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-06-10,6.01,5.55,-7.65,-1.83,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-07-12,5.89,5.4,-8.32,-0.68,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-08-20,5.87,5.38,-8.35,-0.06,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-08-24,5.87,5.37,-8.52,0.8,DROP_OTHER,Rights/Dividend,6,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-08-30,5.37,4.81,-10.43,-0.62,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-09-29,5.5,5.01,-8.91,-0.35,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-10-11,5.69,5.24,-7.91,0.14,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-12-06,4.79,4.24,-11.48,1.69,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2010-12-27,4.83,4.42,-8.49,-0.37,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-02-22,4.5,4.0,-11.11,-4.77,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-02-28,3.9,3.5,-10.26,2.21,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2011-03-07,3.95,3.56,-9.87,3.43,DROP_OTHER,Rights/Dividend,8,POWER GENERATION & DISTRIBUTION,PENDING
