sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,lfd_hit_bar,rolling_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling
REFINERY,ATRL,1440,1520,ascending,sequential,up,1530,3.0,131.8,124.42,7.38000000000001,skipped_risk_gt_6pct,120.58,,1547.0,,1547,False,False,-1.0,
REFINERY,ATRL,2640,2720,ascending,up,up,2721,4.0,224.51,222.05,2.4599999999999795,no_valid_consolidation,,,2722.0,,2722,False,False,-1.0,
REFINERY,ATRL,5000,5080,ascending,sequential,up,5081,3.0,704.88,679.0,25.879999999999995,skipped_risk_gt_6pct,660.33,,5088.0,,5088,False,False,-1.0,
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,up,643,3.0,17.9872,17.0358,0.9514000000000031,skipped_risk_gt_6pct,16.76,,669.0,,669,False,False,-1.0,
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,down,2001,1.0,88.06,95.0,6.939999999999998,no_valid_consolidation,,,2024.0,,2024,False,False,-1.0,
TECHNOLOGY & COMMUNICATION,AVN,2200,2280,descending,sequential,up,2281,4.0,67.8,66.0,1.7999999999999972,ok,63.9,3.8999999999999986,2282.0,2287.0,2282,False,False,-1.0,-0.3564102564102567
COMMERCIAL BANKS,BAFL,1840,1920,ascending,down,down,1924,4.0,8.4127,8.7224,0.3097000000000012,skipped_risk_gt_6pct,8.94,,1929.0,,1929,False,False,-1.0,
COMMERCIAL BANKS,BAFL,3040,3120,ascending,down,down,3139,4.0,20.4176,20.9027,0.4850999999999992,ok,21.37,0.9524000000000008,3141.0,3155.0,3141,False,False,-1.0,-0.42807643847122856
COMMERCIAL BANKS,BAFL,3840,3920,ascending,sequential,up,3921,4.0,19.2615,18.6576,0.603900000000003,ok,18.47,0.7915000000000028,3926.0,3931.0,3926,False,False,-1.0,-0.8085912823752348
COMMERCIAL BANKS,BAFL,4520,4600,descending,up,up,4608,4.0,21.0833,20.593,0.4903000000000013,skipped_risk_gt_6pct,19.7,,4613.0,,4613,False,False,-1.0,
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,down,4208,1.0,68.79,76.39,7.599999999999994,skipped_risk_gt_6pct,77.15,,,,4298,False,True,1.5065789473684226,
ENGINEERING,BCL,760,840,ascending,down,down,845,1.0,45.07,47.14,2.0700000000000003,ok,47.61,2.539999999999999,,,935,False,True,7.4685990338164245,6.086614173228349
ENGINEERING,BCL,3400,3480,descending,up,up,3481,4.0,143.76,110.0,33.75999999999999,no_valid_consolidation,,,3519.0,,3519,False,False,-1.0,
ENGINEERING,BECO,400,480,descending,up,up,496,4.0,20.24,18.83,1.4100000000000001,skipped_risk_gt_6pct,16.78,,499.0,,499,False,False,-1.0,
CHEMICAL,BERG,2280,2360,symmetrical,down,down,2362,3.0,98.86,111.3,12.439999999999998,skipped_risk_gt_6pct,112.41,,,,2452,False,True,0.5498392282958203,
CHEMICAL,BERG,2840,2920,symmetrical,down,down,2934,4.0,149.72,151.35,1.6299999999999955,ok,156.35,6.6299999999999955,2937.0,,2937,False,False,-1.0,-0.16591251885369457
GLASS & CERAMICS,BGL,3800,3880,symmetrical,whipsaw,down,3887,4.0,8.65,8.97,0.3200000000000003,skipped_risk_gt_6pct,9.24,,3890.0,,3890,False,False,-1.0,
