sector,symbol,start,end,kind,outcome,type,boundary_touched,boundary_breached,lfd_touched
GLASS & CERAMICS,GHGL,2480,2560,symmetrical,whipsaw,4,True,True,True
GLASS & CERAMICS,GHGL,3200,3280,descending,down,3,True,True,False
GLASS & CERAMICS,GHGL,3880,3960,ascending,down,2,True,False,False
GLASS & CERAMICS,GHGL,4000,4080,symmetrical,sequential,4,True,True,True
AUTOMOBILE ASSEMBLER,GHNI,920,1000,symmetrical,down,1,False,False,False
AUTOMOBILE ASSEMBLER,GHNI,1360,1440,descending,up,2,True,False,False
AUTOMOBILE ASSEMBLER,GHNI,4040,4120,symmetrical,down,2,True,False,False
PHARMACEUTICALS,GLAXO,1480,1560,ascending,down,2,True,False,False
PHARMACEUTICALS,GLAXO,2440,2520,descending,up,4,True,True,True
PHARMACEUTICALS,GLAXO,2560,2640,ascending,down,4,False,False,True
PHARMACEUTICALS,GLAXO,3400,3480,symmetrical,down,1,False,False,False
FOOD & PERSONAL CARE PRODUCTS,GLPL,640,720,symmetrical,sequential,4,True,True,True
FOOD & PERSONAL CARE PRODUCTS,GLPL,720,800,ascending,down,4,True,False,True
AUTOMOBILE PARTS & ACCESSORIES,GTYR,4640,4720,ascending,down,4,False,False,True
GLASS & CERAMICS,GVGL,720,800,symmetrical,down,4,False,False,True
CEMENT,GWLC,960,1040,descending,up,4,True,True,True
CEMENT,GWLC,2720,2800,descending,down,2,True,False,False
PHARMACEUTICALS,HALEON,0,80,descending,up,4,True,True,True
OIL & GAS MARKETING COMPANIES,HASCOL,2600,2680,symmetrical,sequential,4,True,True,True
COMMERCIAL BANKS,HBL,2040,2120,descending,up,1,False,False,False
COMMERCIAL BANKS,HBL,3200,3280,ascending,sequential,4,True,True,True
COMMERCIAL BANKS,HBL,3800,3880,descending,sequential,4,True,True,True
AUTOMOBILE ASSEMBLER,HINO,1840,1920,descending,up,4,True,True,True
PHARMACEUTICALS,HINOON,680,760,descending,down,4,True,True,True
COMMERCIAL BANKS,HMB,880,960,descending,up,4,True,True,True
COMMERCIAL BANKS,HMB,1080,1160,ascending,down,1,False,False,False
COMMERCIAL BANKS,HMB,4200,4280,descending,up,4,True,True,True
COMMERCIAL BANKS,HMB,4960,5040,descending,up,2,True,False,False
OIL & GAS MARKETING COMPANIES,HTL,1560,1640,descending,down,2,True,False,False
POWER GENERATION & DISTRIBUTION,HUBC,1320,1400,descending,up,1,False,False,False
TECHNOLOGY & COMMUNICATION,HUMNL,360,440,symmetrical,down,4,False,False,True
TECHNOLOGY & COMMUNICATION,HUMNL,3640,3720,symmetrical,down,2,True,False,False
PHARMACEUTICALS,IBLHL,360,440,ascending,up,4,True,True,True
PHARMACEUTICALS,IBLHL,3320,3400,symmetrical,down,4,True,True,True
PHARMACEUTICALS,IBLHL,3920,4000,symmetrical,down,3,True,True,False
INSURANCE,IGIL,2120,2200,descending,down,2,True,False,False
INSURANCE,IGIL,2640,2720,descending,sequential,4,True,True,True
TEXTILE COMPOSITE,ILP,800,880,ascending,down,2,True,False,False
AUTOMOBILE ASSEMBLER,INDU,3000,3080,ascending,down,4,True,False,True
AUTOMOBILE ASSEMBLER,INDU,3360,3440,ascending,down,4,True,False,True
FOOD & PERSONAL CARE PRODUCTS,ISIL,1680,1760,symmetrical,down,4,True,True,True
ENGINEERING,ISL,2560,2640,descending,sequential,4,True,True,True
ENGINEERING,ISL,2840,2920,symmetrical,sequential,4,True,True,True
ENGINEERING,ISL,3320,3400,descending,sequential,4,True,True,True
ENGINEERING,ITTEFAQ,120,200,symmetrical,down,1,False,False,False
INSURANCE,JGICL,400,480,ascending,up,4,False,False,True
INSURANCE,JGICL,1120,1200,ascending,up,2,True,False,False
INSURANCE,JGICL,3640,3720,descending,sequential,4,True,True,True
INSURANCE,JLICL,720,800,descending,sequential,4,True,True,True
INSURANCE,JLICL,1560,1640,ascending,up,4,False,False,True
INSURANCE,JLICL,2160,2240,ascending,down,4,True,True,True
INSURANCE,JLICL,4200,4280,descending,up,4,False,False,True
INSURANCE,JLICL,4280,4360,descending,up,2,True,False,False
