sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite
CABLE & ELECTRICAL GOODS,PCAL,1720,1800,symmetrical,sequential,down,1808,4.0,67.01,71.49,4.47999999999999,skipped_risk_gt_6pct,78.17,,77.1527777777778,10.142777777777795,1810.0,,1824.0,1810,False,False,-1.0,,-0.36676343320370197
ENGINEERING,PECO,0,80,ascending,up,up,82,1.0,80.4,76.65,3.75,skipped_risk_gt_6pct,72.27,,65.38182860418458,15.018171395815429,,,,172,False,True,7.093333333333332,,1.771187669852513
ENGINEERING,PECO,1560,1640,descending,sequential,up,1649,3.0,236.95,216.0,20.94999999999999,skipped_risk_gt_6pct,213.84,,222.8821715378312,14.06782846216879,1673.0,,1666.0,1666,False,False,0.14558472553699348,,-1.0
TRANSPORT,PIBTL,1640,1720,symmetrical,down,down,1725,4.0,12.64,12.93,0.28999999999999915,ok,13.33,0.6899999999999995,13.069849418206704,0.42984941820670386,1729.0,1729.0,1729.0,1729,True,False,-1.0,-1.0,-1.0
TRANSPORT,PICT,680,760,ascending,sequential,up,761,4.0,77.35,72.5,4.849999999999994,skipped_risk_gt_6pct,68.31,,69.81235356762514,7.537646432374856,773.0,,774.0,773,False,False,-1.0,,-0.9220384721348995
TRANSPORT,PICT,2600,2680,ascending,up,up,2681,4.0,368.2,363.0,5.199999999999989,skipped_risk_gt_6pct,338.58,,331.55093233551617,36.64906766448382,2684.0,,,2684,False,False,-1.0,,0.13097195388278962
TRANSPORT,PICT,4680,4760,descending,up,up,4771,4.0,44.07,42.0,2.0700000000000003,skipped_risk_gt_6pct,41.09,,41.14642865714629,2.9235713428537125,4775.0,,4790.0,4775,False,False,-1.0,,-0.7422428754147843
TRANSPORT,PICT,4720,4800,descending,down,down,4801,1.0,39.05,40.26,1.2100000000000009,skipped_risk_gt_6pct,41.86,,41.846409553641365,2.796409553641368,4861.0,,4861.0,4861,True,False,-1.0,,-1.0
INSURANCE,PIL,1040,1120,symmetrical,up,up,1132,4.0,3.0552,2.6659,0.3893,no_valid_consolidation,,,2.4137059701492536,0.6414940298507465,1135.0,,1186.0,1135,False,False,-1.0,,-0.14512995549102978
INSURANCE,PIL,3080,3160,descending,up,up,3170,4.0,0.7248,0.6631,0.06169999999999998,no_valid_consolidation,,,0.6172878227605992,0.10751217723940076,3194.0,,3209.0,3194,False,False,-1.0,,-0.2864791765068316
CEMENT,PIOC,2560,2640,descending,up,up,2641,4.0,87.64,87.0,0.6400000000000006,ok,83.7,3.9399999999999977,84.52942412708921,3.110575872910786,2642.0,2660.0,2642.0,2642,True,False,-1.0,-0.01776649746193082,-1.0
CEMENT,PIOC,3880,3960,descending,up,up,3965,4.0,135.35,127.0,8.349999999999994,skipped_risk_gt_6pct,125.73,,121.67428571428573,13.675714285714264,3985.0,,4002.0,3985,False,False,-1.0,,-0.6149587381176232
CEMENT,PIOC,4480,4560,descending,up,up,4561,4.0,99.57,99.5,0.06999999999999318,ok,96.44,3.1299999999999955,84.3184,15.251599999999996,4562.0,,,4562,False,False,-1.0,0.7092651757188551,0.1455584987804567
INSURANCE,PKGI,640,720,descending,up,up,733,4.0,1.1105,0.9733,0.1372,no_valid_consolidation,,,0.8857429577464788,0.22475704225352122,735.0,,799.0,735,False,False,-1.0,,0.3123372655919538
