symbol,start,end,outcome,breakout_idx_used,breakout_date,date_convention
QUICE,3400,3480,down,3483,2020-02-14,breakout_idx
QUICE,3640,3720,down,3746,2021-03-04,breakout_idx
QUICE,4760,4840,up,4843,2025-08-26,breakout_idx
REDCO,2040,2120,down,2129,2019-04-04,breakout_idx
RICL,840,920,sequential,922,2009-12-09,breakout_idx (first chronological)
RMPL,1800,1880,up,1881,2021-07-26,breakout_idx
RMPL,2400,2480,down,2485,2025-04-24,breakout_idx
SARC,1320,1400,sequential,1401,2019-05-09,breakout_idx (first chronological)
SAZEW,2000,2080,up,2085,2015-02-06,breakout_idx
SBL,2880,2960,up,2975,2018-03-28,breakout_idx
SCL,1280,1360,down,1361,2021-10-14,breakout_idx
SCL,1800,1880,sequential,1894,2025-03-25,breakout_idx (first chronological)
SEARL,1040,1120,down,1122,2010-02-11,breakout_idx
SEARL,1280,1360,up,1361,2011-01-25,breakout_idx
SEARL,1560,1640,up,1651,2012-04-18,breakout_idx
SEARL,4160,4240,down,4248,2022-10-20,breakout_idx
SEARL,4640,4720,sequential,4729,2024-10-04,breakout_idx (first chronological)
SEL,880,960,up,970,2009-06-18,breakout_idx
SEPL,320,400,up,401,2007-04-26,breakout_idx
SEPL,3760,3840,up,3871,2022-08-05,breakout_idx
SEPL,4200,4280,down,4282,2024-05-22,breakout_idx
SEPL,4720,4800,none,4800,2026-07-01,window_end (no breakout occurred)
SHEL,480,560,up,561,2007-04-18,breakout_idx
SHEL,960,1040,up,1042,2009-07-13,breakout_idx
SHEL,3360,3440,down,3441,2019-03-18,breakout_idx
SHEZ,600,680,down,681,2011-08-10,breakout_idx
SHEZ,3040,3120,up,3121,2025-04-21,breakout_idx
SHEZ,3320,3400,up,3406,2026-06-15,breakout_idx
SHFA,40,120,sequential,133,2005-08-12,breakout_idx (first chronological)
SHFA,720,800,down,803,2009-04-01,breakout_idx
SHFA,1120,1200,up,1208,2011-05-02,breakout_idx
SHFA,4280,4360,sequential,4361,2026-01-15,breakout_idx (first chronological)
SHNI,1080,1160,down,1165,2013-05-06,breakout_idx
SILK,1320,1400,up,1417,2011-01-06,breakout_idx
SILK,1760,1840,sequential,1841,2012-09-19,breakout_idx (first chronological)
SILK,1800,1880,sequential,1887,2012-11-28,breakout_idx (first chronological)
SITC,520,600,up,627,2008-03-31,breakout_idx
SITC,800,880,up,881,2009-10-01,breakout_idx
SITC,3800,3880,sequential,3884,2023-08-30,breakout_idx (first chronological)
SMCPL,120,200,up,201,2011-01-13,breakout_idx
SMCPL,1160,1240,down,1241,2016-12-15,breakout_idx
SMCPL,2520,2600,sequential,2601,2023-07-11,breakout_idx (first chronological)
SMCPL,2640,2720,up,2737,2024-04-22,breakout_idx
SMCPL,3080,3160,up,3161,2026-01-06,breakout_idx
SNBL,1920,2000,up,2001,2013-05-07,breakout_idx
SNBL,4280,4360,down,4361,2023-06-19,breakout_idx
SNGP,560,640,down,642,2007-08-09,breakout_idx
SPEL,680,760,down,769,2018-05-14,breakout_idx
SPWL,920,1000,down,1023,2019-02-14,breakout_idx
SSGC,360,440,sequential,441,2006-10-11,breakout_idx (first chronological)
SSGC,400,480,sequential,481,2006-12-15,breakout_idx (first chronological)
SSGC,520,600,up,618,2007-07-06,breakout_idx
SSGC,680,760,sequential,761,2008-02-07,breakout_idx (first chronological)
SSGC,920,1000,down,1011,2009-05-19,breakout_idx
SSGC,2080,2160,up,2163,2014-01-08,breakout_idx
SSGC,3000,3080,down,3088,2017-10-03,breakout_idx
SSGC,3840,3920,down,3922,2021-02-11,breakout_idx
SSGC,4760,4840,up,4841,2024-11-05,breakout_idx
SSGC,5080,5160,down,5161,2026-02-13,breakout_idx
STCL,3480,3560,down,3566,2022-09-12,breakout_idx
STCL,3640,3720,up,3722,2023-04-26,breakout_idx
STPL,120,200,down,202,2006-10-05,breakout_idx
SYS,120,200,down,201,2015-11-27,breakout_idx
SYS,2280,2360,up,2384,2024-10-11,breakout_idx
TELE,360,440,down,444,2006-10-16,breakout_idx
TELE,3200,3280,sequential,3283,2018-06-20,breakout_idx (first chronological)
TGL,3360,3440,up,3443,2020-12-02,breakout_idx
TGL,3560,3640,sequential,3658,2021-10-20,breakout_idx (first chronological)
TGL,4280,4360,sequential,4363,2024-08-28,breakout_idx (first chronological)
THALL,2400,2480,up,2484,2015-07-24,breakout_idx
THCCL,880,960,up,964,2014-02-24,breakout_idx
THCCL,920,1000,sequential,1005,2014-06-13,breakout_idx (first chronological)
THCCL,960,1040,up,1041,2014-10-02,breakout_idx
TOWL,360,440,sequential,441,2017-11-24,breakout_idx (first chronological)
TOWL,1840,1920,whipsaw,1930,2026-02-02,breakout_idx (first chronological)
TPLP,400,480,down,481,2019-11-12,breakout_idx
TPLP,720,800,sequential,808,2021-03-26,breakout_idx (first chronological)
TREET,3720,3800,up,3801,2023-10-23,breakout_idx
TRG,960,1040,down,1041,2009-05-26,breakout_idx
TRG,2320,2400,up,2408,2014-12-02,breakout_idx
TRG,3400,3480,down,3487,2019-04-04,breakout_idx
TRIPF,3640,3720,sequential,3723,2021-01-04,breakout_idx (first chronological)
TSPL,3400,3480,down,3489,2020-02-26,breakout_idx
UBDL,1000,1080,sequential,1081,2020-09-25,breakout_idx (first chronological)
UBL,1600,1680,up,1684,2012-07-06,breakout_idx
UBL,2000,2080,down,2088,2014-02-28,breakout_idx
UBL,2360,2440,sequential,2441,2015-08-04,breakout_idx (first chronological)
UBL,3360,3440,down,3441,2019-08-21,breakout_idx
UBL,4520,4600,up,4601,2024-04-24,breakout_idx
UDPL,2880,2960,up,2964,2026-06-23,breakout_idx
UNIC,2480,2560,sequential,2575,2019-10-14,breakout_idx (first chronological)
UNIC,2520,2600,up,2601,2019-11-19,breakout_idx
UNIC,2680,2760,sequential,2772,2020-08-26,breakout_idx (first chronological)
UNIC,3120,3200,down,3201,2022-08-29,breakout_idx
UNIC,3640,3720,sequential,3723,2024-12-06,breakout_idx (first chronological)
UPFL,400,480,up,490,2012-02-23,breakout_idx
UVIC,1280,1360,whipsaw,1361,2014-06-10,breakout_idx (first chronological)
WAHN,1080,1160,down,1172,2011-05-03,breakout_idx
WAVES,920,1000,up,1002,2010-12-24,breakout_idx
WAVES,3840,3920,up,3925,2023-11-06,breakout_idx
WTL,2440,2520,up,2527,2016-03-09,breakout_idx
ZAHID,560,640,sequential,643,2013-05-31,breakout_idx (first chronological)
ZIL,2360,2440,down,2441,2021-03-05,breakout_idx
ZIL,2920,3000,sequential,3014,2025-02-25,breakout_idx (first chronological)
