symbol,start,end,outcome,breakout_idx_used,breakout_date,date_convention
FATIMA,2080,2160,down,2161,2018-11-26,breakout_idx
FCCL,2520,2600,up,2612,2015-10-09,breakout_idx
FCCL,2560,2640,sequential,2647,2015-11-30,breakout_idx (first chronological)
FCCL,3920,4000,none,4000,2021-05-19,window_end (no breakout occurred)
FCCL,5080,5160,down,5167,2026-01-29,breakout_idx
FCEPL,720,800,up,808,2014-11-25,breakout_idx
FCEPL,1000,1080,down,1093,2016-01-15,breakout_idx
FCEPL,2920,3000,up,3004,2023-10-04,breakout_idx
FCEPL,3280,3360,sequential,3384,2025-04-21,breakout_idx (first chronological)
FCEPL,3480,3560,sequential,3565,2026-01-07,breakout_idx (first chronological)
FECTC,3520,3600,up,3606,2021-01-06,breakout_idx
FECTC,4240,4320,down,4323,2024-06-25,breakout_idx
FEROZ,1240,1320,sequential,1333,2011-07-15,breakout_idx (first chronological)
FFC,360,440,up,445,2006-10-17,breakout_idx
FFC,400,480,down,481,2006-12-15,breakout_idx
FFC,2760,2840,down,2843,2016-09-05,breakout_idx
FFC,3520,3600,up,3603,2019-10-07,breakout_idx
FFC,4880,4960,down,4961,2025-03-26,breakout_idx
FFL,280,360,sequential,372,2009-09-25,breakout_idx (first chronological)
FLYNG,160,240,down,241,2008-04-22,breakout_idx
FLYNG,1320,1400,down,1401,2013-02-28,breakout_idx
FLYNG,3680,3760,down,3761,2022-12-12,breakout_idx
FML,1720,1800,down,1807,2023-01-12,breakout_idx
GAL,520,600,up,601,2026-06-10,breakout_idx
GATM,840,920,sequential,922,2012-08-02,breakout_idx (first chronological)
GATM,1000,1080,up,1081,2013-05-09,breakout_idx
GFIL,1720,1800,down,1813,2019-01-02,breakout_idx
GFIL,2840,2920,down,2923,2025-02-10,breakout_idx
GGGL,1880,1960,down,1961,2023-05-12,breakout_idx
GGL,1760,1840,down,1841,2017-06-01,breakout_idx
GHGL,40,120,down,128,2005-10-05,breakout_idx
GHGL,1360,1440,down,1442,2011-07-27,breakout_idx
GHGL,2480,2560,whipsaw,2565,2016-05-27,breakout_idx (first chronological)
GHGL,3200,3280,down,3292,2019-05-06,breakout_idx
GHGL,3880,3960,down,3991,2022-03-08,breakout_idx
GHGL,4000,4080,sequential,4086,2022-08-01,breakout_idx (first chronological)
GHNI,920,1000,down,1001,2010-08-10,breakout_idx
GHNI,1360,1440,up,1447,2012-07-05,breakout_idx
GHNI,4040,4120,down,4121,2023-05-22,breakout_idx
GLAXO,1480,1560,down,1567,2011-08-05,breakout_idx
GLAXO,2440,2520,up,2521,2015-06-18,breakout_idx
GLAXO,2560,2640,down,2641,2015-12-14,breakout_idx
GLAXO,3400,3480,down,3481,2019-05-02,breakout_idx
GLPL,640,720,sequential,724,2010-02-09,breakout_idx (first chronological)
GLPL,720,800,down,807,2010-06-23,breakout_idx
GTYR,4640,4720,down,4721,2024-09-26,breakout_idx
GVGL,720,800,down,801,2014-08-12,breakout_idx
GWLC,960,1040,up,1052,2009-06-15,breakout_idx
GWLC,2720,2800,down,2814,2017-05-30,breakout_idx
