symbol,date,support_source,support_level,touch_depth_pct,lower_wick_ratio,close_position,recovery_ratio,body_ratio,volume_ma_ratio,trend_state,return_5d,return_10d,return_20d,max_favorable,max_adverse
KOHC,2022-09-22,pivot,153.5,0.61,0.809,0.906,0.906,0.097,0.32,uptrend,0.0246,0.0581,0.0213,0.0886,-0.0443
KOHC,2022-09-29,pivot,160.44,1.21,0.969,0.969,0.969,0.031,0.11,uptrend,0.032,-0.0172,-0.0183,0.0617,-0.0493
KOHC,2022-11-17,pivot,162.52,0.26,0.655,0.993,0.993,0.338,0.55,uptrend,-0.0114,0.0021,-0.0967,0.0242,-0.097
KOHC,2023-07-31,pivot,174.31,0.05,0.964,0.969,0.969,0.004,1.75,uptrend,-0.0179,-0.0557,-0.0878,0.0483,-0.1032
KOHC,2023-10-19,pivot,177.33,0.67,0.971,1.0,1.0,0.029,0.39,uptrend,0.022,0.0245,0.2245,0.2527,-0.0278
KOHC,2023-10-24,pivot,177.68,0.1,0.7,0.73,0.73,0.03,1.48,uptrend,-0.041,0.0475,0.185,0.2356,-0.0411
KOHC,2023-11-22,pivot,210.38,0.13,0.801,0.801,0.801,0.186,0.37,uptrend,-0.0048,0.0377,-0.066,0.0744,-0.0955
KOHC,2023-11-27,pivot,210.06,1.93,0.643,0.896,0.896,0.254,0.56,uptrend,0.0487,0.023,-0.1162,0.0636,-0.1187
KTML,2020-06-08,pivot,34.4,1.16,0.8,1.0,1.0,0.2,2.95,uptrend,-0.1093,-0.0183,0.0864,0.1014,-0.1122
KTML,2020-09-03,pivot,57.35,1.47,0.583,0.985,0.985,0.402,3.53,uptrend,-0.0154,-0.032,-0.1467,0.009,-0.1803
KTML,2020-09-22,pivot,60.31,1.82,0.744,0.946,0.946,0.202,0.05,uptrend,-0.0891,-0.1405,-0.1076,0.0248,-0.1817
KTML,2020-12-31,pivot,65.83,1.27,0.716,0.716,0.716,0.029,1.22,uptrend,-0.0354,0.0176,0.1212,0.1511,-0.115
KTML,2021-01-05,pivot,65.22,5.69,0.636,0.913,0.913,0.277,1.6,uptrend,0.0061,0.0443,0.1652,0.194,-0.0151
KTML,2021-01-28,pivot,76.17,0.22,0.96,0.96,0.96,0.03,0.58,uptrend,0.0191,-0.0077,-0.0256,0.0494,-0.0381
KTML,2021-02-18,pivot,77.52,0.33,0.837,1.0,1.0,0.163,0.46,uptrend,-0.0284,-0.0759,-0.1557,0.0184,-0.2126
KTML,2021-03-01,pivot,74.57,2.1,0.861,0.861,0.861,0.139,0.6,uptrend,-0.0784,-0.0954,-0.1753,0.0188,-0.208
KTML,2021-06-23,pivot,76.99,1.8,0.977,1.0,1.0,0.023,0.24,uptrend,-0.06,-0.0569,-0.0422,,-0.125
KTML,2021-07-23,pivot,77.32,3.0,0.673,1.0,1.0,0.327,0.08,uptrend,0.1248,0.1242,0.1239,0.2132,-0.0001
KTML,2021-08-10,pivot,85.73,0.86,0.98,1.0,1.0,0.02,0.6,uptrend,-0.0233,-0.0407,-0.1107,0.0349,-0.1215
KTML,2021-08-13,pivot,85.28,2.97,0.739,0.739,0.739,0.0,6.61,uptrend,-0.0285,-0.0678,-0.1469,0.0056,-0.161
KTML,2022-08-23,pivot,52.35,0.24,0.706,0.706,0.706,0.294,0.53,uptrend,-0.0365,-0.037,0.0009,0.0735,-0.0741
KTML,2022-09-27,pivot,51.79,0.46,0.551,0.882,0.882,0.331,0.76,uptrend,-0.002,-0.0119,-0.0448,0.0639,-0.07
KTML,2022-10-03,pivot,52.17,0.33,0.872,0.949,0.949,0.077,0.31,uptrend,0.0072,0.0004,-0.0547,0.0649,-0.0691
KTML,2022-10-17,pivot,53.36,0.67,0.97,0.97,0.97,0.03,0.42,uptrend,-0.0183,-0.0556,-0.1272,0.0639,-0.1454
KTML,2023-04-18,pivot,52.74,0.19,0.956,0.956,0.956,0.029,0.99,uptrend,-0.0152,-0.0181,-0.0372,0.0444,-0.0463
KTML,2023-07-06,pivot,54.42,0.77,0.671,0.987,0.987,0.315,0.04,uptrend,-0.0512,-0.0449,-0.0249,0.0092,-0.0768
KTML,2023-09-05,pivot,60.0,2.5,1.0,1.0,1.0,0.0,0.01,uptrend,-0.0333,-0.05,0.0403,0.0417,-0.0833
KTML,2023-11-27,pivot,80.86,0.32,0.566,0.909,0.909,0.343,0.42,uptrend,0.1244,0.1171,-0.0217,0.1532,-0.027
KTML,2023-12-08,pivot,93.04,3.27,0.65,0.832,0.832,0.182,0.48,uptrend,-0.0365,-0.103,0.0208,0.0312,-0.1979
LOADS,2020-05-11,pivot,13.81,0.36,0.708,0.708,0.708,0.292,0.09,uptrend,0.0921,0.07,0.0714,0.1679,-0.0286
LOADS,2020-08-13,pivot,18.77,0.89,0.709,0.709,0.709,0.2,0.19,uptrend,-0.0261,0.0235,0.0956,0.188,-0.035
LOADS,2021-08-10,pivot,21.74,0.86,0.572,0.876,0.876,0.303,0.41,uptrend,-0.0687,-0.0826,-0.0861,0.0065,-0.1739
LOADS,2023-04-19,pivot,6.75,0.79,0.667,0.75,0.75,0.083,0.21,uptrend,-0.0352,-0.0381,-0.0674,0.063,-0.0836
LOTCHEM,2020-09-07,pivot,13.69,1.0,0.571,0.743,0.743,0.171,1.51,uptrend,-0.0519,-0.0702,-0.2232,-0.0042,-0.2281
LOTCHEM,2021-06-18,pivot,15.45,0.02,0.6,0.72,0.72,0.12,1.1,uptrend,-0.0278,-0.0136,-0.0228,0.0093,-0.0494
LOTCHEM,2021-07-07,pivot,15.43,0.19,0.552,0.724,0.724,0.172,0.15,uptrend,0.0006,0.0096,0.0025,0.0542,-0.0178
LOTCHEM,2022-01-26,pivot,15.02,0.16,0.741,0.889,0.889,0.148,1.54,uptrend,-0.0039,0.0131,-0.0308,0.0445,-0.0491
LOTCHEM,2022-04-12,pivot,15.05,0.27,0.703,0.703,0.703,0.068,1.29,uptrend,0.1175,0.3943,0.6762,0.7651,-0.0222
