sector,symbol,start,end,kind,outcome,variant,type
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,trigger,1
TECHNOLOGY & COMMUNICATION,AVN,2200,2280,descending,sequential,current,4
TECHNOLOGY & COMMUNICATION,AVN,2200,2280,descending,sequential,fixed_5,4
TECHNOLOGY & COMMUNICATION,AVN,2200,2280,descending,sequential,fixed_10,4
TECHNOLOGY & COMMUNICATION,AVN,2200,2280,descending,sequential,trigger,4
COMMERCIAL BANKS,BAFL,1840,1920,ascending,down,current,4
COMMERCIAL BANKS,BAFL,1840,1920,ascending,down,fixed_5,4
COMMERCIAL BANKS,BAFL,1840,1920,ascending,down,fixed_10,4
COMMERCIAL BANKS,BAFL,1840,1920,ascending,down,trigger,4
COMMERCIAL BANKS,BAFL,3040,3120,ascending,down,current,4
COMMERCIAL BANKS,BAFL,3040,3120,ascending,down,fixed_5,4
COMMERCIAL BANKS,BAFL,3040,3120,ascending,down,fixed_10,4
COMMERCIAL BANKS,BAFL,3040,3120,ascending,down,trigger,4
COMMERCIAL BANKS,BAFL,3840,3920,ascending,sequential,current,4
COMMERCIAL BANKS,BAFL,3840,3920,ascending,sequential,fixed_5,4
COMMERCIAL BANKS,BAFL,3840,3920,ascending,sequential,fixed_10,4
COMMERCIAL BANKS,BAFL,3840,3920,ascending,sequential,trigger,4
COMMERCIAL BANKS,BAFL,4520,4600,descending,up,current,4
COMMERCIAL BANKS,BAFL,4520,4600,descending,up,fixed_5,4
COMMERCIAL BANKS,BAFL,4520,4600,descending,up,fixed_10,4
COMMERCIAL BANKS,BAFL,4520,4600,descending,up,trigger,4
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,current,1
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,fixed_5,1
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,fixed_10,1
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,trigger,1
ENGINEERING,BCL,760,840,ascending,down,current,1
ENGINEERING,BCL,760,840,ascending,down,fixed_5,1
ENGINEERING,BCL,760,840,ascending,down,fixed_10,1
ENGINEERING,BCL,760,840,ascending,down,trigger,1
ENGINEERING,BCL,3400,3480,descending,up,current,4
ENGINEERING,BCL,3400,3480,descending,up,fixed_5,1
ENGINEERING,BCL,3400,3480,descending,up,fixed_10,1
ENGINEERING,BCL,3400,3480,descending,up,trigger,4
ENGINEERING,BECO,400,480,descending,up,current,4
ENGINEERING,BECO,400,480,descending,up,fixed_5,4
ENGINEERING,BECO,400,480,descending,up,fixed_10,4
ENGINEERING,BECO,400,480,descending,up,trigger,4
CHEMICAL,BERG,2280,2360,symmetrical,down,current,3
CHEMICAL,BERG,2280,2360,symmetrical,down,fixed_5,3
CHEMICAL,BERG,2280,2360,symmetrical,down,fixed_10,3
CHEMICAL,BERG,2280,2360,symmetrical,down,trigger,3
CHEMICAL,BERG,2840,2920,symmetrical,down,current,4
CHEMICAL,BERG,2840,2920,symmetrical,down,fixed_5,4
CHEMICAL,BERG,2840,2920,symmetrical,down,fixed_10,4
CHEMICAL,BERG,2840,2920,symmetrical,down,trigger,4
GLASS & CERAMICS,BGL,3800,3880,symmetrical,whipsaw,current,4
GLASS & CERAMICS,BGL,3800,3880,symmetrical,whipsaw,fixed_5,4
GLASS & CERAMICS,BGL,3800,3880,symmetrical,whipsaw,fixed_10,4
GLASS & CERAMICS,BGL,3800,3880,symmetrical,whipsaw,trigger,4
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,current,2
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,fixed_5,2
