sector,symbol,start,end,kind,outcome,direction,type_trigger,n_legs,n_reentries,cap_bound,chain_realized_R,original_realized_R_lfd,final_leg_exit_type
CHEMICAL,LOTCHEM,1720,1800,symmetrical,down,down,1.0,3,2,False,-1.514285714285714,-1.0,horizon
POWER GENERATION & DISTRIBUTION,LPL,400,480,ascending,down,down,1.0,3,2,False,6.661200868097421,-1.0,horizon
POWER GENERATION & DISTRIBUTION,LPL,720,800,descending,up,up,1.0,2,1,False,-2.0,-1.0,lfd
CEMENT,LUCK,2040,2120,descending,up,up,1.0,1,0,False,39.48387096774209,39.48387096774209,horizon
COMMERCIAL BANKS,MCB,1800,1880,symmetrical,up,up,2.0,3,2,False,12.16867469879515,-1.0,horizon
COMMERCIAL BANKS,MCB,3080,3160,symmetrical,up,up,1.0,1,0,False,-0.847744360902255,-0.847744360902255,horizon
COMMERCIAL BANKS,MCB,4120,4200,ascending,down,down,1.0,2,1,False,12.910256410256395,-1.0,horizon
COMMERCIAL BANKS,MEBL,1560,1640,ascending,sequential,down,3.0,1,0,False,-1.0,-1.0,lfd
COMMERCIAL BANKS,MEBL,2080,2160,ascending,down,down,2.0,4,3,True,-4.0,-1.0,lfd
PAPER & BOARD,MERIT,720,800,symmetrical,down,down,2.0,4,3,False,-4.0,-1.0,lfd
PAPER & BOARD,MERIT,4240,4320,ascending,down,down,2.0,1,0,False,11.741935483870945,11.741935483870945,horizon
PAPER & BOARD,MERIT,4280,4360,descending,down,down,2.0,1,0,False,2.8481012658227813,2.8481012658227813,horizon
CEMENT,MLCF,1360,1440,symmetrical,down,down,1.0,3,2,False,-0.40816326530612157,-1.0,horizon
CEMENT,MLCF,2560,2640,symmetrical,down,down,2.0,3,2,False,-3.0,-1.0,lfd
TEXTILE COMPOSITE,MSOT,960,1040,descending,up,up,1.0,1,0,False,76.7777777777777,76.7777777777777,horizon
