symbol,date,bucket,close_t,open_t1,gap_pct,set
SARC,2012-10-09,C_gap_down,4.15,4.03,-2.891566265060243,N20_NOTFIT
SARC,2012-12-04,A_gap_up,4.34,4.4,1.3824884792626844,N20_NOTFIT
SARC,2013-07-01,A_gap_up,7.26,7.65,5.371900826446288,N20_NOTFIT
SARC,2013-12-04,A_gap_up,6.0,6.8,13.33333333333333,N20_NOTFIT
SARC,2014-04-22,A_gap_up,10.7,11.0,2.8037383177570163,N20_NOTFIT
SARC,2014-10-03,A_gap_up,8.0,8.7,8.749999999999991,N20_NOTFIT
SARC,2015-03-25,no_open_data,,,,N20_NOTFIT
SARC,2015-07-22,C_gap_down,8.59,8.16,-5.005820721769496,N20_NOTFIT
SARC,2016-05-16,A_gap_up,7.5,7.78,3.7333333333333365,N20_NOTFIT
SARC,2016-08-24,A_gap_up,9.15,10.05,9.836065573770496,N20_NOTFIT
SARC,2018-05-31,C_gap_down,11.0,10.11,-8.090909090909095,N20_NOTFIT
SARC,2018-11-14,A_gap_up,17.16,17.49,1.9230769230769131,N20_NOTFIT
SARC,2019-01-21,A_gap_up,18.13,18.9,4.247104247104245,N20_NOTFIT
SARC,2019-07-08,no_open_data,,,,N20_NOTFIT
SARC,2019-10-29,A_gap_up,15.26,15.68,2.752293577981651,N20_NOTFIT
SARC,2020-02-20,C_gap_down,18.07,17.02,-5.810736026563369,N20_NOTFIT
SARC,2020-06-17,A_gap_up,19.88,20.98,5.533199195171033,N20_NOTFIT
SARC,2020-10-29,A_gap_up,21.7,23.32,7.465437788018438,N20_NOTFIT
SARC,2021-04-26,A_gap_up,36.99,37.0,0.027034333603671287,N20_NOTFIT
SARC,2021-07-30,A_gap_up,41.05,44.1,7.429963459196114,N20_NOTFIT
SARC,2022-05-18,A_gap_up,26.42,26.75,1.2490537471612349,N20_NOTFIT
SARC,2023-10-05,C_gap_down,25.15,24.5,-2.5844930417494973,N20_NOTFIT
SARC,2024-01-15,C_gap_down,31.74,30.0,-5.482041587901697,N20_NOTFIT
SARC,2024-10-01,C_gap_down,38.0,34.51,-9.184210526315795,N20_NOTFIT
SARC,2024-12-19,A_gap_up,37.79,39.94,5.689335803122515,N20_NOTFIT
SARC,2025-05-30,A_gap_up,36.32,39.49,8.727973568281943,N20_NOTFIT
SARC,2025-07-30,C_gap_down,83.19,83.0,-0.22839283567736235,N20_NOTFIT
SARC,2025-10-29,A_gap_up,74.66,82.0,9.831234931690334,N20_NOTFIT
SARC,2026-01-08,F_flat,87.04,87.04,0.0,N20_NOTFIT
SARC,2026-06-03,C_gap_down,76.25,76.0,-0.32786885245901637,N20_NOTFIT
SASM,2007-06-18,no_open_data,,,,N20_NOTFIT
SASM,2008-02-04,C_gap_down,0.9,0.8,-11.111111111111107,N20_NOTFIT
SASM,2009-01-28,no_open_data,,,,N20_NOTFIT
SASML,2005-11-10,no_open_data,,,,N20_NOTFIT
SASML,2007-05-17,no_open_data,,,,N20_NOTFIT
SASML,2010-01-07,no_open_data,,,,N20_NOTFIT
SASML,2010-12-31,A_gap_up,9.75,10.0,2.564102564102564,N20_NOTFIT
SASML,2012-07-02,A_gap_up,8.83,9.79,10.872027180067938,N20_NOTFIT
SASML,2014-02-12,no_open_data,,,,N20_NOTFIT
SASML,2014-12-10,no_open_data,,,,N20_NOTFIT
SASML,2015-11-12,no_open_data,,,,N20_NOTFIT
SASML,2016-09-02,C_gap_down,23.84,22.65,-4.991610738255039,N20_NOTFIT
SASML,2017-05-11,A_gap_up,19.75,20.45,3.544303797468351,N20_NOTFIT
SASML,2018-05-09,no_open_data,,,,N20_NOTFIT
SASML,2018-12-17,A_gap_up,21.65,21.95,1.3856812933025437,N20_NOTFIT
SASML,2019-12-02,F_flat,18.0,18.0,0.0,N20_NOTFIT
SASML,2024-04-18,A_gap_up,36.92,39.49,6.960996749729144,N20_NOTFIT
SASML,2024-12-17,A_gap_up,41.08,44.99,9.518013631937693,N20_NOTFIT
SASML,2025-01-30,C_gap_down,48.48,48.0,-0.9900990099009837,N20_NOTFIT
SASML,2025-05-26,A_gap_up,66.71,73.0,9.428871233698107,N20_NOTFIT
SASML,2025-07-23,A_gap_up,75.63,82.5,9.083696945656492,N20_NOTFIT
SASML,2025-12-19,C_gap_down,213.81,212.99,-0.38351807679715316,N20_NOTFIT
SASML,2026-02-17,A_gap_up,269.35,274.0,1.7263783181733716,N20_NOTFIT
SASML,2026-04-21,A_gap_up,285.0,313.0,9.824561403508772,N20_NOTFIT
SAZEW,2005-10-18,A_gap_up,9.0646,9.4876,4.66650486507954,N20_NOTFIT
SAZEW,2005-12-14,no_open_data,,,,N20_NOTFIT
SAZEW,2006-02-07,C_gap_down,14.6242,14.5436,-0.5511412590090429,N20_NOTFIT
SAZEW,2006-05-11,no_open_data,,,,N20_NOTFIT
SAZEW,2006-06-29,A_gap_up,18.6528,18.7334,0.4321067078401122,N20_NOTFIT
SAZEW,2006-09-13,no_open_data,,,,N20_NOTFIT
SAZEW,2006-11-21,no_open_data,,,,N20_NOTFIT
SAZEW,2007-05-15,no_open_data,,,,N20_NOTFIT
SAZEW,2007-10-31,C_gap_down,37.3863,36.6611,-1.9397479825497603,N20_NOTFIT
SAZEW,2007-12-24,A_gap_up,40.4884,40.6898,0.4974264233706434,N20_NOTFIT
SAZEW,2008-04-30,no_open_data,,,,N20_NOTFIT
SAZEW,2009-07-03,A_gap_up,13.3436,13.5257,1.364699181630146,N20_NOTFIT
SAZEW,2009-09-29,no_open_data,,,,N20_NOTFIT
SAZEW,2010-01-08,A_gap_up,14.8991,15.5545,4.398923424904861,N20_NOTFIT
SAZEW,2011-01-14,A_gap_up,11.5488,11.7049,1.351655583264065,N20_NOTFIT
SAZEW,2011-04-25,A_gap_up,12.8546,13.0002,1.1326684610956386,N20_NOTFIT
SAZEW,2011-07-15,C_gap_down,12.865,12.7453,-0.93043140303148,N20_NOTFIT
SAZEW,2011-09-14,C_gap_down,12.9534,12.9274,-0.20071950221563295,N20_NOTFIT
SAZEW,2012-03-14,A_gap_up,14.2462,14.441,1.3673821791074163,N20_NOTFIT
SAZEW,2012-08-15,A_gap_up,25.4497,26.1953,2.9297005465683275,N20_NOTFIT
SAZEW,2013-05-02,C_gap_down,13.1178,12.9969,-0.9216484471481549,N20_NOTFIT
SAZEW,2013-06-06,A_gap_up,15.0589,15.2336,1.160111296309821,N20_NOTFIT
SAZEW,2013-08-01,C_gap_down,15.5828,15.1127,-3.0167877403290833,N20_NOTFIT
SAZEW,2013-12-12,F_flat,13.8365,13.8365,0.0,N20_NOTFIT
SAZEW,2014-04-15,A_gap_up,20.5666,21.4264,4.180564604747502,N20_NOTFIT
SAZEW,2014-09-22,A_gap_up,22.5414,22.7697,1.0128031089462093,N20_NOTFIT
SAZEW,2015-02-09,no_open_data,,,,N20_NOTFIT
SAZEW,2015-06-16,A_gap_up,27.5386,27.5453,0.024329486611527635,N20_NOTFIT
SAZEW,2015-08-12,A_gap_up,30.3999,30.897,1.6352027473774573,N20_NOTFIT
SAZEW,2015-12-14,A_gap_up,22.3667,23.1324,3.4233928116351486,N20_NOTFIT
SAZEW,2016-04-21,A_gap_up,22.5481,22.7361,0.8337731338782373,N20_NOTFIT
SAZEW,2016-07-15,C_gap_down,22.4675,22.004,-2.062979859797484,N20_NOTFIT
SAZEW,2017-01-05,C_gap_down,68.86,68.8465,-0.019604995643324723,N20_NOTFIT
SAZEW,2017-04-24,A_gap_up,66.3345,67.5032,1.7618283095523464,N20_NOTFIT
SAZEW,2017-11-07,A_gap_up,106.0035,108.8111,2.6485917917804542,N20_NOTFIT
SAZEW,2018-03-02,A_gap_up,137.1423,139.0364,1.3811201941341076,N20_NOTFIT
SAZEW,2018-06-27,A_gap_up,185.899,188.0685,1.1670315601482522,N20_NOTFIT
SAZEW,2018-10-02,A_gap_up,216.9841,224.9367,3.6650611726849984,N20_NOTFIT
SAZEW,2019-08-23,C_gap_down,144.5777,137.693,-4.761937698552392,N20_NOTFIT
SAZEW,2019-12-04,no_open_data,,,,N20_NOTFIT
SAZEW,2020-05-20,A_gap_up,110.89,114.5,3.255478402020019,N20_NOTFIT
SAZEW,2020-07-17,A_gap_up,143.32,146.48,2.204856265699133,N20_NOTFIT
SAZEW,2020-12-18,A_gap_up,188.3,196.0,4.089219330855013,N20_NOTFIT
