set,lb,era,symbol,date,bucket,gap_pct,base_g,base_c,open_g,open_c,lim_filled,lim_g,lim_c,base_nf,base_ncgt,base_win,open_nf,open_ncgt,open_win,lim_nf,lim_ncgt,lim_win
N20_ALL,20,2015-19,AABS,2016-12-29,C_gap_down,-1.8777429467084668,-0.6269592476489028,False,5.747420210216929,False,True,3.761755485893417,False,-1.4719592476489027,-1.4719592476489027,False,4.902420210216929,4.16705717868439,True,2.9167554858934173,2.479242163009405,True
N20_ALL,20,2015-19,AABS,2018-02-02,A_gap_up,3.85163204747775,3.798219584569736,False,-0.051431510372023204,False,False,,True,2.9532195845697364,2.510236646884276,True,-0.8964315103720232,-0.8964315103720232,False,,,False
N20_ALL,20,2015-19,AABS,2019-09-20,C_gap_down,-0.3993648655150905,-1.3616898426598723,False,-0.966183574879227,False,True,-1.3616898426598723,False,-2.2066898426598724,-2.2066898426598724,False,-1.811183574879227,-1.811183574879227,False,-2.2066898426598724,-2.2066898426598724,False
N20_ALL,20,2015-19,AABS,2019-11-04,A_gap_up,0.4672897196261681,5.14018691588785,False,4.651162790697675,False,False,,True,4.29518691588785,3.6509088785046724,True,3.806162790697675,3.235238372093024,True,,,False
N20_ALL,20,2015-19,AABS,2019-12-30,A_gap_up,2.293741815151384,93.26163736656216,False,88.92811421034257,False,False,,True,92.41663736656216,78.55414176157782,True,88.08311421034257,74.87064707879118,True,,,False
N20_ALL,20,2020-26,AABS,2024-02-06,F_flat,0.0,0.0,False,0.0,False,True,0.0,False,-0.845,-0.845,False,-0.845,-0.845,False,-0.845,-0.845,False
N20_ALL,20,2020-26,AABS,2024-08-21,A_gap_up,0.334448160535113,-3.186058792466119,False,-3.508771929824561,False,True,-3.186058792466119,False,-4.031058792466119,-4.031058792466119,False,-4.353771929824561,-4.353771929824561,False,-4.031058792466119,-4.031058792466119,False
N20_ALL,20,2020-26,AABS,2024-12-12,A_gap_up,9.78489819365545,-8.0,False,-7.999999999999995,False,True,3.4186506670070815,False,-8.845,-8.845,False,-8.844999999999995,-8.844999999999995,False,2.5736506670070813,2.187603066956019,True
N20_ALL,20,2020-26,AABS,2025-05-05,F_flat,0.0,-4.356085591409195,False,-5.627819846442042,False,True,-5.627819846442042,False,-5.2010855914091945,-5.2010855914091945,False,-6.472819846442042,-6.472819846442042,False,-6.472819846442042,-6.472819846442042,False
N20_ALL,20,2020-26,AABS,2025-08-04,C_gap_down,-9.89467590431194,-7.561298997180154,False,11.864125760354815,False,True,0.7955330631757813,False,-8.406298997180155,-8.406298997180155,False,11.019125760354815,9.366256896301593,True,-0.049466936824218655,-0.049466936824218655,False
N20_ALL,20,2010-14,AASM,2010-10-08,A_gap_up,3.293687099725521,-2.4092711192436695,False,-5.5211101269560015,False,True,-2.4092711192436695,False,-3.2542711192436693,-3.2542711192436693,False,-6.366110126956001,-6.366110126956001,False,-3.2542711192436693,-3.2542711192436693,False
N20_ALL,20,2010-14,AASM,2010-12-24,C_gap_down,-0.7936507936507896,40.65656565656567,False,41.78181818181819,False,True,40.65656565656567,False,39.81156565656567,33.83983080808082,True,40.93681818181819,34.79629545454546,True,39.81156565656567,33.83983080808082,True
N20_ALL,20,2015-19,AASM,2017-05-23,A_gap_up,7.339449541284393,1.8348623853210944,False,-5.128205128205125,False,False,,True,0.9898623853210944,0.8413830275229303,True,-5.973205128205125,-5.973205128205125,False,,,False
N20_ALL,20,2005-09,AATM,2005-12-14,C_gap_down,-18.60465116279069,0.0,False,0.0,False,True,-7.999999999999997,False,-0.845,-0.845,False,-0.845,-0.845,False,-8.844999999999997,-8.844999999999997,False
N20_ALL,20,2005-09,AATM,2008-03-20,C_gap_down,-8.333333333333332,-7.999999999999992,False,-7.99999999999999,False,True,-7.999999999999992,False,-8.844999999999992,-8.844999999999992,False,-8.84499999999999,-8.84499999999999,False,-8.844999999999992,-8.844999999999992,False
