symbol,signal_date,lookback_n,strategy_confirmed,status,close_t,trigger_price,next_date,next_open,next_low,gap_pct,gap_pct_raw,gap_vs_trigger_pct,fillable_at_close_t,note
OML,2026-07-15,60,False,Stopped,91.03,91.03,2026-07-16,99.75,91.03,9.579259584752279,9.579259584752279,9.579259584752279,True,
SARC,2026-07-15,20,False,Stopped,109.38,109.38,2026-07-16,111.0,110.11,1.481075150850251,1.481075150850251,1.481075150850251,False,
SARC,2026-07-15,60,False,Stopped,109.38,109.38,2026-07-16,111.0,110.11,1.481075150850251,1.481075150850251,1.481075150850251,False,
STML,2026-07-15,20,False,Stopped,52.16,52.16,2026-07-16,57.38,57.37,10.007668711656454,10.007668711656454,10.007668711656454,False,
STML,2026-07-15,60,False,Stopped,52.16,52.16,2026-07-16,57.38,57.37,10.007668711656454,10.007668711656454,10.007668711656454,False,
TPLI,2026-07-15,20,True,Stopped,54.74,54.74,2026-07-16,55.5,51.11,1.388381439532331,1.388381439532331,1.388381439532331,True,
TPLI,2026-07-15,60,True,Stopped,54.74,54.74,2026-07-16,55.5,51.11,1.388381439532331,1.388381439532331,1.388381439532331,True,
DBCI,2026-07-16,20,True,Stopped,15.46,15.46,2026-07-17,16.24,15.6,5.045278137128056,5.045278137128056,5.045278137128056,False,
DBCI,2026-07-16,60,True,Stopped,15.46,15.46,2026-07-17,16.24,15.6,5.045278137128056,5.045278137128056,5.045278137128056,False,
GOC,2026-07-16,20,False,Stopped,186.73,186.73,2026-07-17,191.0,186.0,2.2867241471643607,2.2867241471643607,2.2867241471643607,True,
GOC,2026-07-16,60,False,Stopped,186.73,186.73,2026-07-17,191.0,186.0,2.2867241471643607,2.2867241471643607,2.2867241471643607,True,
KHYT,2026-07-16,20,False,Stopped,2061.33,2061.33,2026-07-17,2159.95,2000.0,4.784289754672949,4.784289754672949,4.784289754672949,True,
KHYT,2026-07-16,60,False,Stopped,2061.33,2061.33,2026-07-17,2159.95,2000.0,4.784289754672949,4.784289754672949,4.784289754672949,True,
OML,2026-07-16,20,False,Stopped,97.93,97.93,2026-07-17,104.0,93.08,6.1983049116715945,6.1983049116715945,6.1983049116715945,True,
OML,2026-07-16,60,False,Stopped,97.93,97.93,2026-07-17,104.0,93.08,6.1983049116715945,6.1983049116715945,6.1983049116715945,True,
SARC,2026-07-16,20,False,Stopped,114.76,114.76,2026-07-17,115.0,105.13,0.2091321017776184,0.2091321017776184,0.2091321017776184,True,
SARC,2026-07-16,60,False,Stopped,114.76,114.76,2026-07-17,115.0,105.13,0.2091321017776184,0.2091321017776184,0.2091321017776184,True,
SHNI,2026-07-16,20,False,Stopped,10.5,10.5,2026-07-17,11.45,10.57,9.04761904761904,9.04761904761904,9.04761904761904,False,
SHNI,2026-07-16,60,False,Stopped,10.5,10.5,2026-07-17,11.45,10.57,9.04761904761904,9.04761904761904,9.04761904761904,False,
STML,2026-07-16,20,False,Stopped,57.38,57.38,2026-07-17,58.99,52.51,2.8058556988497725,2.8058556988497725,2.8058556988497725,True,
STML,2026-07-16,60,False,Stopped,57.38,57.38,2026-07-17,58.99,52.51,2.8058556988497725,2.8058556988497725,2.8058556988497725,True,
DBCI,2026-07-17,20,True,Stopped,17.01,17.01,2026-07-20,17.25,17.05,1.4109347442680684,1.4109347442680684,1.4109347442680684,False,
DBCI,2026-07-17,60,True,Stopped,17.01,17.01,2026-07-20,17.25,17.05,1.4109347442680684,1.4109347442680684,1.4109347442680684,False,
GOC,2026-07-17,20,False,Stopped,200.62,200.62,2026-07-20,198.0,191.0,-1.3059515501943997,-1.3059515501943997,-1.3059515501943997,True,
GOC,2026-07-17,60,False,Stopped,200.62,200.62,2026-07-20,198.0,191.0,-1.3059515501943997,-1.3059515501943997,-1.3059515501943997,True,
KHYT,2026-07-17,20,False,Stopped,2199.38,2199.38,2026-07-20,2259.95,2000.1,2.7539579335994557,2.7539579335994557,2.7539579335994557,True,
KHYT,2026-07-17,60,False,Stopped,2199.38,2199.38,2026-07-20,2259.95,2000.1,2.7539579335994557,2.7539579335994557,2.7539579335994557,True,
OML,2026-07-17,20,False,Stopped,107.58,107.58,2026-07-20,109.99,105.0,2.2401933444878197,2.2401933444878197,2.2401933444878197,True,
OML,2026-07-17,60,False,Stopped,107.58,107.58,2026-07-20,109.99,105.0,2.2401933444878197,2.2401933444878197,2.2401933444878197,True,
PRL,2026-07-17,20,False,Stopped,44.59,44.59,2026-07-20,44.29,43.95,-0.6727965911639476,-0.6727965911639476,-0.6727965911639476,True,
